m,n,k,avg
0,303,574,2199,0.0248819
0,2741,845,845,0.107204
0,1929,303,845,0.0364012
0,303,2199,1387,0.0572859
0,845,1658,3012,0.243831
0,1929,3283,1116,0.405591
0,3283,1387,303,0.0937936
0,1658,1658,3012,0.457439
0,4096,3554,32,0.0670479
0,2199,1116,3554,0.487743
0,3012,32,2470,0.0599655
0,1387,3283,1387,0.35199
0,574,4096,3554,0.475213
0,303,1929,574,0.0240898
0,1116,4096,3554,0.909562
0,303,2741,1387,0.0728004
0,3554,574,4096,0.528012
0,32,1116,2741,0.0230168
0,2470,3012,4096,1.67363
0,1929,2470,3825,1.04179
0,845,303,1116,0.0177498
0,1658,1387,1929,0.258164
0,2199,2199,1929,0.52384
0,3283,3554,3825,2.50653
0,1658,3825,1658,0.607862
0,3012,1387,303,0.0825798
0,1387,2199,4096,0.694
0,3825,2470,574,0.322756
0,3012,2199,1658,0.613359
0,2741,2741,2470,1.03926
0,32,32,2199,0.00298742
0,303,4096,3554,0.306742
0,1116,1929,3825,0.484089
0,32,1929,1116,0.0168082
0,3554,2741,3283,1.77816
0,32,3283,1387,0.0324626
0,845,574,1658,0.0503433
0,4096,2741,3283,2.10171
0,2199,3012,845,0.325652
0,3283,2470,1116,0.516313
0,1658,3554,2199,0.714411
0,574,1658,4096,0.230037
0,3012,3554,3283,1.9666
0,1387,32,32,0.000830552
0,3825,303,4096,0.274692
0,2741,2470,1387,0.538303
0,303,845,1929,0.0349451
0,2741,574,1116,0.106747
0,2470,3283,3554,1.60554
0,1929,1658,574,0.106218
0,32,4096,2470,0.0788712
0,845,1929,2199,0.205716
0,3283,1116,3825,0.823409
0,1658,303,2741,0.0902745
0,4096,574,303,0.0490105
0,2199,845,3283,0.349002
0,1658,2741,845,0.218821
0,3012,303,1658,0.101392
0,1387,3554,1658,0.456797
0,1387,1929,3012,0.467368
0,303,32,845,0.00214343
0,1116,3825,3825,0.933606
0,3554,845,2199,0.38809
0,32,845,3012,0.0215678
0,2470,1116,3825,0.618146
0,32,2199,574,0.0106691
0,1658,1116,1116,0.124686
0,2199,1929,1658,0.395685
0,1658,2470,1929,0.456186
0,574,303,3554,0.0463302
0,3012,574,32,0.0106145
0,1387,2470,3283,0.629924
0,3825,2199,303,0.146028
0,3554,3283,32,0.0723014
0,2741,3554,2199,1.20383
0,303,2199,3283,0.139227
0,3554,32,574,0.0139329
0,32,1658,1929,0.0227493
0,3554,3012,3012,1.77166
0,32,3012,1116,0.0245254
0,3554,32,2741,0.0804209
0,845,845,1387,0.0616539
0,4096,3012,4096,2.73992
0,2199,2741,32,0.0300695
0,3283,2199,845,0.357683
0,1658,3283,3012,0.913184
0,574,2470,3825,0.325619
0,3012,2741,3554,1.64005
0,1387,303,845,0.0241602
0,3825,32,3283,0.104609
0,2741,2199,1658,0.558154
0,303,3283,1658,0.107175
0,2741,1387,1387,0.301485
0,2470,3554,3825,1.87199
0,845,3283,2470,0.389736
0,1929,1929,303,0.0701845
0,32,3825,2741,0.0759511
0,845,1116,2470,0.133492
0,32,2199,1387,0.0231408
0,1658,32,2470,0.0356152
0,4096,845,574,0.113424
0,2199,574,4096,0.308354
0,3012,3825,1929,1.27208
0,1387,3825,1929,0.58172
0,574,3825,2470,0.323713
0,303,303,32,0.000824749
0,1116,3554,4096,0.95817
0,845,3012,32,0.0200621
0,32,574,2199,0.00895185
0,2470,1387,3554,0.688303
0,845,3554,2741,0.500675
0,1929,4096,3283,1.39067
0,1658,1929,1387,0.245887
0,2199,1658,1387,0.296223
0,3283,3283,2199,1.31935
0,1658,2199,1116,0.23538
0,574,32,3825,0.0202588
0,3012,845,845,0.135827
0,1387,2741,3554,0.781315
0,3825,3012,32,0.0680553
0,3554,2470,4096,1.94789
0,2741,3283,3012,1.52056
0,4096,1387,3554,1.13787
0,303,2470,4096,0.186614
0,3554,303,303,0.020893
0,32,1387,1658,0.017894
0,574,3554,1116,0.143502
0,845,3554,845,0.149258
0,32,2741,1929,0.0343442
0,845,32,1116,0.00937585
0,4096,2199,3825,1.88834
0,2199,2470,303,0.0967036
0,3283,4096,574,0.43388
0,1658,4096,2741,1.04778
0,574,2199,3554,0.275482
0,3012,3012,3825,2.02487
0,1387,574,574,0.0281535
0,3825,845,3554,0.634662
0,2741,3012,1929,0.898124
0,303,3554,1387,0.103146
0,2741,1116,1658,0.298044
0,845,2741,1658,0.219324
0,2470,3825,4096,2.16515
0,1116,1387,1658,0.151254
0,1929,1116,32,0.0149867
0,32,3554,3012,0.0927898
0,845,1387,3825,0.266768
0,3283,2741,3283,1.64496
0,1658,845,2199,0.179394
0,4096,32,845,0.0274656
0,2199,303,3825,0.174431
0,3012,4096,1116,0.725886
0,1387,4096,2199,0.678705
0,303,574,303,0.0035483
0,1116,3283,32,0.0221613
0,3554,1387,2741,0.780798
0,32,303,2470,0.00639231
0,2470,1658,3283,0.777024
0,1929,3283,3554,1.27068
0,1658,1658,574,0.0917299
0,2199,1387,1116,0.200916
0,1387,1116,1387,0.130255
0,1658,3012,1387,0.391976
0,574,845,4096,0.123409
0,3012,32,574,0.014142
0,1387,3012,2741,0.669233
0,3825,2741,4096,2.3669
0,303,2199,2470,0.115352
0,2741,4096,2741,1.70676
0,845,3554,1116,0.199402
0,303,2741,3825,0.218502
0,3554,574,32,0.0135537
0,1116,1658,2199,0.24016
0,32,1116,303,0.0047647
0,845,2741,574,0.0830661
0,32,2470,1658,0.0360537
0,3283,303,2199,0.141373
0,4096,2470,2470,1.3408
0,2199,2199,3825,1.04734
0,3283,3825,303,0.200088
0,1658,3825,3554,1.2685
0,1387,2199,1116,0.201393
0,574,3012,3283,0.335948
0,3012,2199,4096,1.47162
0,1387,845,1387,0.0939635
0,2741,2741,32,0.0384006
0,1116,3012,3283,0.629129
0,303,3825,1116,0.0839213
0,2741,1929,1929,0.573534
0,2470,4096,2199,1.23362
0,1929,1387,4096,0.622131
