m,n,k,avg
0,1001,1873,626,0.0662093
0,2561,335,112,0.00708313
0,2190,60,458,0.00481807
0,856,1171,2190,0.13703
0,535,131,2995,0.0169673
0,209,82,2190,0.00309784
0,286,4096,44,0.00439091
0,1873,179,1601,0.0326639
0,458,209,856,0.00655115
0,2995,2995,1601,0.812762
0,626,2190,82,0.00853482
0,626,458,179,0.00316015
0,1001,856,209,0.0099408
0,2561,3503,458,0.254521
0,1369,245,131,0.00364206
0,856,1369,732,0.0565892
0,153,732,1601,0.0121214
0,1873,1873,392,0.0776969
0,732,2190,2561,0.240972
0,96,2995,1369,0.0320751
0,535,1873,335,0.0221973
0,1601,4096,1369,0.496492
0,535,732,535,0.0176059
0,392,1001,1873,0.0453537
0,1001,82,1369,0.00720074
0,3503,2561,153,0.0796385
0,96,2561,3503,0.0618507
0,209,3503,286,0.0137258
0,2995,1171,245,0.055403
0,1171,1001,179,0.0133353
0,335,1001,1601,0.0375417
0,1601,153,209,0.00426307
0,1001,458,626,0.0213131
0,4096,112,1601,0.0514987
0,2190,458,2995,0.18333
0,856,2561,2190,0.286656
0,1873,3503,856,0.316518
0,51,1873,626,0.00571294
0,535,732,1171,0.0312351
0,335,44,1369,0.0019979
0,732,96,2995,0.0167399
0,458,458,4096,0.0563402
0,2995,153,4096,0.139136
0,1001,732,535,0.0273757
0,2561,131,1171,0.0346202
0,4096,4096,335,0.279194
0,856,856,209,0.00957592
0,4096,856,732,0.150561
0,1873,131,392,0.00837656
0,286,1171,1369,0.0273709
0,3503,535,2561,0.284335
0,2995,2190,44,0.0227354
0,1171,1873,3503,0.459462
0,626,626,2561,0.0621237
0,2561,1369,1873,0.385077
0,1001,2995,1001,0.172675
0,2190,2995,535,0.218109
0,60,626,3503,0.0175675
0,392,1369,335,0.01152
0,245,1001,2561,0.037711
0,131,1171,1873,0.0208587
0,535,1369,392,0.0200931
0,1601,2995,458,0.134293
0,3503,626,1873,0.250858
0,458,2995,112,0.0108817
0,1369,3503,1601,0.437026
0,2995,286,535,0.0314652
0,1001,60,458,0.00229965
0,856,131,1601,0.0147058
0,1873,245,4096,0.121889
0,286,626,626,0.00916638
0,2995,4096,96,0.0693153
0,82,1601,2995,0.036092
0,2561,1001,44,0.00998957
0,1001,1171,286,0.0211443
0,2561,2561,335,0.129623
0,2190,626,153,0.0128234
0,856,1873,1001,0.0976969
0,3503,245,1369,0.0795064
0,1873,2561,535,0.14572
0,732,1601,3503,0.254298
0,1601,1601,1873,0.269647
0,458,1171,732,0.0231696
0,458,1601,70,0.00373532
0,392,732,2561,0.0459874
0,2561,179,1873,0.0608862
0,286,1171,2995,0.0704416
0,1001,153,96,0.00135171
0,4096,1601,60,0.0280563
0,3503,3503,209,0.150102
0,286,856,51,0.00114834
0,2995,1601,335,0.103927
0,2561,1873,96,0.0287334
0,4096,286,4096,0.274647
0,2190,4096,4096,1.94454
0,856,3503,1601,0.278373
0,1873,392,1171,0.0550685
0,535,1001,1601,0.0601993
0,209,1171,4096,0.0661408
0,112,1001,4096,0.0334645
0,2995,209,1601,0.0731981
0,1171,179,1171,0.0203749
0,153,2995,335,0.00942337
