m,n,k,avg
0,163,294,1081,0.00404286
0,1343,425,425,0.0161031
0,2523,32,1867,0.0193773
0,2130,2130,294,0.0725518
0,32,3572,163,0.0118355
0,950,32,3834,0.0171884
0,425,1212,2261,0.0639801
0,3572,1343,32,0.0154921
0,3965,32,163,0.00262449
0,1081,687,2523,0.115613
0,1867,4096,294,0.12202
0,3047,2392,556,0.213849
0,3309,1867,163,0.0442967
0,2523,2261,1474,0.461553
0,3703,2130,32,0.0261712
0,556,2261,1474,0.106751
0,425,2654,425,0.0280244
0,819,1867,819,0.0766405
0,2392,3441,1998,0.952109
0,1605,3572,687,0.239887
0,294,163,2654,0.0105606
0,687,425,3965,0.0828401
0,163,556,3703,0.0269412
0,556,32,2916,0.00682732
0,32,950,556,0.0032165
0,1736,1212,2654,0.334657
0,425,1998,687,0.0394006
0,1212,294,2916,0.0758075
0,2392,425,163,0.0109076
0,1081,1474,425,0.0344571
0,294,2130,1736,0.0674248
0,2261,819,1212,0.129608
0,163,1474,3047,0.0405296
0,32,2916,3834,0.0789265
0,3178,2523,687,0.343174
0,2261,2261,3441,0.952669
0,556,2785,819,0.0712699
0,950,1736,3572,0.321953
0,1736,3703,32,0.0287177
0,1998,425,3572,0.277074
0,950,425,3309,0.0873921
0,819,1343,425,0.0305213
0,687,1736,819,0.0613297
0,1474,2654,163,0.0264368
0,687,950,1474,0.0515886
0,163,32,425,0.000358901
0,2130,2392,950,0.281896
0,32,3834,1081,0.0197537
0,1736,425,1081,0.0497788
0,950,294,2654,0.0448962
0,32,425,1474,0.0034294
0,1212,556,1867,0.0829705
0,425,1474,2916,0.11456
0,1998,2130,32,0.0187197
0,3572,1605,1998,0.647186
0,3965,819,1343,0.244132
0,2654,2916,556,0.229317
0,1474,687,3178,0.208604
0,3834,3572,294,0.214826
0,2130,163,3703,0.0769179
0,3178,1998,32,0.0224783
0,3572,3047,163,0.0976988
0,1736,425,1474,0.0627767
0,950,2261,32,0.00983229
0,819,294,4096,0.0750459
0,1605,2785,556,0.138868
0,294,1212,1867,0.0450262
0,1474,1343,1736,0.20445
0,687,163,425,0.00400231
0,1867,32,1605,0.0202178
0,163,3441,1474,0.0502922
0,3834,1867,2392,1.00813
0,163,1605,819,0.0153447
0,556,294,3572,0.0399878
0,2130,3965,32,0.0365509
0,2916,556,2261,0.226512
0,32,3309,425,0.00866598
0,950,819,3572,0.154701
0,425,950,2523,0.0608279
0,3572,294,3047,0.252676
0,1605,556,2785,0.165847
0,2261,556,32,0.00411577
0,2654,1343,163,0.0347414
0,2392,950,1212,0.16308
0,3047,2130,819,0.312912
0,2523,1998,1212,0.360278
0,4096,1343,2130,0.694836
0,2785,3572,425,0.263634
0,950,2785,687,0.114263
0,425,2392,687,0.0463542
0,1605,2523,2130,0.490029
0,819,1081,556,0.0336022
0,294,425,2916,0.0253761
0,2785,950,950,0.158408
0,163,819,3965,0.0352299
0,1343,3309,32,0.0167786
0,1736,163,163,0.00319524
0,2916,32,3441,0.0520941
0,32,687,819,0.0034504
0,425,1736,425,0.0217367
0,2785,1736,294,0.123623
0,1081,1212,163,0.0158706
0,294,2392,1474,0.0534651
0,2261,32,1998,0.0170214
0,3441,163,1343,0.0461033
0,163,3047,2523,0.0768147
0,2523,2785,687,0.283125
0,3309,556,294,0.0313794
0,2523,163,4096,0.111957
0,1736,3965,294,0.164569
0,425,3178,2261,0.206336
0,819,2654,163,0.0214442
0,294,950,3309,0.0483676
0,687,1998,1081,0.0833241
0,1867,819,2785,0.246521
0,2523,556,2785,0.208579
0,163,294,163,0.000586184
0,556,1605,32,0.00380335
0,950,32,2916,0.0135697
0,32,163,1212,0.00104643
0,425,1212,3178,0.0823829
0,2392,1212,294,0.0404883
0,2523,950,3178,0.401158
0,2785,163,950,0.0360008
0,3965,32,1081,0.0248311
0,1081,687,556,0.0237744
0,3441,687,163,0.0203364
0,2523,2261,294,0.101256
0,1736,32,950,0.00687206
0,1343,1605,3572,0.425012
0,1736,3178,2392,0.776123
0,950,3834,1998,0.409113
0,819,1867,1736,0.160427
0,3047,425,1081,0.100082
0,1081,2392,2130,0.330539
0,294,1474,1605,0.0389395
0,687,425,687,0.0138415
0,1474,3965,294,0.108329
0,163,556,2785,0.0199091
0,3047,1998,1081,0.371125
0,163,1867,556,0.0123928
