m,n,k,avg
0,32,1024,1024,0.00447606
0,256,32,256,0.00025836
0,64,512,512,0.00187738
0,4096,64,256,0.00478227
0,512,4096,2048,0.217222
0,1024,128,64,0.000885607
0,32,128,64,0.000112895
0,64,4096,128,0.0105867
0,128,2048,4096,0.0687478
0,128,32,4096,0.0019477
0,1024,1024,1024,0.0662893
0,256,64,512,0.000800197
0,2048,1024,4096,0.458008
0,256,4096,32,0.00306668
0,64,128,32,0.000111417
0,2048,32,2048,0.0163303
0,128,1024,256,0.00263947
0,32,4096,512,0.0105451
0,2048,2048,256,0.0665694
0,256,128,2048,0.00608744
0,4096,256,512,0.0329192
0,512,64,64,0.000173827
0,4096,512,4096,0.365479
0,1024,32,32,0.000137064
0,32,512,128,0.000934557
0,64,256,4096,0.00539149
0,64,1024,4096,0.0220129
0,4096,2048,128,0.0540365
0,512,2048,1024,0.0696701
0,1024,256,2048,0.0388348
0,32,64,32,3.6052e-05
0,64,32,256,0.000185605
0,4096,1024,32,0.0108989
0,128,256,2048,0.00597614
0,1024,2048,512,0.0731641
0,2048,512,512,0.0376574
0,256,512,64,0.00078088
0,2048,256,4096,0.122181
0,512,256,32,0.000509916
0,128,512,32,0.000312907
0,32,32,4096,0.000640948
0,32,2048,4096,0.0305061
0,2048,64,128,0.00152653
0,256,256,1024,0.00529593
0,4096,32,1024,0.012641
0,512,32,2048,0.00417121
0,1024,4096,256,0.0544798
0,1024,64,256,0.00154148
0,32,256,256,0.000944719
0,2048,128,32,0.00110382
0,64,2048,2048,0.0289409
0,4096,4096,64,0.0516453
0,512,1024,512,0.018571
0,128,64,1024,0.000848005
0,1024,512,4096,0.114524
0,256,2048,32,0.00199515
0,64,64,32,5.57176e-05
0,128,128,64,0.000130222
0,2048,4096,1024,0.427789
0,256,1024,2048,0.0373029
0,512,512,256,0.00481322
0,4096,128,512,0.0186853
0,512,128,256,0.00162738
0,128,4096,64,0.00316084
0,32,1024,2048,0.00935269
0,2048,32,64,0.000509857
0,256,32,512,0.000616562
0,64,512,1024,0.0035705
0,4096,64,128,0.002355
0,512,4096,4096,0.398728
0,1024,128,128,0.00164771
0,32,128,32,6.73718e-05
0,64,4096,64,0.00522637
0,128,2048,2048,0.0418099
0,4096,512,32,0.00538219
0,128,32,2048,0.00128583
0,1024,1024,512,0.0358753
0,256,64,256,0.000381443
0,2048,1024,512,0.0699745
0,256,4096,256,0.0149961
0,64,128,64,0.000187991
0,128,1024,32,0.000668693
0,32,4096,1024,0.015058
0,2048,2048,128,0.0352914
0,4096,1024,4096,0.709905
0,256,128,4096,0.0104719
0,4096,256,4096,0.210346
0,512,64,128,0.000376756
0,1024,32,64,0.000237673
0,32,512,64,0.000443683
0,64,256,2048,0.00339171
0,2048,256,32,0.00187004
0,64,1024,2048,0.0138653
0,4096,2048,256,0.11533
0,512,2048,512,0.0385003
0,1024,256,1024,0.019618
0,32,64,64,5.90986e-05
0,64,32,32,4.91943e-05
0,128,256,4096,0.0100255
0,2048,128,4096,0.0728414
0,1024,2048,1024,0.138374
0,2048,512,4096,0.23888
0,256,512,128,0.00133926
0,512,256,64,0.000782527
0,128,512,256,0.00138527
0,32,32,2048,0.000425395
0,32,2048,2048,0.0183892
0,2048,64,256,0.00298926
0,256,256,512,0.00287829
0,4096,32,2048,0.0270963
0,512,32,1024,0.00215163
0,1024,4096,128,0.0293515
0,1024,64,128,0.000818724
0,32,256,32,0.000129182
0,64,2048,4096,0.0458477
0,4096,4096,32,0.0365068
0,512,1024,1024,0.0362844
0,128,64,128,0.000198669
0,1024,512,512,0.0188174
0,256,2048,64,0.00280736
0,64,64,256,0.000199064
0,128,128,32,8.7073e-05
0,2048,4096,2048,0.866961
0,256,1024,1024,0.0193584
0,512,512,128,0.00250708
0,4096,128,1024,0.0361305
0,512,128,128,0.000830472
0,128,4096,128,0.0053633
0,32,1024,4096,0.0158372
0,2048,32,32,0.000306321
0,256,32,1024,0.00120027
0,64,512,128,0.00151936
0,4096,64,64,0.00132425
0,512,4096,512,0.0607759
0,1024,128,256,0.00308567
0,32,128,256,0.00044161
0,64,4096,32,0.0029293
0,128,2048,1024,0.020859
0,4096,512,64,0.00852736
0,1024,32,2048,0.00785694
0,128,32,64,0.000162892
0,1024,1024,4096,0.22683
0,256,64,128,0.000183346
0,2048,1024,1024,0.132979
0,256,4096,128,0.00812529
0,64,128,128,0.000360824
0,128,1024,64,0.000942361
0,32,4096,128,0.00662748
0,2048,2048,64,0.018998
0,4096,1024,2048,0.449859
0,256,128,512,0.00166823
0,4096,256,2048,0.130928
0,512,64,256,0.000772907
0,32,512,32,0.000246547
0,64,256,1024,0.0017866
0,2048,256,64,0.00293027
0,512,256,2048,0.0208556
0,64,1024,64,0.00159347
0,4096,2048,32,0.0202934
0,512,2048,4096,0.222248
0,1024,256,512,0.0100963
0,32,64,128,0.00010712
0,64,32,64,7.99956e-05
0,1024,64,1024,0.00575549
0,128,256,32,0.000140371
0,2048,128,2048,0.0458838
0,1024,2048,2048,0.264475
0,2048,512,2048,0.142008
0,256,512,256,0.00257208
0,128,512,128,0.000866091
0,32,32,1024,0.00017168
0,256,2048,2048,0.0740758
0,32,2048,64,0.00207498
0,2048,64,32,0.000507487
0,256,256,4096,0.0174376
0,4096,32,4096,0.0437708
0,512,32,512,0.0010789
0,1024,4096,64,0.0169704
0,32,256,64,0.000211766
0,512,128,1024,0.0058224
0,64,2048,32,0.00191837
0,4096,4096,256,0.16097
0,512,1024,2048,0.0689511
0,128,64,256,0.000188595
0,1024,512,1024,0.0353813
0,64,64,128,0.00018954
0,1024,128,512,0.00604789
0,128,128,4096,0.00564804
0,2048,4096,4096,1.39787
0,256,1024,512,0.0100763
0,512,512,64,0.00144365
0,4096,128,128,0.00496998
0,128,4096,256,0.0087254
0,256,4096,1024,0.0600149
0,32,1024,32,0.000556398
0,2048,32,256,0.00197782
0,256,32,2048,0.00225363
0,64,512,256,0.0016957
0,4096,64,32,0.000869746
0,512,4096,1024,0.12104
0,32,128,128,0.000237047
0,512,64,512,0.00153393
