node ppn nthreads layout dset gset zsetx zsety zsetz groups quad zonex zoney zonez legendre solver k1 k2 k3 k4 k5 Solver k7 SweepSolver k9
0 1 32 2 4 24 4 1 1 1 48 24 24 24 24 1 0 0.0294143 0.0208798 0.0251514 0.0264871 0.126356 0.41017 0.000518775 0.187177 0.153833
0 1 32 2 1 24 4 1 1 1 24 24 24 24 24 0 0 0.0281902 0.00667023 0.00865385 0.0172684 0.0104929 0.173857 0.000278026 0.120216 0.089289
0 1 32 2 0 8 4 2 2 2 56 32 16 16 16 2 0 0.0374148 0.0195941 0.0191828 0.0256511 0.104114 0.335168 0.000777245 0.157031 0.0927167
0 1 32 2 4 8 2 1 1 1 8 8 16 16 16 4 0 0.023992 0.00355827 0.00658482 0.00305263 0.00957237 0.042225 0.000537367 0.0153761 0.00744185
0 1 32 2 2 24 4 1 1 1 48 24 24 24 24 3 0 0.0294379 0.0308028 0.0302301 0.0183672 0.402597 0.654398 0.000518304 0.13808 0.108765
0 1 32 2 0 24 8 1 1 1 56 24 24 24 24 3 0 0.0359368 0.0435712 0.0448879 0.019675 0.541557 0.887781 0.000620531 0.200501 0.144613
0 1 32 2 2 8 1 1 1 1 8 24 24 24 24 4 1 0.0246649 0.00788389 0.00959169 0.00735556 0.0179562 0.0799201 0.00045141 0.0280951 0.0198768
0 1 32 2 0 24 1 1 1 1 8 24 24 24 24 0 1 0.0239626 0.00145521 0.00213538 0.0107427 0.00243697 0.0620829 0.000380844 0.0396748 0.0215939
0 1 32 2 5 16 2 1 1 1 24 16 16 16 16 0 0 0.0236404 0.00286873 0.00341037 0.00869244 0.00465196 0.056619 0.000121402 0.033763 0.0215467
0 1 32 2 5 8 4 2 2 2 32 8 16 16 16 4 1 0.028746 0.0122012 0.0160877 0.0126799 0.103988 0.382094 0.000651271 0.231213 0.0635713
0 1 32 2 5 16 2 1 1 1 8 16 16 16 16 3 1 0.022741 0.00411233 0.00684449 0.00525573 0.00487661 0.0527508 0.000105565 0.0288732 0.0173879
