nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
15495,69,23,24,4,9,2,8,2,4,2,64,1,0.602890,0.910211
8780,17,93,46,4,3,4,1,8,2,4,16,1,0.499471,0.643402
2232,92,57,54,6,5,9,2,2,2,8,8,1,2.156193,1.202377
31022,25,58,19,5,7,4,1,4,1,32,4,1,0.334250,0.099630
37528,91,22,51,3,8,6,2,1,1,32,2,1,0.162822,0.173364
2897,37,110,57,3,6,10,1,4,2,16,8,1,0.679814,1.673819
5188,54,16,97,5,8,2,4,1,8,4,32,1,0.827397,0.836075
5965,103,44,22,0,3,5,8,4,1,4,32,1,3.305981,1.744071
40494,97,56,36,5,0,4,2,1,1,64,2,1,1.449039,0.175863
44418,33,34,40,4,8,10,1,1,1,64,1,1,0.228768,0.040208
18650,18,70,49,1,5,8,1,4,2,16,8,1,0.736840,0.262979
7693,22,55,18,2,0,11,2,4,2,4,16,1,0.433457,0.185348
28656,18,26,93,2,0,0,1,1,4,32,4,1,0.604370,0.102020
29641,100,29,26,3,8,9,4,1,1,32,4,1,0.203279,0.194025
14795,85,30,22,0,5,6,4,2,1,8,8,1,1.569524,0.342085
20951,26,18,20,2,9,5,2,2,2,16,8,1,0.366484,0.124274
10980,85,29,127,4,0,4,2,1,2,32,4,1,1.620234,0.386262
13137,127,46,28,2,5,3,8,2,1,8,16,1,2.550907,1.260706
37537,26,32,42,1,5,1,1,1,2,32,2,1,0.270534,0.072026
47064,37,44,102,5,0,10,1,1,1,64,1,1,0.951033,0.091691
2289,87,29,79,1,8,3,2,1,2,32,4,1,1.596454,0.454364
8862,127,59,42,4,5,13,4,2,2,4,16,1,2.223935,3.717893
602,87,29,68,3,7,1,4,2,4,2,32,1,1.283324,3.002438
182,97,73,42,1,3,9,8,4,2,1,64,1,6.403283,10.895336
36242,96,67,50,5,3,2,2,1,1,32,2,1,2.038365,0.556082
14844,64,16,26,1,0,3,4,1,2,8,8,1,0.276702,0.114801
413,55,40,33,6,0,1,2,2,1,16,4,1,0.505619,0.159966
2884,50,84,39,0,8,0,2,4,1,16,8,1,5.002184,0.866217
12711,40,21,30,6,5,2,2,1,1,64,2,1,0.298821,0.082383
3222,64,126,48,6,2,7,4,4,2,2,32,1,4.354596,9.025263
29709,17,42,26,4,6,9,1,2,2,32,4,1,0.212374,0.084943
5466,56,108,109,4,5,8,2,4,4,4,32,1,5.284451,8.388491
1593,100,94,24,5,7,5,8,4,2,2,64,1,4.045053,5.703237
31910,65,90,16,0,4,2,2,2,1,32,4,1,2.475110,0.281744
28616,19,17,25,6,7,6,2,1,2,32,4,1,0.185253,0.072571
25160,29,97,49,1,6,2,1,2,2,16,4,1,0.978910,0.384825
10404,68,101,46,6,4,9,2,2,1,32,4,1,2.294615,0.819728
1110,26,27,114,5,4,2,1,1,2,32,2,1,0.563280,0.163681
19392,25,64,21,3,8,8,2,4,1,16,8,1,0.177744,0.226665
2838,64,26,45,3,5,10,4,2,4,4,32,1,0.484519,4.739357
4022,16,59,43,5,1,8,2,4,4,2,32,1,0.498610,0.674046
1554,43,27,95,0,7,11,4,2,8,2,64,1,4.965843,2.647321
630,23,79,105,6,6,7,1,1,1,64,1,1,1.110221,0.132495
439,70,32,60,1,9,1,8,2,4,1,64,1,3.103872,3.690619
2866,67,55,72,0,5,7,4,2,4,2,32,1,10.660972,14.628143
5478,35,42,43,4,3,6,2,4,2,4,16,1,0.487224,0.728855
8749,23,66,56,2,4,7,1,2,2,16,4,1,0.950712,0.268476
40566,87,43,25,2,0,8,2,1,1,64,2,1,1.163202,0.120624
8255,21,25,17,1,6,0,2,4,2,4,16,1,0.201039,0.178730
19720,55,96,21,4,7,0,2,4,1,16,8,1,0.900369,0.429592
10922,116,48,45,3,9,3,4,2,2,8,16,1,1.023956,2.312063
7193,35,76,18,6,4,2,2,8,2,4,32,1,0.597366,0.876263
1522,16,18,41,5,1,3,1,1,2,64,2,1,0.157284,0.058785
8518,111,64,101,4,1,2,2,1,2,16,4,1,3.558225,1.990621
3367,20,81,122,1,2,11,1,4,8,2,32,1,2.059886,2.540475
914,22,84,23,5,3,4,2,8,2,4,32,1,0.538279,0.756289
40543,36,109,32,6,1,9,1,2,1,64,2,1,0.945258,0.170226
1288,111,78,86,5,1,9,2,1,1,32,2,1,4.634467,0.782494
46001,106,123,18,6,6,13,1,1,1,64,1,1,1.388492,0.154752
18764,56,30,51,5,1,5,2,2,2,16,8,1,0.913967,0.434527
2170,31,77,30,2,6,5,1,4,1,32,4,1,0.935336,0.189663
2748,22,22,73,2,0,10,2,2,8,2,32,1,0.746136,0.442882
3945,121,69,82,0,3,4,4,2,4,2,32,1,23.811048,19.456853
3697,98,20,88,1,9,6,4,1,2,16,8,1,1.727169,0.587934
4332,117,45,17,3,8,11,4,2,1,8,8,1,0.218164,0.426639
15777,17,66,16,6,2,1,2,4,1,8,8,1,0.170406,0.115385
34781,95,64,114,2,7,3,1,1,2,32,2,1,6.884337,0.882852
18019,80,65,43,3,1,3,2,2,2,8,8,1,0.509080,4.794089
258,27,75,102,1,6,12,2,4,8,1,64,1,4.200383,6.400788
27007,23,41,97,3,3,11,1,1,4,16,4,1,0.155816,0.281085
18484,36,29,19,6,9,10,2,2,2,8,8,1,0.211056,0.146578
9884,16,68,40,6,2,1,1,4,4,4,16,1,0.379576,0.339729
1415,23,52,41,2,8,10,1,2,1,64,2,1,0.704512,0.121565
41459,97,20,30,2,7,5,2,1,1,64,2,1,0.832301,0.142377
11646,20,87,24,2,2,7,1,8,2,8,16,1,0.906841,0.376826
2548,52,20,49,5,0,3,8,2,4,2,64,1,0.829522,0.947315
3089,37,29,64,2,8,10,4,2,4,2,32,1,1.483509,1.374319
5979,122,65,120,6,5,10,2,2,2,8,8,1,7.133853,3.933649
1070,68,24,24,4,5,1,8,4,2,1,64,1,0.635191,2.791462
3606,58,119,45,1,5,8,4,4,2,2,32,1,4.570198,7.085660
4391,101,115,47,6,8,2,4,4,1,4,16,1,4.328388,5.419084
10478,90,61,118,4,5,11,2,2,4,4,16,1,4.240871,6.234511
30564,33,121,24,0,2,3,1,4,1,32,4,1,2.483812,0.236480
26736,24,22,64,1,6,5,1,1,4,16,4,1,0.267256,0.102687
3244,45,65,52,3,1,6,2,2,2,16,8,1,0.489056,1.494138
4896,21,108,27,3,7,11,1,8,2,8,16,1,0.347644,0.460715
47081,64,37,85,3,4,5,1,1,1,64,1,1,0.241567,0.196236
3888,29,40,74,1,6,11,2,2,4,4,16,1,1.006139,0.967568
792,16,24,18,2,9,12,4,4,4,1,64,1,0.472837,0.361284
11771,33,86,90,2,2,6,1,4,4,8,16,1,3.903343,2.307039
4807,22,27,97,4,5,9,2,2,8,2,32,1,0.554176,0.807976
1681,89,61,25,3,7,2,8,4,2,2,64,1,1.405632,3.866587
1203,105,39,22,4,0,6,8,2,1,4,16,1,0.655302,0.515613
4604,99,31,67,1,0,8,4,2,4,4,32,1,3.217068,1.797967
8113,72,30,117,2,4,4,4,1,4,4,16,1,3.213876,2.576527
1532,33,81,88,1,9,11,2,4,8,2,64,1,4.638397,5.866285
11906,43,17,69,5,6,6,1,1,2,32,2,1,0.352933,0.096733
42120,35,44,28,3,0,12,1,2,1,64,2,1,0.158497,0.086639
5444,124,123,62,5,0,7,4,2,2,8,16,1,9.356445,10.971730
16885,97,43,28,4,0,4,4,2,1,8,8,1,0.675383,0.380417
6706,103,101,37,5,0,4,4,4,2,2,32,1,4.104173,5.409261
16730,46,23,47,4,1,11,4,1,2,8,8,1,0.312317,0.262735
2491,21,54,78,6,7,2,1,2,4,8,8,1,0.655637,0.314177
14308,34,72,57,4,3,5,1,1,1,64,1,1,0.600814,0.164863
3012,20,43,100,4,6,3,1,4,8,2,32,1,0.724825,1.468013
34660,98,75,37,3,1,12,2,1,1,32,2,1,0.325275,0.376877
2859,26,42,75,2,3,9,2,4,4,2,32,1,1.605723,1.604369
2540,40,60,56,3,4,2,2,4,4,2,32,1,0.815332,4.727075
3220,110,99,66,1,8,2,2,2,2,16,8,1,6.481165,3.288537
42675,20,38,32,0,9,13,1,2,1,64,2,1,0.741815,0.085123
5425,94,123,44,5,1,0,4,4,2,4,32,1,5.800407,12.479814
1450,21,50,36,4,2,9,1,2,1,64,2,1,0.327133,0.089730
4225,16,21,21,4,8,11,2,4,4,2,32,1,0.128488,0.227432
34077,56,51,50,1,1,6,2,1,1,32,2,1,0.984354,0.173839
2322,61,125,63,5,9,8,2,8,2,4,32,1,4.717412,5.696824
853,17,24,27,3,3,10,4,4,4,1,64,1,0.270680,0.500083
32861,43,84,32,6,0,3,1,2,1,32,2,1,0.711171,0.126680
1487,22,111,17,1,5,11,2,16,2,2,64,1,0.947522,1.256055
26405,47,18,81,5,3,10,2,1,2,16,4,1,0.459776,0.189768
16031,47,122,17,5,6,2,2,4,1,8,8,1,0.688026,0.513898
3179,118,61,90,4,7,6,4,2,2,4,16,1,5.020389,4.767841
36461,112,64,90,3,8,9,2,1,1,32,2,1,0.705497,0.944724
44062,16,109,32,2,8,0,1,1,1,64,1,1,0.515588,0.055878
28873,127,83,21,5,5,2,2,2,1,32,4,1,1.670862,0.384022
8486,22,94,41,5,9,11,1,4,1,16,4,1,0.547549,0.191688
7675,38,99,64,4,5,3,1,4,2,16,8,1,1.566202,0.941274
3169,27,120,52,3,6,3,1,4,2,16,8,1,0.463138,1.196059
22965,74,19,37,6,4,11,4,1,1,16,4,1,0.372426,0.168618
12401,18,43,59,0,1,0,1,4,4,8,16,1,1.574631,0.462336
2419,116,52,27,5,7,4,4,1,1,16,4,1,1.159047,0.330700
7131,109,38,67,3,3,9,8,2,4,2,64,1,2.594891,10.831739
176,23,47,107,2,8,10,2,4,8,1,64,1,2.958948,4.129190
19313,23,86,59,2,2,1,1,4,2,16,8,1,1.672112,0.545952
10008,55,25,37,4,0,8,4,2,2,4,16,1,0.403631,0.372686
39811,102,78,28,4,5,2,2,1,1,64,2,1,1.256758,0.234751
10947,26,22,19,4,2,1,2,2,1,32,4,1,0.153309,0.069508
47189,59,26,30,2,9,7,1,1,1,64,1,1,0.462360,0.044125
2985,75,57,35,2,0,1,4,4,2,2,32,1,3.298557,1.850699
42405,123,82,22,3,9,11,2,1,1,64,2,1,0.383239,0.232817
22766,114,22,35,0,5,3,4,1,1,16,4,1,2.221247,0.213688
36193,48,23,46,2,9,11,2,1,1,32,2,1,0.559820,0.098326
39726,25,59,64,6,6,11,1,1,2,64,2,1,0.729778,0.169064
18126,39,51,42,3,5,12,2,2,2,8,8,1,0.222477,1.955807
23899,49,16,47,0,8,3,2,1,2,16,4,1,0.933525,0.141422
31443,17,67,79,2,5,9,1,2,2,32,4,1,1.114921,0.158074
5347,81,19,119,6,5,0,4,1,4,8,16,1,1.762920,1.477089
