nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
20951,26,18,20,2,9,5,2,2,2,16,8,1,0.366484,0.124274
28616,19,17,25,6,7,6,2,1,2,32,4,1,0.185253,0.072571
8255,21,25,17,1,6,0,2,4,2,4,16,1,0.201039,0.178730
792,16,24,18,2,9,12,4,4,4,1,64,1,0.472837,0.361284
4225,16,21,21,4,8,11,2,4,4,2,32,1,0.128488,0.227432
853,17,24,27,3,3,10,4,4,4,1,64,1,0.270680,0.500083
10947,26,22,19,4,2,1,2,2,1,32,4,1,0.153309,0.069508
45030,17,21,19,3,6,7,1,1,1,64,1,1,0.033634,0.018291
14458,22,23,25,2,0,6,1,1,1,64,1,1,0.129681,0.018730
16285,28,29,24,5,9,8,2,2,2,8,8,1,0.202931,0.135089
12348,21,16,22,1,1,9,1,1,2,64,2,1,0.150855,0.054551
7147,25,23,21,2,7,2,4,4,2,4,32,1,0.496376,0.277032
7059,17,24,30,2,2,4,2,4,4,4,32,1,0.446972,0.287718
5945,30,20,25,5,0,9,4,2,4,4,32,1,0.339832,0.226466
5589,28,20,21,6,6,10,4,4,2,4,32,1,0.316692,0.360143
27614,24,29,22,6,3,8,2,2,1,16,4,1,0.149334,0.079804
3087,20,24,28,6,1,13,2,4,4,4,32,1,0.294900,0.231391
34659,25,28,24,2,3,12,1,2,1,32,2,1,0.220742,0.060816
555,20,23,19,2,9,1,1,1,1,64,1,1,0.102059,0.019418
37229,30,17,26,6,0,0,2,1,1,32,2,1,0.117404,0.034133
1935,28,18,17,0,0,8,2,2,1,32,4,1,0.388256,0.061563
10802,27,25,28,4,1,0,2,2,4,8,16,1,0.297578,0.241518
1577,16,16,22,6,1,7,1,1,2,32,2,1,0.074021,0.030656
32481,20,16,18,5,7,3,2,1,2,32,4,1,0.149169,0.054938
4936,29,22,24,5,0,6,4,2,2,8,16,1,0.357150,0.199179
1929,19,26,28,1,4,0,4,4,4,2,64,1,0.885244,0.676374
41986,19,23,26,6,8,8,1,1,2,64,2,1,0.177154,0.064153
5445,26,17,16,5,9,4,4,2,2,4,16,1,0.116882,0.120763
8097,26,17,18,4,1,5,4,4,4,1,64,1,0.277706,0.348253
137,27,17,31,0,1,3,4,4,4,1,64,1,0.841451,1.130938
3910,29,20,17,4,3,8,4,4,2,2,32,1,0.181281,0.240073
1780,17,19,19,6,1,5,2,4,4,2,32,1,0.171506,0.214847
13787,24,28,21,0,3,8,2,4,2,8,16,1,0.719674,0.276767
7834,23,18,21,6,8,0,2,2,2,16,8,1,0.194249,0.165905
4430,22,18,30,0,4,4,2,2,4,8,16,1,0.604804,0.241636
18503,28,29,31,0,4,13,2,2,2,8,8,1,0.767018,0.213109
45253,27,27,18,1,4,12,1,1,1,64,1,1,0.100878,0.025462
5025,23,25,23,3,1,12,4,4,2,4,32,1,0.174410,1.223086
8875,29,19,29,3,8,8,4,2,2,4,16,1,0.115468,0.248322
9024,25,27,28,4,7,9,1,2,2,16,4,1,0.161466,0.076477
5367,23,20,29,6,9,10,4,2,4,4,32,1,0.338522,0.287334
36523,31,27,17,5,2,12,2,1,1,32,2,1,0.127190,0.041152
44931,17,18,25,6,8,1,1,1,1,64,1,1,0.067047,0.020882
4693,24,27,26,5,2,1,2,4,4,4,32,1,0.346093,0.393401
9222,17,27,27,0,0,9,2,4,2,4,16,1,0.459755,0.135753
12840,17,19,17,6,2,3,2,4,2,8,16,1,0.175093,0.164816
8550,29,22,30,4,1,8,2,1,2,16,4,1,0.154056,0.074623
7410,26,21,20,6,6,4,2,2,2,16,8,1,0.219369,0.134765
1292,24,27,16,0,1,12,1,2,1,32,2,1,0.263938,0.038959
20745,20,18,29,3,6,1,2,2,2,16,8,1,0.121582,0.133668
33363,26,21,22,5,6,11,2,1,1,32,2,1,0.119834,0.043491
309,18,19,19,6,1,12,4,4,4,1,64,1,0.231934,0.549844
1678,26,19,20,3,1,11,4,4,4,2,64,1,0.235619,1.667659
7896,23,19,20,3,0,3,4,4,4,1,64,1,0.196062,0.373743
1836,21,31,30,4,6,7,2,4,4,2,32,1,0.270394,0.522550
452,26,17,22,3,8,11,4,4,4,1,64,1,0.216913,0.628361
6563,16,20,25,6,9,1,2,4,4,4,32,1,0.218948,0.202359
3010,28,25,27,1,1,5,4,2,4,4,32,1,0.638814,0.395616
42747,20,18,19,2,2,5,2,1,1,64,2,1,0.183977,0.049408
10162,30,17,29,2,9,6,2,1,2,32,4,1,0.323645,0.088081
43911,26,18,18,0,6,7,1,1,1,64,1,1,0.192719,0.022965
9797,27,21,31,4,6,4,2,2,4,4,16,1,0.163478,0.287412
3618,19,27,27,6,7,13,2,4,2,8,16,1,0.327540,0.239136
4413,18,21,28,0,5,1,2,4,4,4,32,1,0.664635,0.297077
22678,32,16,26,0,3,2,2,1,2,16,4,1,0.364482,0.066796
119,21,20,30,2,1,7,4,4,4,1,64,1,0.981693,0.481903
11990,27,29,32,0,9,1,2,2,4,8,16,1,1.192095,0.277201
12254,24,31,27,4,5,9,2,4,2,8,16,1,0.323041,0.271697
34424,27,29,24,2,6,10,1,2,1,32,2,1,0.248674,0.053201
22366,23,23,31,5,4,7,2,2,2,16,8,1,0.316046,0.184403
27784,19,20,26,1,0,0,1,2,2,32,4,1,0.196416,0.065259
4050,21,19,29,0,4,10,2,2,2,8,8,1,0.416051,0.142614
8004,22,27,16,0,6,13,2,4,2,4,16,1,0.367359,0.220114
12503,24,32,18,3,1,12,1,2,1,64,2,1,0.108572,0.058117
9654,27,18,17,3,1,2,4,2,2,4,16,1,0.078774,0.585773
1949,29,18,29,2,8,13,1,1,1,64,1,1,0.154833,0.025143
2352,23,23,17,5,9,1,4,4,4,2,64,1,0.372598,0.460778
6443,19,26,28,2,4,4,2,4,4,2,32,1,0.383824,0.367906
15328,26,28,28,0,1,13,4,4,4,2,64,1,1.553025,2.070776
17803,18,18,32,2,5,11,2,2,2,8,8,1,0.213849,0.085217
43459,17,26,20,6,1,2,1,1,1,64,1,1,0.074080,0.018817
20274,24,19,32,2,3,4,2,2,2,16,8,1,0.444408,0.165536
9332,18,25,16,0,4,2,2,2,1,16,4,1,0.213503,0.051258
44216,28,18,17,3,2,1,1,1,1,64,1,1,0.034716,0.018152
2706,22,22,32,2,9,5,4,2,4,4,32,1,0.633458,0.283549
1858,17,26,18,6,4,1,4,4,4,2,64,1,0.324720,0.421393
16929,22,32,17,2,2,7,2,2,2,8,8,1,0.248589,0.104095
23822,24,16,20,0,1,1,2,1,2,16,4,1,0.222906,0.045438
17776,21,20,17,0,0,9,2,2,2,8,8,1,0.260579,0.067024
2391,19,17,22,5,5,0,2,1,2,16,4,1,0.087431,0.042088
38243,17,20,29,3,3,6,1,1,2,64,2,1,0.099424,0.055658
4414,21,17,16,1,5,7,4,4,2,4,32,1,0.381980,0.187000
13314,22,16,17,1,8,13,4,2,2,8,16,1,0.270628,0.218421
4820,18,25,18,1,5,10,2,4,2,8,16,1,0.338508,0.162985
2435,20,24,18,3,9,13,4,4,2,2,32,1,0.121200,0.197871
34338,24,32,32,6,5,3,1,2,1,32,2,1,0.193477,0.057808
39304,18,24,27,1,3,3,1,1,2,64,2,1,0.167685,0.070170
4382,17,30,25,4,0,9,2,4,4,4,32,1,0.257705,0.186629
2987,31,30,29,5,1,7,4,4,2,2,32,1,0.447042,0.653488
1190,16,21,19,4,9,0,1,2,1,32,2,1,0.068669,0.044252
952,24,22,24,6,1,8,2,1,1,32,2,1,0.116976,0.039305
46377,21,29,24,2,8,2,1,1,1,64,1,1,0.152573,0.026690
26877,25,19,21,2,1,3,2,1,2,16,4,1,0.158898,0.049962
13839,32,32,17,6,6,6,1,1,1,64,1,1,0.135915,0.024536
