nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
0,24,20,16,0,6,3,4,4,4,1,64,1,0.554192,1.593615
11,21,19,19,3,5,7,4,4,4,1,64,1,0.230325,1.285796
23,21,25,23,1,8,7,4,4,4,1,64,1,1.084074,0.803311
44,29,29,19,6,8,10,4,4,4,1,64,1,0.661635,1.075467
4637,30,16,30,2,8,4,4,4,4,1,64,1,0.650296,0.794299
4675,22,27,23,5,4,12,4,4,4,1,64,1,0.384031,0.665086
4707,21,29,17,2,5,0,4,4,4,1,64,1,0.687151,0.645452
4729,19,18,24,3,7,12,4,4,4,1,64,1,0.222998,0.386538
4743,16,30,16,3,2,9,4,4,4,1,64,1,0.229925,1.670963
4746,17,17,22,0,4,7,4,4,4,1,64,1,0.873306,0.344592
4814,20,20,29,5,3,3,4,4,4,1,64,1,0.333021,0.482734
4815,30,28,16,1,1,6,4,4,4,1,64,1,0.775911,0.557162
4884,30,19,24,4,9,2,4,4,4,1,64,1,0.317478,0.535356
4962,22,22,24,2,6,9,4,4,4,1,64,1,0.765650,0.639850
4965,21,23,30,4,4,6,4,4,4,1,64,1,0.397064,0.612830
5009,26,18,19,6,8,11,4,4,4,1,64,1,0.296228,0.642649
5019,23,28,28,4,4,9,4,4,4,1,64,1,0.407836,0.728361
7556,25,16,17,6,0,9,4,4,4,1,64,1,0.314660,0.307365
7574,29,22,25,0,9,0,4,4,4,1,64,1,1.156606,0.600921
7575,17,18,27,2,2,9,4,4,4,1,64,1,0.622841,0.474620
7611,26,22,19,0,4,2,4,4,4,1,64,1,0.750719,0.607350
7637,21,21,21,6,3,7,4,4,4,1,64,1,0.463634,0.435586
7648,32,25,17,4,7,10,8,4,2,1,64,1,0.367690,0.396877
7649,16,16,31,0,6,0,4,4,4,1,64,1,0.679845,0.601375
7673,24,16,32,1,6,4,4,4,4,1,64,1,0.424893,0.525559
7687,16,16,17,5,9,2,4,4,4,1,64,1,0.166089,0.276308
7713,31,18,28,4,1,8,4,4,4,1,64,1,0.402086,0.644448
7715,27,27,26,3,0,10,4,4,4,1,64,1,0.356851,0.559982
7742,29,22,24,2,7,7,4,4,4,1,64,1,1.123759,0.656910
7775,30,16,32,0,1,11,4,4,4,1,64,1,1.094319,1.070717
7794,22,22,29,3,9,10,4,4,4,1,64,1,0.306691,0.476036
7830,18,20,28,0,5,6,4,4,4,1,64,1,1.268724,0.824060
7833,21,19,27,5,5,12,4,4,4,1,64,1,0.333703,0.670060
7850,22,24,27,6,5,10,4,4,4,1,64,1,0.572987,0.649507
7862,22,23,20,1,2,11,4,4,4,1,64,1,0.566609,0.602794
7887,22,19,22,1,0,12,4,4,4,1,64,1,0.558018,0.399904
7896,23,19,20,3,0,3,4,4,4,1,64,1,0.196062,0.373743
7910,24,18,26,0,5,3,4,4,4,1,64,1,0.711253,1.011831
7922,16,31,17,3,3,9,4,4,4,1,64,1,0.237947,0.388812
7979,20,18,21,1,0,4,4,4,4,1,64,1,0.346285,0.342008
7991,19,23,29,6,5,2,4,4,4,1,64,1,0.300016,0.600065
7996,21,24,27,1,3,3,4,4,4,1,64,1,0.536390,0.607857
8000,20,17,28,4,6,9,4,4,4,1,64,1,0.308970,0.487688
8034,25,22,30,1,4,5,4,4,4,1,64,1,1.007761,0.720881
8051,16,21,19,4,1,12,4,4,4,1,64,1,0.194756,0.512175
8061,23,30,22,0,3,5,4,4,4,1,64,1,1.610219,0.710899
