msgsize,ppn,nnodes,avg,std
39556,115097,64,64,0.000506578,0.250704
16673,379640,4,16,0.00095083,0.328918
26608,73668,2,1,8.57272e-05,0.145837
33097,293012,32,64,0.000941757,0.257365
23662,267443,2,32,0.000937836,0.336297
24748,173582,32,4,0.000257981,0.193405
11865,85399,1,4,0.000139329,0.449775
31657,86613,8,16,0.000280753,0.308969
57582,509107,1,4,0.000249218,0.322389
12268,100444,2,2,0.000129973,0.263235
24441,693273,4,64,0.00144754,0.577266
18942,79086,4,64,0.000359772,0.267403
53313,332172,4,1,0.000135999,0.121169
4606,251082,4,2,0.000195432,0.145746
26742,434486,2,8,0.000733746,0.190912
18094,599264,16,16,0.0012241,0.164211
22258,91130,64,8,0.000249944,0.300823
39609,429084,4,2,0.000328609,0.101059
63677,278451,8,64,0.000937906,0.288086
52925,495394,32,4,0.000584117,0.0616753
16548,252447,2,4,0.000301334,0.200753
11883,184713,4,8,0.000445559,0.290872
62609,311304,32,4,0.000344206,0.107843
14861,297242,8,2,0.000275487,0.18288
42334,855616,32,8,0.00125403,0.075624
57209,75913,4,16,0.000293628,0.256218
33202,493521,64,4,0.00112098,0.308086
15051,203256,16,2,0.000173523,0.145291
57401,85208,4,1,3.5978e-05,0.283831
60485,149155,64,4,0.000261096,0.173902
18113,104563,16,1,4.34649e-05,0.269526
20346,120589,2,8,0.00027763,0.2155
14214,128090,32,16,0.000366588,0.184954
13992,1012204,8,32,0.00175513,0.080959
11296,274849,2,32,0.0010353,0.344455
746,659474,8,1,0.000282765,0.101601
53754,903378,64,2,0.000900625,0.0295498
4993,240313,8,2,0.000187558,0.204471
64248,238591,32,4,0.000328507,0.0870116
1894,80131,1,8,0.000190529,0.332831
9276,68361,8,128,0.000419335,0.206003
4153,80383,16,8,0.000223247,0.24446
38808,88612,2,16,0.000289097,0.335057
35097,287708,1,32,0.000749616,0.272484
9334,71743,1,16,0.0003146,0.631333
8004,638649,32,64,0.00160434,0.176602
10874,691956,64,1,0.000503346,0.0592236
44570,182531,1,4,0.000207913,0.324731
4847,93618,16,4,0.000186665,0.274149
22143,1012030,2,2,0.000622714,0.080242
39326,776643,2,32,0.00172058,0.288473
7035,88091,4,2,0.000101715,0.206021
7156,87062,32,2,0.00011224,0.166514
26111,835891,2,1,0.00042231,0.0691451
18464,293098,64,1,0.000172135,0.160537
54061,86415,1,16,0.000388778,0.651629
19938,180023,32,4,0.000260426,0.20036
16322,321183,4,4,0.000368214,0.118638
33222,70539,32,2,9.86341e-05,0.174327
1919,658659,1,8,0.000982413,0.160991
27101,547732,64,2,0.000602088,0.0600098
1134,554462,8,64,0.00139475,0.167175
57006,688037,16,32,0.00138926,0.151439
56423,938275,2,1,0.000445128,0.0679477
19839,134540,32,4,0.000206226,0.179676
7116,500030,2,16,0.000869422,0.193565
24972,326405,2,16,0.00090087,0.161119
9454,447340,16,64,0.00108676,0.172419
52570,99043,64,2,0.000121928,0.220615
29660,1026149,64,1,0.000760666,0.0330067
28927,235261,16,4,0.000280252,0.156972
21746,113830,2,16,0.000343685,0.279422
43748,342236,4,32,0.000989291,0.315142
41778,112002,16,1,4.66049e-05,0.356462
6154,109018,4,64,0.000447146,0.267129
20048,83692,2,128,0.000533503,0.414658
21029,226924,32,32,0.0008583,0.302373
12618,229346,2,16,0.000664248,0.244313
57448,153401,1,8,0.000386185,0.296621
57716,612917,1,16,0.00127988,0.225023
48836,1039922,1,2,0.00016466,0.100425
5893,368923,8,128,0.00120526,0.246317
33154,849162,16,2,0.000636001,0.0602423
53548,263475,32,8,0.000580069,0.255969
32434,762876,64,4,0.00100903,0.0759791
57307,85414,32,4,0.000146676,0.101516
46261,805488,32,4,0.000823634,0.0540846
20471,1001801,8,8,0.00124495,0.191504
1923,712759,64,128,0.00237756,0.201207
7077,220324,32,64,0.000838165,0.262589
43797,304067,1,4,0.000190173,0.393959
25791,69344,1,2,5.19851e-05,0.32906
26125,101312,64,1,5.118e-05,0.20001
64008,132407,4,4,0.000210886,0.271797
16284,183965,64,16,0.000520396,0.199624
14313,79114,64,4,0.000189286,0.397846
55185,582476,32,8,0.00106942,0.0970387
34720,169190,64,16,0.000532869,0.196492
50240,315013,32,4,0.000384045,0.0916247
12385,270991,16,64,0.0008909,0.22852
47005,175669,16,2,0.000152447,0.166213
57994,94930,64,64,0.000458662,0.268393
36566,992385,32,4,0.00100128,0.0271807
34304,318558,16,2,0.00026286,0.144721
10516,314347,16,2,0.000238257,0.124994
35355,796369,1,32,0.00146108,0.2762
6808,93796,32,64,0.000428969,0.359266
54020,1021231,4,32,0.00146466,0.229073
50619,84972,8,2,8.39589e-05,0.225637
48955,97860,2,2,0.000112071,0.205693
20047,65817,1,8,0.000182622,0.345445
46988,273939,2,16,0.000772052,0.263352
33716,128992,1,32,0.000371551,0.320283
40435,66738,64,4,0.000156307,0.154174
27479,906605,32,8,0.0013002,0.0582715
8249,190214,8,1,8.26584e-05,0.203404
39126,982698,8,32,0.0016926,0.101295
54592,888988,2,4,0.000659861,0.140082
16393,89999,2,64,0.000374583,0.259496
16581,996943,8,64,0.00190183,0.1579
16982,151600,4,64,0.000717055,0.389661
14719,199100,8,32,0.000694618,0.26417
31261,485487,64,16,0.0015752,0.219913
16936,69174,32,2,8.45695e-05,0.185578
34462,686089,2,2,0.00050168,0.098672
11110,557920,8,8,0.00106127,0.165644
9876,272892,64,8,0.000723824,0.152975
37612,228373,64,4,0.000371985,0.136211
15140,642513,2,64,0.00128449,0.246519
62743,697872,8,64,0.00171628,0.17798
30273,221879,64,8,0.000556029,0.203646
63389,109494,64,16,0.000384645,0.314546
58159,950672,1,8,0.000990888,0.160418
7102,327822,8,64,0.00111461,0.248063
24109,793881,8,8,0.00118636,0.250894
54442,389438,4,1,0.000162012,0.117222
27919,98356,16,4,0.000172664,0.256386
53771,527174,2,2,0.00040297,0.0775821
11184,329182,4,8,0.000820392,0.368041
8294,616460,8,2,0.000445132,0.084934
49529,483349,8,2,0.000325238,0.0984593
9730,173636,2,1,0.000101297,0.218999
13382,651514,4,1,0.00026384,0.0944345
2242,74318,32,1,3.71788e-05,0.241198
49962,79357,64,16,0.000283735,0.234782
26975,95736,64,16,0.000322798,0.367707
27618,205143,2,4,0.000290503,0.208299
45025,714642,16,4,0.000750782,0.0615804
11162,263112,64,2,0.000311921,0.136476
51983,82676,16,2,8.72039e-05,0.150001
19948,66438,2,4,0.0001822,0.308418
41697,151453,4,2,0.000147925,0.17986
15809,411885,64,4,0.000966601,0.233151
13756,821615,1,64,0.00155484,0.346201
36975,69943,64,1,3.50874e-05,0.210625
65516,216411,2,16,0.000649098,0.204268
62380,579796,64,32,0.0019471,0.249452
59941,548507,32,32,0.0014043,0.17534
19187,943152,4,4,0.000979025,0.0470893
11568,124261,1,64,0.000622235,0.651629
37584,473482,64,64,0.00179383,0.217989
6724,135374,2,32,0.000683417,0.448821
10189,333085,32,4,0.000418561,0.114344
3349,544798,4,128,0.00159068,0.348627
43497,472847,4,16,0.00100867,0.285636
2792,399130,64,32,0.00121587,0.193925
8736,179331,8,128,0.000757885,0.235446
19689,398030,1,32,0.00105535,0.275522
12307,655616,16,128,0.00175494,0.190171
1002,317650,8,32,0.000889053,0.238684
35667,94889,16,1,3.55857e-05,0.303846
3241,514608,4,2,0.000390015,0.0909313
51556,277316,64,4,0.000439623,0.102032
42375,968552,16,1,0.000425911,0.0990174
30139,908233,4,1,0.000379341,0.0845664
51718,492965,8,4,0.000528476,0.127816
48432,319326,1,2,9.01021e-05,0.257523
833,133713,64,8,0.000369757,0.203426
20979,164456,8,2,0.000171043,0.158413
39030,144467,8,8,0.000350067,0.241835
18647,616882,2,1,0.000326596,0.0731727
3430,519484,32,64,0.00135881,0.200861
59129,932204,64,8,0.00156238,0.0509554
52774,387088,8,8,0.000774031,0.276962
40206,400653,64,128,0.0013087,0.144124
60308,442067,32,1,0.000224332,0.104469
10033,217903,32,8,0.000523152,0.244856
46907,119553,4,16,0.000353743,0.272118
56928,104848,32,16,0.000309543,0.259233
47679,469484,32,16,0.00100953,0.147608
12493,372812,1,128,0.001104,0.240961
16103,623286,16,8,0.00110888,0.136512
20164,102908,16,32,0.000343053,0.286804
26230,431068,1,4,0.00021913,0.203633
10075,282068,8,2,0.000212692,0.156484
45026,329914,1,8,0.000662727,0.230389
23201,83845,32,32,0.000433148,0.429723
42600,169687,64,4,0.000338141,0.21833
44518,123299,16,16,0.000385906,0.246725
56404,619373,16,2,0.000518878,0.0814729
62849,115537,8,8,0.000275319,0.290723
50216,356657,32,2,0.0003272,0.0695691
9738,162241,16,16,0.00051458,0.263199
14913,948551,8,64,0.00187833,0.150282
48417,197829,32,16,0.000561952,0.211587
43293,438013,64,64,0.00169712,0.177723
38131,537992,16,2,0.000430286,0.109908
55637,67388,8,2,8.16146e-05,0.294172
33132,407784,32,2,0.000379833,0.0880983
62120,980741,16,2,0.000721624,0.0467987
25119,360136,64,64,0.00127607,0.192882
4530,123576,4,1,5.29302e-05,0.151118
8508,658495,16,128,0.00166206,0.195605
15423,937363,2,64,0.00129588,0.163663
16022,113326,32,32,0.000489009,0.358498
59917,406771,1,2,0.000105366,0.366688
44615,446690,16,4,0.000468685,0.108239
10488,819267,16,8,0.0012176,0.0931171
5262,626580,32,16,0.00126794,0.129755
38750,702734,2,8,0.00103998,0.208599
19465,112367,64,4,0.000226647,0.210437
58490,124695,64,4,0.000236427,0.200477
32166,384352,64,1,0.000269367,0.106088
793,160856,64,1,7.88287e-05,0.255095
4686,957006,2,128,0.00156538,0.202844
4899,498021,2,1,0.000240271,0.102082
29112,143587,8,32,0.000526906,0.253365
6471,303273,16,1,0.000144046,0.171532
32678,344412,16,2,0.000278139,0.135139
50182,124608,2,8,0.000280551,0.20776
52404,119646,32,4,0.000179745,0.0927497
61435,545084,8,16,0.00113551,0.15976
50839,81753,2,2,0.000110365,0.26671
5758,478416,2,8,0.000757957,0.204647
27564,92157,8,4,0.000177201,0.276004
27666,262531,2,1,0.000145665,0.153412
40581,662479,2,2,0.000474829,0.0617044
16339,78601,64,8,0.000247887,0.504547
4877,66555,16,2,7.96028e-05,0.2989
64457,108742,2,2,0.000124165,0.272443
37251,173665,4,4,0.000245573,0.239892
11427,736483,32,16,0.00138678,0.121646
2588,83966,2,32,0.000436727,0.525261
14472,617203,16,64,0.00141974,0.158573
37201,484041,1,16,0.00111414,0.347568
7122,372462,64,16,0.00104673,0.174508
11621,107963,64,8,0.000306256,0.370071
31764,967583,1,128,0.00148848,0.171494
9907,105276,4,128,0.000626721,0.490248
27226,685185,2,1,0.000328339,0.0800175
19054,197062,2,4,0.000353107,0.193
57514,667573,2,32,0.00144807,0.379415
19732,636728,64,32,0.00205086,0.224703
45745,79912,16,1,3.29843e-05,0.336442
11011,169500,64,16,0.000521318,0.276201
23859,263466,64,16,0.000792835,0.213089
48811,560239,1,16,0.00119534,0.322491
17018,343461,2,16,0.000809377,0.350163
36286,126875,1,16,0.000451893,0.684179
16190,719680,1,64,0.00179112,0.342689
43361,315692,4,32,0.000944881,0.372622
21954,577650,1,4,0.000256808,0.212693
26733,343541,32,1,0.000174633,0.850145
2981,856786,64,16,0.00162543,0.0839987
59440,341699,2,4,0.000379108,0.121232
25918,397849,16,64,0.00116012,0.280927
65196,264447,64,16,0.000775824,0.163904
32798,394785,2,16,0.000874354,0.353602
1454,108713,4,8,0.000295148,0.368767
14903,768364,8,64,0.00184047,0.186406
33001,80754,1,2,5.99581e-05,0.433156
33617,294874,2,32,0.00112797,0.339336
23885,79243,8,32,0.000320298,0.264893
15511,123088,1,128,0.000485407,0.23992
60134,666553,1,16,0.00115888,0.334095
45238,817957,64,64,0.00234844,0.162098
40539,273951,8,2,0.000208367,0.110172
50716,87478,64,4,0.000175509,0.178856
37843,107014,64,64,0.000502509,0.245806
58991,509590,32,8,0.000936784,0.141075
16737,134287,8,32,0.000499117,0.275888
43140,726091,32,32,0.00168791,0.170703
41121,69299,8,2,8.34353e-05,0.315748
125,421171,8,8,0.000816783,0.156806
4513,87605,32,16,0.00028115,0.303184
4707,348082,32,128,0.00109618,0.218214
26092,285336,4,64,0.000963354,0.350767
17984,166348,4,128,0.000945298,0.368464
12771,749363,64,4,0.00143293,0.189655
62513,172935,32,32,0.000780163,0.255108
6432,313010,64,2,0.000368896,0.0740306
37802,68017,4,4,0.000153724,0.368536
