msgsize,ppn,nnodes,avg,std
46930,4173995,4,4,0.00285247,0.0876618
53559,5358932,16,4,0.0036566,0.0151815
39556,115097,64,64,0.000506578,0.250704
16673,379640,4,16,0.00095083,0.328918
26608,73668,2,1,8.57272e-05,0.145837
33097,293012,32,64,0.000941757,0.257365
23662,267443,2,32,0.000937836,0.336297
24748,173582,32,4,0.000257981,0.193405
11865,85399,1,4,0.000139329,0.449775
23088,6285460,4,8,0.00548085,0.385063
31657,86613,8,16,0.000280753,0.308969
57582,509107,1,4,0.000249218,0.322389
12268,100444,2,2,0.000129973,0.263235
24441,693273,4,64,0.00144754,0.577266
18942,79086,4,64,0.000359772,0.267403
29688,43562706,1,64,0.0684431,0.10548
53313,332172,4,1,0.000135999,0.121169
6213,22251233,2,16,0.00803965,0.0263761
47011,36524896,16,64,0.0300495,0.0570249
4606,251082,4,2,0.000195432,0.145746
43264,26042999,1,16,0.0104246,0.220249
3439,2953106,8,16,0.00413827,0.168386
32328,5072668,1,4,0.00120237,0.157356
16242,10653358,2,64,0.0059133,0.142894
26109,28460381,8,8,0.0184296,0.00911255
26742,434486,2,8,0.000733746,0.190912
18094,599264,16,16,0.0012241,0.164211
22258,91130,64,8,0.000249944,0.300823
54723,51893417,4,1,0.0204382,0.0059345
39609,429084,4,2,0.000328609,0.101059
36461,1104151,4,1,0.000439265,0.0667245
63677,278451,8,64,0.000937906,0.288086
57425,6897611,16,64,0.00607595,0.0417161
12153,3519014,16,64,0.00381976,0.0602718
52925,495394,32,4,0.000584117,0.0616753
16548,252447,2,4,0.000301334,0.200753
11883,184713,4,8,0.000445559,0.290872
62609,311304,32,4,0.000344206,0.107843
14861,297242,8,2,0.000275487,0.18288
42334,855616,32,8,0.00125403,0.075624
43277,9144457,2,16,0.00386958,0.129658
41947,3743913,4,32,0.00326011,0.183074
57209,75913,4,16,0.000293628,0.256218
25072,12064594,2,1,0.00434369,0.00634515
33202,493521,64,4,0.00112098,0.308086
19255,4309419,4,128,0.00599149,0.304445
15051,203256,16,2,0.000173523,0.145291
5682,10272059,64,32,0.0110212,0.0258746
57401,85208,4,1,3.5978e-05,0.283831
60485,149155,64,4,0.000261096,0.173902
6526,19272677,64,1,0.0134876,0.0108183
35608,2628717,2,4,0.00135094,0.0543362
25997,16188115,32,8,0.0122586,0.0220719
18113,104563,16,1,4.34649e-05,0.269526
5908,62801856,2,128,0.0452738,0.0703614
20346,120589,2,8,0.00027763,0.2155
63939,25455291,2,1,0.00835722,0.00402425
14214,128090,32,16,0.000366588,0.184954
13992,1012204,8,32,0.00175513,0.080959
11296,274849,2,32,0.0010353,0.344455
746,659474,8,1,0.000282765,0.101601
17143,2156150,32,16,0.00248313,0.0430919
53754,903378,64,2,0.000900625,0.0295498
4993,240313,8,2,0.000187558,0.204471
64248,238591,32,4,0.000328507,0.0870116
59365,22568068,1,16,0.0095486,0.207166
11836,10528765,64,128,0.0121254,0.0375488
1894,80131,1,8,0.000190529,0.332831
