,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,14784,cube,41,1,4,0.00047,0.006474,7e-06,0.001567,0.295332,0.056348,0.125522,0.003067,0.489347
0,1,64,1,14336,cube,85,1,14,0.000731,0.006492,5e-06,0.002503,0.35747,0.223479,4.38381,0.024059,4.99896
0,1,64,1,14656,cube,196,4,5,0.000532,0.007383,6e-06,0.000378,0.21192,0.111214,0.051741,0.00054,0.384154
0,1,64,1,14080,cube,182,1,10,0.000468,0.006875,8e-06,0.001864,0.219931,0.243779,1.37402,0.011442,1.859
0,1,64,1,14720,cube,116,3,13,0.000612,0.006881,7e-06,0.000574,0.22049,0.147212,0.836826,0.002685,1.21574
0,1,64,1,15680,cube,234,3,6,0.000786,0.006912,8e-06,0.000651,0.222337,0.281611,0.07294,0.000668,0.586114
0,1,64,1,15040,cube,173,4,15,0.000585,0.007279,7e-06,0.000516,0.143477,0.405959,1.66018,0.003945,2.22239
0,1,64,1,15360,cube,101,1,9,0.001871,0.006351,7e-06,0.002029,0.221922,0.224193,1.01507,0.009988,1.48071
0,1,64,1,15296,cube,248,1,9,0.000977,0.006718,7e-06,0.001362,0.159928,0.206408,0.523545,0.008475,0.907432
0,1,64,1,16320,cube,55,3,6,0.000545,0.007144,7e-06,0.000599,0.304469,0.047896,0.075603,0.000697,0.437403
0,1,64,1,14464,cube,211,3,11,0.000587,0.008016,7e-06,0.000454,0.203678,0.162654,0.448303,0.001851,0.825894
0,1,64,1,16128,cube,64,1,13,0.000783,0.007166,7e-06,0.002357,0.203661,0.215552,3.34061,0.022022,3.7925
0,1,64,1,16256,cube,113,4,6,0.00104,0.00735,5e-06,0.000478,0.391376,0.096952,0.088362,0.000732,0.586231
0,1,64,1,14720,cube,90,4,7,0.001099,0.008063,6e-06,0.000275,0.163887,0.144358,0.139399,0.000834,0.45781
0,1,64,2,16128,cube,241,1,5,0.000522,0.006759,7e-06,0.001813,0.229899,0.091619,0.194483,0.003479,0.529248
0,1,64,2,14656,cube,134,2,8,0.000825,0.007233,6e-06,0.000349,0.279187,0.062942,0.305275,0.00155,0.657599
0,1,64,2,15360,cube,70,2,5,0.000662,0.007227,7e-06,0.000552,0.141863,0.134566,0.078123,0.00081,0.364194
0,1,64,2,15104,cube,245,2,6,0.000891,0.006899,6e-06,0.000323,0.249729,0.123302,0.415761,0.000896,0.797988
0,1,64,2,15808,cube,52,2,10,0.000737,0.006473,7e-06,0.000468,0.173083,0.173857,0.587389,0.00261,0.944961
0,1,64,2,15360,cube,115,2,11,0.000603,0.006115,6e-06,0.000995,0.111542,0.239656,0.79942,0.002985,1.1619
0,1,64,2,16320,cube,130,1,5,0.00054,0.00677,7e-06,0.001988,0.242286,0.084644,0.201758,0.003553,0.542192
0,1,64,2,15040,cube,128,4,9,0.001146,0.007473,9e-06,0.000461,0.253446,0.145892,0.440131,0.00206,0.850657
0,1,64,2,16064,cube,35,3,15,0.001079,0.00669,6e-06,0.000761,0.210865,0.287067,3.16098,0.007927,3.67538
0,1,64,2,14976,cube,103,2,5,0.001297,0.007282,7e-06,0.000549,0.147916,0.154759,0.077726,0.000788,0.390094
0,1,64,2,15232,cube,126,1,14,0.001485,0.006652,7e-06,0.002649,0.328997,0.218851,4.32878,0.022157,4.9092
0,1,64,2,15296,cube,194,1,14,0.001155,0.006993,6e-06,0.002529,0.243507,0.21924,4.33083,0.022295,4.82668
0,1,32,2,15104,cube,86,3,15,0.000652,0.004056,6e-06,0.00092,0.10678,0.117568,1.55783,0.004078,1.79229
0,1,32,2,15776,cube,55,3,6,0.000599,0.003835,7e-06,0.000648,0.138257,0.05105,0.084981,0.000734,0.280542
0,1,32,2,14464,cube,119,3,15,0.000516,0.003597,5e-06,0.000802,0.15631,0.128256,1.56333,0.004058,1.85735
0,1,32,2,14464,cube,59,2,11,0.000484,0.003543,5e-06,0.000595,0.114328,0.065407,0.517571,0.002013,0.704314
0,1,32,2,16352,cube,191,4,11,0.000498,0.003927,5e-06,0.000705,0.123584,0.140424,0.576437,0.00228,0.848286
0,1,32,2,15584,cube,198,3,10,0.000605,0.003897,6e-06,0.000742,0.161269,0.079559,0.380531,0.001709,0.62863
0,1,32,2,16000,cube,239,2,10,0.000693,0.003742,5e-06,0.000639,0.189677,0.050635,0.337452,0.001742,0.584837
0,1,32,2,14816,cube,237,3,10,0.000484,0.0035,5e-06,0.000587,0.171656,0.092429,0.298728,0.001661,0.569444
0,1,32,2,16256,cube,83,4,11,0.000662,0.004384,6e-06,0.000632,0.104473,0.151805,0.575155,0.002271,0.83964
0,1,32,2,14976,cube,63,3,12,0.000708,0.003678,6e-06,0.00059,0.129413,0.110898,0.693554,0.002461,0.94156
0,1,32,2,14816,cube,84,2,6,0.000601,0.003433,7e-06,0.000618,0.158407,0.051184,0.084279,0.000718,0.299623
0,1,32,2,15840,cube,241,4,7,0.000529,0.003866,7e-06,0.000467,0.12158,0.113129,0.130156,0.000959,0.371039
0,1,32,4,16160,cube,180,1,6,0.000487,0.004339,6e-06,0.001875,0.138518,0.082766,0.233603,0.002337,0.464563
0,1,32,4,15616,cube,140,1,15,0.000616,0.0043,7e-06,0.003016,0.161821,0.177757,4.11259,0.014275,4.47494
0,1,32,4,14496,cube,180,4,15,0.000655,0.004413,5e-06,0.000751,0.112411,0.222501,2.66281,0.00652,3.01054
0,1,32,4,15808,cube,224,4,5,0.000497,0.004254,6e-06,0.000564,0.112806,0.201287,0.084846,0.000912,0.405648
0,1,32,4,14016,cube,104,2,10,0.00045,0.003507,6e-06,0.000658,0.147751,0.076361,0.641055,0.002518,0.872834
0,1,32,4,16256,cube,51,1,12,0.000478,0.004531,6e-06,0.002082,0.167856,0.120743,1.86073,0.008668,2.16565
