,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,7744,cube,137,4,6,0.000487,0.007133,8e-06,0.000289,0.120979,0.189811,0.145629,0.000289,0.465148
0,1,64,1,5760,cube,180,1,10,0.000412,0.006286,8e-06,0.000529,0.146923,0.150621,0.355263,0.00391,0.664645
0,1,64,1,4672,cube,116,2,7,0.000831,0.005944,5e-06,0.00086,0.149036,0.164126,0.113868,0.000229,0.434953
0,1,64,1,11136,cube,227,2,12,0.000466,0.005965,6e-06,0.000348,0.252267,0.163792,0.611087,0.001225,1.03558
0,1,64,1,14784,cube,41,1,4,0.00047,0.006474,7e-06,0.001567,0.295332,0.056348,0.125522,0.003067,0.489347
0,1,64,1,4928,cube,84,2,6,0.000415,0.006125,6e-06,0.000345,0.170231,0.189746,0.106846,0.000222,0.474543
0,1,64,1,8960,cube,232,3,11,0.000532,0.006455,9e-06,0.000403,0.340584,0.106138,0.427335,0.000776,0.88271
0,1,64,1,11072,cube,84,2,9,0.000834,0.005883,7e-06,0.000533,0.167935,0.24861,0.248712,0.001104,0.673993
0,1,64,1,4352,cube,141,2,9,0.000533,0.006113,6e-06,0.000318,0.325156,0.099628,0.195023,0.000311,0.627461
0,1,64,1,5120,cube,239,2,12,0.000979,0.006615,3e-06,0.000702,0.355093,0.111484,0.45719,0.000541,0.932516
0,1,64,1,6016,cube,125,4,10,0.000527,0.006613,7e-06,0.000267,0.337966,0.146189,0.284473,0.000457,0.776997
0,1,64,1,6464,cube,180,3,8,0.001015,0.00637,5.9e-05,0.000354,0.144404,0.134235,0.180146,0.000363,0.466872
0,1,64,1,5184,cube,225,2,6,0.000829,0.00601,5e-06,0.00037,0.171766,0.098044,0.090904,0.000222,0.368251
0,1,64,1,5696,cube,202,2,8,0.000442,0.006655,7e-06,0.000287,0.22847,0.064278,0.169442,0.000323,0.470435
0,1,64,1,9600,cube,95,4,15,0.001468,0.00736,6e-06,0.000623,0.200083,0.265176,1.41048,0.002994,1.88768
0,1,64,1,10624,cube,96,3,7,0.00049,0.006416,6e-06,0.000333,0.191871,0.113746,0.111505,0.000758,0.425851
0,1,64,1,6912,cube,135,3,6,0.000614,0.006734,6e-06,0.000245,0.145608,0.19479,0.118749,0.00025,0.467444
0,1,64,1,9600,cube,109,1,13,0.000546,0.006535,7e-06,0.002139,0.267794,0.182469,3.31553,0.016109,3.79159
0,1,64,1,7616,cube,215,1,15,0.0012,0.006223,7e-06,0.000715,0.30296,0.059706,1.39753,0.010825,1.77899
0,1,64,1,13056,cube,147,4,14,0.001392,0.007942,8e-06,0.000402,0.324982,0.205279,1.10611,0.002963,1.64867
0,1,64,1,7296,cube,130,4,9,0.000869,0.006345,5e-06,0.000173,0.060404,0.3663,0.252937,0.000489,0.687586
0,1,64,1,11968,cube,203,4,8,0.001246,0.006826,4e-06,0.000322,0.225915,0.262747,0.336597,0.000631,0.833952
0,1,64,1,6400,cube,66,2,14,0.001224,0.006055,5e-06,0.00047,0.122228,0.409097,1.0984,0.002123,1.63943
0,1,64,1,7296,cube,60,2,10,0.000941,0.006004,5e-06,0.000568,0.157921,0.314603,0.339451,0.001128,0.820671
0,1,64,1,4800,cube,227,2,5,0.000678,0.006447,6e-06,0.000268,0.190955,0.064016,0.066264,0.000157,0.329093
0,1,64,1,5696,cube,181,4,4,0.000581,0.007487,7e-06,0.00043,0.132677,0.113258,0.065464,0.000165,0.320553
0,1,64,1,7040,cube,101,2,10,0.000432,0.006782,6e-06,0.000373,0.212581,0.074835,0.319069,0.001018,0.615644
0,1,64,1,12544,cube,79,1,4,0.000492,0.007197,8e-06,0.00147,0.161344,0.107824,0.116652,0.002704,0.398331
0,1,64,1,6720,cube,254,4,6,0.0009,0.006628,6e-06,0.00029,0.110238,0.189431,0.119034,0.000253,0.426797
0,1,64,1,7168,cube,193,1,13,0.00055,0.005904,5e-06,0.000728,0.218907,0.09971,0.84252,0.007718,1.17648
0,1,64,1,4352,cube,165,3,8,0.000393,0.005876,6e-06,0.000313,0.269075,0.052682,0.145465,0.000242,0.474537
0,1,64,1,6400,cube,243,4,11,0.000546,0.007175,5e-06,0.000395,0.147741,0.226905,0.370297,0.000579,0.754123
0,1,64,1,4224,cube,57,3,13,0.000517,0.006935,6e-06,0.000573,0.246798,0.16676,0.75954,0.001386,1.18291
0,1,64,1,5504,cube,120,3,14,0.000756,0.006063,6e-06,0.000456,0.113565,0.294221,0.774422,0.000721,1.19039
0,1,64,1,10176,cube,56,3,4,0.001004,0.006181,8e-06,0.000435,0.246927,0.13263,0.023841,0.000295,0.411315
0,1,64,1,14336,cube,85,1,14,0.000731,0.006492,5e-06,0.002503,0.35747,0.223479,4.38381,0.024059,4.99896
0,1,64,1,5184,cube,207,3,10,0.001367,0.005953,5e-06,0.00026,0.090785,0.348983,0.266637,0.000401,0.713871
0,1,64,1,4992,cube,206,4,5,0.000454,0.007317,7e-06,0.000448,0.273187,0.175074,0.067532,0.000156,0.524694
0,1,64,1,6016,cube,134,4,4,0.000824,0.007081,7e-06,0.000212,0.13327,0.132776,0.073054,0.000153,0.347515
0,1,64,1,14656,cube,196,4,5,0.000532,0.007383,6e-06,0.000378,0.21192,0.111214,0.051741,0.00054,0.384154
0,1,64,1,7232,cube,237,1,9,0.001151,0.006328,6e-06,0.000477,0.14045,0.128006,0.285167,0.004026,0.565448
0,1,64,1,8704,cube,127,2,4,0.000474,0.006269,5e-06,0.000452,0.153232,0.121827,0.02326,0.000301,0.306374
0,1,64,1,13184,cube,55,2,12,0.000817,0.006782,5e-06,0.000345,0.181057,0.169133,0.626308,0.002143,0.986836
0,1,64,1,8896,cube,217,1,5,0.000832,0.00641,7e-06,0.00084,0.250276,0.045187,0.116834,0.002204,0.422899
0,1,64,1,4160,cube,52,2,7,0.001022,0.006185,4e-06,0.000466,0.261332,0.045129,0.112694,0.00036,0.427087
0,1,64,1,5056,cube,201,4,15,0.002024,0.007052,6e-06,0.000444,0.155525,0.221852,0.97604,0.000802,1.36271
0,1,64,1,11776,cube,33,3,7,0.000869,0.005676,5e-06,0.00049,0.218725,0.14371,0.112785,0.00064,0.482974
0,1,64,1,12800,cube,148,4,14,0.000579,0.007763,6e-06,0.000403,0.337714,0.220389,1.10173,0.002936,1.67197
0,1,64,1,8512,cube,83,1,9,0.00076,0.006971,5e-06,0.001288,0.255738,0.180368,0.989371,0.006642,1.44139
0,1,64,1,4864,cube,179,3,6,0.000584,0.00676,7e-06,0.000396,0.248504,0.165867,0.084754,0.000183,0.507486
0,1,64,1,14080,cube,182,1,10,0.000468,0.006875,8e-06,0.001864,0.219931,0.243779,1.37402,0.011442,1.859
0,1,64,1,6080,cube,122,2,9,0.001124,0.00617,5e-06,0.00034,0.216275,0.246007,0.224136,0.000551,0.694497
0,1,64,1,13440,cube,167,4,15,0.000765,0.006726,5e-06,0.000806,0.22556,0.25088,1.40921,0.003544,1.89769
0,1,64,1,14720,cube,116,3,13,0.000612,0.006881,7e-06,0.000574,0.22049,0.147212,0.836826,0.002685,1.21574
0,1,64,1,8576,cube,123,4,12,0.001109,0.007373,7e-06,0.000291,0.205832,0.164656,0.582078,0.001613,0.962884
0,1,64,1,8064,cube,94,4,7,0.000903,0.006865,5e-06,0.000267,0.223559,0.099856,0.110296,0.000526,0.442264
0,1,64,1,7872,cube,61,1,4,0.001124,0.006319,6e-06,0.000891,0.214171,0.077013,0.103418,0.001854,0.404737
0,1,64,1,6912,cube,229,1,14,0.000543,0.006172,7e-06,0.000781,0.184785,0.142167,1.09129,0.008704,1.43489
0,1,64,1,5632,cube,83,1,13,0.001085,0.005985,6e-06,0.001325,0.218881,0.186834,2.41225,0.010671,2.83695
0,1,64,1,8768,cube,47,3,14,0.00059,0.006063,7e-06,0.000695,0.249614,0.206928,1.04709,0.002253,1.51368
0,1,64,1,4288,cube,145,1,5,0.001304,0.006027,5e-06,0.000368,0.313907,0.032959,0.058139,0.001253,0.413743
0,1,64,1,6720,cube,237,4,13,0.001165,0.007181,6e-06,0.000235,0.328759,0.097372,0.62336,0.000807,1.05876
0,1,64,1,7104,cube,173,1,7,0.001061,0.006783,7e-06,0.000576,0.193291,0.201768,0.158812,0.002684,0.564887
0,1,64,1,11392,cube,79,4,4,0.00062,0.007985,6e-06,0.000423,0.369173,0.07322,0.025224,0.000331,0.477324
0,1,64,1,15680,cube,234,3,6,0.000786,0.006912,8e-06,0.000651,0.222337,0.281611,0.07294,0.000668,0.586114
0,1,64,1,4800,cube,147,4,14,0.001155,0.007169,5e-06,0.00042,0.203338,0.279396,0.767674,0.000653,1.25965
0,1,64,1,7744,cube,189,4,10,0.000748,0.00732,5e-06,0.000224,0.111695,0.183281,0.319631,0.000591,0.623704
0,1,64,1,9664,cube,167,3,8,0.00081,0.006428,6e-06,0.000238,0.124881,0.177965,0.263591,0.000498,0.574666
0,1,64,1,7360,cube,77,1,7,0.001175,0.006231,7e-06,0.00109,0.183068,0.094862,0.465677,0.003571,0.755603
0,1,64,1,9920,cube,234,3,12,0.000945,0.006696,6e-06,0.000328,0.101331,0.249688,0.56061,0.001009,0.920641
0,1,64,1,6976,cube,105,3,8,0.000371,0.006977,5e-06,0.000466,0.188342,0.13236,0.274727,0.000378,0.604186
0,1,64,1,8064,cube,224,1,4,0.000851,0.00612,5e-06,0.000645,0.163077,0.135213,0.086264,0.001609,0.393865
0,1,64,1,9152,cube,185,2,13,0.000882,0.006869,6e-06,0.000565,0.238032,0.172546,0.689041,0.001181,1.10915
0,1,64,1,15040,cube,173,4,15,0.000585,0.007279,7e-06,0.000516,0.143477,0.405959,1.66018,0.003945,2.22239
0,1,64,1,6336,cube,238,2,12,0.001012,0.006461,6e-06,0.000439,0.134816,0.262837,0.478304,0.000708,0.884588
0,1,64,1,15360,cube,101,1,9,0.001871,0.006351,7e-06,0.002029,0.221922,0.224193,1.01507,0.009988,1.48071
0,1,64,1,5504,cube,58,3,10,0.000633,0.006767,7e-06,0.000704,0.197337,0.235033,0.322788,0.000818,0.764454
0,1,64,1,6912,cube,247,1,8,0.000726,0.006294,7e-06,0.000555,0.260822,0.159488,0.211566,0.003162,0.643024
0,1,64,1,13632,cube,174,4,9,0.001006,0.007087,8e-06,0.000432,0.37053,0.143157,0.248334,0.001183,0.771776
0,1,64,1,7424,cube,92,1,15,0.001721,0.006164,6e-06,0.001963,0.392062,0.240652,5.58198,0.020044,6.24395
0,1,64,1,4544,cube,232,2,5,0.00216,0.006216,4e-06,0.000184,0.111643,0.143774,0.064371,0.000164,0.327218
0,1,64,1,4224,cube,38,3,5,0.000513,0.006477,6e-06,0.00078,0.129842,0.119074,0.039745,0.000202,0.29707
0,1,64,1,12992,cube,125,3,14,0.001477,0.006967,5e-06,0.000571,0.214556,0.187917,1.04925,0.002711,1.46297
0,1,64,1,5312,cube,102,3,9,0.001091,0.006203,8e-06,0.00058,0.225273,0.074901,0.209013,0.000338,0.517312
0,1,64,1,9920,cube,178,2,10,0.000701,0.006014,4e-06,0.000997,0.155094,0.207375,0.40135,0.000823,0.7726
0,1,64,1,11072,cube,230,3,9,0.000531,0.006596,5e-06,0.000323,0.260183,0.118483,0.338596,0.000845,0.72609
0,1,64,1,15296,cube,248,1,9,0.000977,0.006718,7e-06,0.001362,0.159928,0.206408,0.523545,0.008475,0.907432
0,1,64,1,16320,cube,55,3,6,0.000545,0.007144,7e-06,0.000599,0.304469,0.047896,0.075603,0.000697,0.437403
0,1,64,1,7936,cube,125,1,4,0.000614,0.00628,5e-06,0.000668,0.204035,0.169579,0.078756,0.001725,0.462059
0,1,64,1,4288,cube,218,2,6,0.00117,0.006766,6e-06,0.000349,0.298392,0.076373,0.07897,0.00018,0.461992
0,1,64,1,12160,cube,177,2,6,0.00045,0.006671,6e-06,0.0004,0.317967,0.091307,0.072714,0.000716,0.490991
0,1,64,1,4544,cube,147,4,12,0.000618,0.006457,7e-06,0.000227,0.332343,0.10651,0.446101,0.000749,0.893501
0,1,64,1,8832,cube,237,4,10,0.001054,0.0067,7e-06,0.000461,0.390253,0.103821,0.346167,0.000657,0.849003
0,1,64,1,7808,cube,232,3,8,0.000756,0.006633,7e-06,0.00034,0.131436,0.150812,0.223436,0.000412,0.514107
0,1,64,1,14464,cube,211,3,11,0.000587,0.008016,7e-06,0.000454,0.203678,0.162654,0.448303,0.001851,0.825894
0,1,64,1,8832,cube,225,3,8,0.000893,0.006781,6e-06,0.000443,0.135744,0.159493,0.232248,0.000478,0.536154
0,1,64,1,12480,cube,238,4,11,0.001089,0.007609,6e-06,0.000219,0.068667,0.3166,0.542056,0.001113,0.937236
0,1,64,1,16128,cube,64,1,13,0.000783,0.007166,7e-06,0.002357,0.203661,0.215552,3.34061,0.022022,3.7925
0,1,64,1,4096,cube,240,1,11,0.000731,0.005981,7e-06,0.000473,0.248561,0.042058,0.45711,0.003442,0.758621
0,1,64,1,5440,cube,59,3,15,0.000483,0.006557,6e-06,0.000467,0.145234,0.299941,1.3372,0.002173,1.79261
0,1,64,1,11264,cube,88,3,9,0.000801,0.00717,6e-06,0.000474,0.151993,0.217593,0.235663,0.000968,0.614853
0,1,64,1,13056,cube,246,4,11,0.000941,0.007792,6e-06,0.000277,0.192095,0.256998,0.563502,0.001155,1.02278
0,1,64,1,9792,cube,194,1,5,0.000591,0.005976,7e-06,0.000963,0.184727,0.181112,0.132447,0.002421,0.50869
0,1,64,1,9344,cube,206,4,10,0.00078,0.007117,7e-06,0.00085,0.19713,0.252857,0.359829,0.000717,0.819485
0,1,64,1,4672,cube,224,3,11,0.000406,0.006548,7e-06,0.000438,0.321053,0.100464,0.34123,0.000413,0.771167
0,1,64,1,11328,cube,141,3,8,0.000755,0.006591,5e-06,0.000443,0.228863,0.234082,0.16736,0.000786,0.639114
0,1,64,1,16256,cube,113,4,6,0.00104,0.00735,5e-06,0.000478,0.391376,0.096952,0.088362,0.000732,0.586231
0,1,64,1,5568,cube,76,3,7,0.000491,0.006741,6e-06,0.000281,0.216089,0.057849,0.10574,0.000426,0.38814
0,1,64,1,14720,cube,90,4,7,0.001099,0.008063,6e-06,0.000275,0.163887,0.144358,0.139399,0.000834,0.45781
0,1,64,1,9600,cube,211,4,14,0.000508,0.008023,6e-06,0.000193,0.117903,0.248891,0.874765,0.001295,1.25197
0,1,64,1,13120,cube,226,1,11,0.000407,0.006084,7e-06,0.000947,0.237373,0.067338,0.628885,0.009807,0.951473
0,1,64,1,7616,cube,239,2,15,0.000917,0.00582,5e-06,0.000808,0.141278,0.216907,1.03492,0.001294,1.40196
0,1,64,1,8384,cube,206,3,14,0.000971,0.006429,6e-06,0.000278,0.264411,0.122008,0.836622,0.001113,1.23188
0,1,64,1,5376,cube,78,4,11,0.000477,0.006999,4e-06,0.000412,0.155804,0.209938,0.411746,0.001082,0.787008
0,1,64,1,6336,cube,135,4,12,0.000519,0.006608,6e-06,0.000237,0.096435,0.284444,0.477556,0.000671,0.866935
0,1,64,1,7872,cube,251,1,10,0.000512,0.005889,7e-06,0.000709,0.244165,0.097333,0.384117,0.005248,0.738452
0,1,64,1,9408,cube,128,4,15,0.001258,0.007376,5e-06,0.000522,0.221979,0.348539,1.39388,0.002953,1.97619
0,1,64,1,15808,cube,196,1,14,0.001066,0.006723,8e-06,0.002956,0.340988,0.223215,4.39165,0.025577,4.9923
0,1,64,1,11328,cube,86,3,11,0.000438,0.006441,3e-06,0.000562,0.225679,0.247004,0.443225,0.001471,0.925446
0,1,64,1,8192,cube,96,4,4,0.000879,0.007033,6e-06,0.000441,0.216248,0.254306,0.023109,0.000256,0.50247
0,1,64,1,10624,cube,165,1,6,0.000704,0.006129,7e-06,0.001234,0.352327,0.116096,0.23889,0.003675,0.719379
0,1,64,1,13952,cube,32,4,11,0.000593,0.006717,6e-06,0.000852,0.203945,0.179433,0.575353,0.002253,0.969526
0,1,64,1,11008,cube,245,3,14,0.000756,0.006924,7e-06,0.000401,0.201813,0.158473,0.904275,0.001415,1.27421
0,1,64,1,5120,cube,104,2,5,0.001126,0.005792,5e-06,0.000626,0.171081,0.087212,0.070631,0.000168,0.336453
0,1,64,1,9280,cube,105,2,11,0.00046,0.006391,6e-06,0.000424,0.08162,0.225717,0.464702,0.001509,0.781443
0,1,64,1,14528,cube,220,4,11,0.00047,0.007205,5e-06,0.000924,0.153206,0.253891,0.501908,0.001926,0.920047
0,1,64,1,9536,cube,135,3,4,0.000547,0.006598,6e-06,0.000387,0.244341,0.071263,0.02302,0.000307,0.346942
0,1,64,1,4864,cube,222,2,9,0.001116,0.005547,5e-06,0.000256,0.068802,0.256502,0.202171,0.000341,0.534506
0,1,64,1,9856,cube,67,2,7,0.000546,0.005846,5e-06,0.000455,0.147709,0.198875,0.116962,0.000658,0.471623
0,1,64,1,16000,cube,132,2,5,0.001458,0.006371,5e-06,0.000592,0.221948,0.137869,0.045036,0.000548,0.413339
0,1,64,1,4160,cube,161,4,9,0.000995,0.006191,8e-06,0.000572,0.209945,0.171933,0.191726,0.000298,0.581644
0,1,64,1,4800,cube,73,2,9,0.001221,0.006123,5e-06,0.00032,0.198681,0.211141,0.21646,0.000772,0.634509
0,1,64,1,8960,cube,153,4,11,0.001229,0.007383,7e-06,0.000289,0.210253,0.271489,0.453585,0.000802,0.944824
0,1,64,1,6848,cube,145,3,13,0.001039,0.006067,6e-06,0.000369,0.341153,0.143993,0.622287,0.000792,1.11556
0,1,64,1,9600,cube,86,4,7,0.001566,0.006718,5e-06,0.000529,0.188532,0.312325,0.116345,0.000603,0.626029
0,1,64,1,6016,cube,188,1,14,0.001074,0.005998,6e-06,0.000588,0.18763,0.055623,1.0903,0.007609,1.34867
0,1,64,1,4288,cube,160,1,11,0.001287,0.006229,6e-06,0.000474,0.126451,0.102364,0.460417,0.003588,0.70049
0,1,64,1,10560,cube,49,4,4,0.000881,0.006653,5e-06,0.000389,0.072726,0.20088,0.024994,0.000313,0.306885
0,1,64,1,9792,cube,97,1,13,0.001666,0.00585,7e-06,0.001859,0.237823,0.161504,3.31409,0.01628,3.73842
0,1,64,1,8704,cube,183,3,11,0.000703,0.006207,6e-06,0.000398,0.232217,0.103548,0.421804,0.000775,0.765954
0,1,64,1,5888,cube,215,2,14,0.000535,0.006569,7e-06,0.000347,0.152311,0.196316,0.786074,0.000853,1.14355
0,1,64,1,5376,cube,107,1,8,0.000411,0.005907,7e-06,0.000516,0.220174,0.097977,0.193984,0.002501,0.522042
0,1,64,1,4736,cube,225,4,7,0.000763,0.006626,5e-06,0.000198,0.217265,0.131741,0.112446,0.000219,0.469433
0,1,64,1,13120,cube,103,2,8,0.000567,0.00726,7e-06,0.000338,0.217017,0.154596,0.176911,0.000953,0.558081
0,1,64,1,15936,cube,224,3,8,0.001488,0.006653,6e-06,0.000506,0.287444,0.165411,0.17573,0.00107,0.637807
0,1,64,1,6720,cube,145,3,15,0.000928,0.006618,8e-06,0.000292,0.346733,0.120946,0.998615,0.00099,1.47533
0,1,64,1,7744,cube,210,1,7,0.000448,0.005851,6e-06,0.000582,0.275515,0.149122,0.168652,0.0029,0.603634
0,1,64,1,10368,cube,57,2,8,0.000767,0.006428,5e-06,0.000585,0.242681,0.210383,0.175485,0.000846,0.637385
0,1,64,1,10368,cube,107,2,6,0.000738,0.006247,5e-06,0.000549,0.227179,0.225661,0.073262,0.000499,0.534346
0,1,64,1,9792,cube,140,2,5,0.000858,0.00673,6.3e-05,0.000601,0.148206,0.099153,0.041298,0.000396,0.297465
