,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,8,8,17720,cube,72,3,14,0.001183,0.004508,6e-06,0.002566,0.044043,0.11601,1.57582,0.006197,1.75012
0,1,16,8,10832,cube,148,3,8,0.000718,0.002983,5e-06,0.000637,0.057961,0.084705,0.356601,0.001415,0.505383
0,1,4,32,19952,cube,88,1,15,0.001373,0.005091,5e-06,0.005275,0.06043,0.095494,3.73803,0.009706,3.91511
0,1,8,8,16976,cube,143,1,6,0.001198,0.003419,6e-06,0.001619,0.041996,0.042254,0.112422,0.000899,0.203631
0,1,2,32,36148,cube,77,2,14,0.00412,0.01351,7e-06,0.021129,0.059439,0.173906,4.49199,0.012317,4.77333
0,1,64,1,26560,cube,168,3,11,0.000797,0.006455,7e-06,0.000632,0.265002,0.194535,0.474087,0.002912,0.944596
0,1,64,2,30592,cube,129,1,5,0.000534,0.008366,5e-06,0.002955,0.382076,0.112609,0.269475,0.006167,0.782863
0,1,2,64,4356,cube,231,4,15,0.000947,0.002806,6e-06,0.001741,0.068325,0.198268,2.91567,0.01168,3.19951
0,1,2,64,13538,cube,141,4,13,0.001882,0.005805,6e-06,0.008001,0.067272,1.05914,2.98887,0.006317,4.13645
0,1,2,32,8860,cube,94,2,13,0.001592,0.004603,6e-06,0.006433,0.051225,0.066767,2.00019,0.004578,2.13473
0,1,1,64,20703,cube,49,2,8,0.004836,0.012961,7e-06,0.017878,0.089145,0.096443,0.668103,0.002232,0.887834
0,1,8,16,27416,cube,68,4,11,0.001531,0.005733,6e-06,0.003237,0.067423,0.485277,1.30169,0.00727,1.87182
0,1,16,8,58000,cube,217,4,4,0.001528,0.006347,6e-06,0.002271,0.044835,0.347033,0.094434,0.001269,0.497299
0,1,2,32,5594,cube,242,2,10,0.001034,0.003147,6e-06,0.001647,0.059077,0.016152,0.443786,0.003827,0.528606
0,1,64,1,4160,cube,176,1,15,0.0007,0.006115,6e-06,0.000538,0.210239,0.063841,1.35933,0.006455,1.64746
0,1,32,4,22240,cube,44,3,8,0.00055,0.004037,6e-06,0.000972,0.073365,0.18718,0.710778,0.003399,0.980752
0,1,32,4,28800,cube,134,3,6,0.000544,0.00408,6e-06,0.000774,0.099071,0.101908,0.159867,0.001781,0.368509
0,1,1,64,17117,cube,238,1,8,0.004027,0.010006,6e-06,0.012548,0.082074,0.044655,0.46728,0.001615,0.619278
0,1,16,4,10448,cube,110,1,6,0.000714,0.002719,6e-06,0.001248,0.058183,0.036877,0.132949,0.001067,0.233976
0,1,64,1,64000,cube,167,4,14,0.001662,0.008142,6e-06,0.00088,0.185317,0.338404,1.36059,0.009851,1.90413
0,1,2,64,16174,cube,75,3,10,0.001974,0.007831,7e-06,0.007253,0.066466,0.223048,1.10855,0.004023,1.41831
0,1,8,16,41848,cube,79,3,12,0.001803,0.007592,6e-06,0.007809,0.04415,0.421321,5.29344,0.01802,5.79342
0,1,8,16,8160,cube,106,1,11,0.000741,0.002768,5e-06,0.001374,0.047874,0.065153,1.06968,0.003194,1.19111
0,1,16,8,53168,cube,128,3,6,0.001357,0.005767,7e-06,0.002169,0.029198,0.182093,0.181847,0.001978,0.404165
0,1,2,64,18902,cube,49,4,8,0.002299,0.009159,7e-06,0.007575,0.062284,1.18048,0.679745,0.002989,1.94334
0,1,1,64,12654,cube,123,1,6,0.003276,0.007771,6e-06,0.009937,0.085504,0.034538,0.202598,0.000881,0.342322
0,1,4,32,4764,cube,95,2,6,0.000853,0.002525,6e-06,0.000804,0.054648,0.022404,0.178012,0.002287,0.261697
0,1,8,8,52824,cube,94,2,9,0.002198,0.00824,6e-06,0.007919,0.056948,0.190158,1.07714,0.005481,1.34688
0,1,64,1,25984,cube,56,3,10,0.001883,0.006992,7e-06,0.0007,0.207426,0.120435,0.456498,0.002724,0.795818
0,1,4,16,10760,cube,211,1,8,0.001008,0.003854,5e-06,0.001441,0.03787,0.029787,0.151574,0.000858,0.22633
0,1,4,32,33752,cube,206,1,14,0.002258,0.007459,6e-06,0.007107,0.055161,0.115321,2.94048,0.011403,3.13802
0,1,8,16,4208,cube,61,4,11,0.000776,0.002645,6e-06,0.00096,0.045645,0.336785,2.01222,0.008409,2.40779
0,1,8,16,18208,cube,143,1,8,0.000971,0.003946,6e-06,0.001844,0.042635,0.093482,0.425985,0.002822,0.571763
0,1,64,1,35328,cube,133,3,8,0.000604,0.007138,6e-06,0.000596,0.24966,0.146787,0.192231,0.00203,0.599415
0,1,32,2,41856,cube,133,2,10,0.000783,0.004051,6e-06,0.000538,0.060019,0.166861,0.367594,0.003505,0.603484
0,1,2,64,8238,cube,111,1,15,0.001208,0.003755,6e-06,0.006746,0.071771,0.069754,4.54614,0.007967,4.70719
0,1,16,8,24112,cube,218,4,5,0.000823,0.003748,6e-06,0.001077,0.051246,0.283283,0.111624,0.001388,0.453396
0,1,64,2,7680,cube,161,4,6,0.00135,0.006188,6e-06,0.00056,0.383924,0.079302,0.210085,0.000486,0.68162
0,1,2,32,60386,cube,73,1,10,0.006703,0.022098,6e-06,0.041246,0.059276,0.246444,2.16426,0.008316,2.54267
0,1,32,2,47392,cube,161,2,4,0.001076,0.004434,6e-06,0.000591,0.052848,0.198024,0.050371,0.001011,0.308237
0,1,1,64,27881,cube,117,3,9,0.006495,0.018188,8e-06,0.0202,0.081722,0.284569,0.677346,0.00278,1.08594
0,1,32,2,11168,cube,175,3,8,0.00042,0.003407,5e-06,0.000462,0.196949,0.044385,0.155565,0.000893,0.402524
0,1,16,4,19888,cube,223,2,13,0.000827,0.002981,6e-06,0.001397,0.0625,0.087367,1.04617,0.003927,1.20534
0,1,2,32,10936,cube,239,3,10,0.001724,0.005771,6e-06,0.003103,0.054919,0.040566,0.277259,0.001517,0.384143
0,1,32,2,8032,cube,47,2,11,0.000487,0.003688,6e-06,0.000568,0.091225,0.081748,0.514122,0.001411,0.693679
0,1,4,32,12612,cube,144,4,12,0.001128,0.004676,4.7e-05,0.003547,0.053942,0.592854,1.83217,0.004567,2.49287
0,1,64,1,15360,cube,242,4,11,0.001334,0.008105,6e-06,0.000259,0.296406,0.207461,0.76078,0.001376,1.27533
0,1,1,64,6698,cube,139,1,9,0.002044,0.004851,7e-06,0.003996,0.078998,0.014258,0.300233,0.002913,0.406351
0,1,16,4,4656,cube,48,4,14,0.000594,0.002974,6e-06,0.000899,0.073487,0.184051,2.69361,0.007012,2.96297
0,1,16,4,37568,cube,177,2,8,0.001153,0.004648,6e-06,0.00138,0.086278,0.067002,0.244665,0.002425,0.407348
0,1,4,32,44828,cube,39,3,15,0.002998,0.01173,8e-06,0.028219,0.067975,0.810356,17.6131,0.03027,18.5628
0,1,8,16,14768,cube,96,3,5,0.001249,0.003808,6e-06,0.001495,0.037231,0.142403,0.11754,0.000969,0.304585
0,1,64,1,6848,cube,103,3,13,0.000512,0.006233,5e-06,0.000322,0.203735,0.174914,1.02206,0.000793,1.409
0,1,2,64,39300,cube,82,4,14,0.004469,0.017515,7e-06,0.025235,0.082367,2.83809,7.70686,0.018939,10.6901
0,1,4,16,9048,cube,253,3,15,0.00082,0.003548,5e-06,0.001295,0.051751,0.03566,0.954942,0.00317,1.05132
0,1,2,64,15962,cube,84,2,9,0.002252,0.007295,7e-06,0.007143,0.065291,0.082804,0.822907,0.002903,0.989448
0,1,32,2,16512,cube,139,2,10,0.000622,0.003572,7e-06,0.000663,0.163472,0.054664,0.380899,0.001782,0.60601
0,1,16,8,63440,cube,148,2,7,0.001342,0.005952,6e-06,0.002319,0.079157,0.115701,0.232463,0.002745,0.439383
0,1,64,1,4096,cube,83,3,10,0.001066,0.006244,4e-06,0.000525,0.205993,0.171541,0.254974,0.000315,0.640602
0,1,2,64,30910,cube,128,3,15,0.00358,0.013345,7e-06,0.014099,0.073621,0.262213,4.9361,0.01459,5.3151
0,1,64,1,9664,cube,148,3,12,0.000575,0.006172,7e-06,0.000471,0.092725,0.325376,0.782935,0.000977,1.2096
0,1,2,64,9780,cube,62,2,14,0.00145,0.004805,7e-06,0.007413,0.073119,0.086946,3.509,0.006248,3.68859
0,1,64,1,17088,cube,249,2,7,0.000836,0.007398,6e-06,0.000439,0.187272,0.24221,0.117285,0.000901,0.556506
0,1,64,2,7744,cube,33,2,12,0.000727,0.006903,7e-06,0.000352,0.266957,0.110764,1.07374,0.002546,1.4624
0,1,1,64,12399,cube,155,3,5,0.002989,0.008723,6e-06,0.008761,0.085205,0.263439,0.12024,0.000621,0.488005
0,1,1,64,31949,cube,40,3,15,0.007034,0.021322,7e-06,0.096948,0.094473,2.00804,18.895,0.018415,21.1353
0,1,32,2,7552,cube,177,1,15,0.000601,0.00333,7e-06,0.000668,0.116107,0.038042,1.12135,0.00581,1.28622
0,1,32,2,15616,cube,107,1,6,0.000524,0.004065,5e-06,0.001655,0.121363,0.067057,0.192143,0.00265,0.389911
0,1,4,16,22364,cube,164,3,8,0.001875,0.006605,6e-06,0.004483,0.038346,0.114026,0.341612,0.001707,0.507788
0,1,4,16,41884,cube,154,3,14,0.002766,0.010246,6e-06,0.008531,0.04335,0.169723,1.92876,0.008053,2.16967
0,1,16,4,4272,cube,126,2,6,0.000691,0.002066,5e-06,0.00038,0.049161,0.045571,0.06362,0.000689,0.162379
0,1,2,32,28566,cube,247,3,14,0.003347,0.012599,7e-06,0.012661,0.064503,0.193189,2.56639,0.007244,2.85759
0,1,1,64,13300,cube,170,2,10,0.003643,0.008408,8e-06,0.012459,0.090236,0.064659,0.844899,0.002273,1.02407
