,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,4160,cube,169,2,15,0.00042,0.006621,5e-06,0.000202,0.4055,0.071017,0.963817,0.000703,1.44892
0,1,64,1,21440,cube,223,1,13,0.001355,0.006938,5e-06,0.002875,0.20845,0.171693,3.36696,0.027313,3.78523
0,1,64,1,13376,cube,36,2,14,0.000538,0.005911,6e-06,0.000565,0.081685,0.27573,1.11973,0.003069,1.48768
0,1,64,1,50560,cube,168,3,4,0.000872,0.007788,7e-06,0.000794,0.199826,0.103191,0.060288,0.001263,0.37416
0,1,64,1,31424,cube,105,2,6,0.000625,0.007245,6e-06,0.000472,0.217495,0.075199,0.086368,0.001208,0.388919
0,1,64,1,4544,cube,168,3,15,0.00138,0.005844,6e-06,0.000374,0.113833,0.19239,0.958221,0.000649,1.27222
0,1,64,1,12672,cube,185,4,13,0.000613,0.00784,6e-06,0.000359,0.241726,0.21709,0.800245,0.002474,1.27067
0,1,64,1,39360,cube,240,1,8,0.000669,0.008058,8e-06,0.004066,0.209399,0.20254,0.880702,0.017754,1.32363
0,1,64,1,6464,cube,63,1,8,0.000439,0.006069,7e-06,0.001217,0.169491,0.201342,0.699221,0.004247,1.08259
0,1,64,1,6976,cube,240,3,14,0.000875,0.006484,6e-06,0.000292,0.305573,0.107101,0.803275,0.000918,1.22461
0,1,64,1,15424,cube,175,2,4,0.000847,0.00622,5e-06,0.000386,0.07173,0.292586,0.027157,0.000605,0.399775
0,1,64,1,5056,cube,191,4,5,0.001181,0.006552,7e-06,0.000168,0.068006,0.328986,0.068318,0.000165,0.473135
0,1,64,1,13312,cube,95,1,5,0.00058,0.006251,7e-06,0.001392,0.301064,0.129501,0.191429,0.003544,0.634185
0,1,64,1,30208,cube,255,4,15,0.001226,0.006872,6e-06,0.000587,0.367946,0.28934,1.67428,0.006335,2.34645
0,1,64,1,8960,cube,45,3,14,0.000549,0.005796,6e-06,0.00057,0.117246,0.441351,1.04863,0.002275,1.61681
0,1,64,1,9920,cube,111,2,15,0.000592,0.006448,8e-06,0.000569,0.106472,0.270751,1.41086,0.003242,1.79944
0,1,64,1,8128,cube,90,3,8,0.000914,0.006799,7e-06,0.000398,0.129213,0.138562,0.167038,0.000637,0.443673
0,1,64,1,11648,cube,120,3,13,0.000562,0.006679,6e-06,0.000477,0.213601,0.140543,0.795061,0.002167,1.1596
0,1,64,1,42432,cube,201,1,4,0.000647,0.008848,9e-06,0.003947,0.22556,0.095668,0.313901,0.008193,0.657243
0,1,64,1,27968,cube,202,4,9,0.001121,0.007421,4e-06,0.000729,0.192821,0.190041,0.301376,0.002118,0.695501
0,1,64,1,10112,cube,216,1,11,0.000991,0.006178,5e-06,0.000633,0.226259,0.088314,0.539772,0.007844,0.869992
0,1,64,1,9472,cube,115,3,11,0.000831,0.005997,6e-06,0.000656,0.269845,0.118997,0.441698,0.001348,0.839473
0,1,64,1,36608,cube,217,1,10,0.000837,0.008105,7e-06,0.003743,0.191834,0.258945,1.51137,0.024894,1.99991
0,1,64,1,28544,cube,68,3,4,0.001021,0.006518,7e-06,0.000456,0.157498,0.220536,0.035871,0.00073,0.422654
