m,n,k,avg,std
1,89,61,4075,0.00237545,0.0231398
65,293,64,187,0.000299435,0.152925
113,106,32,1199,0.000553334,0.0703345
145,111,147,95,0.000165475,0.119766
177,55,350,49,0.000283487,0.0691574
241,35,119,3375,0.00149296,0.0303206
273,598,154,58,0.000558789,0.0719446
353,128,171,939,0.00183222,0.0207381
385,127,938,215,0.00213304,0.0311072
401,432,220,85,0.000668905,0.0577958
465,484,213,64,0.00060425,0.0722995
481,148,411,32,0.000202299,0.153256
497,61,248,41,0.000209548,0.0825856
545,249,101,3449,0.00754827,0.00795605
561,33,1159,55,0.000812246,0.00674584
593,855,89,97,0.000579069,0.0689914
609,2426,101,73,0.0016702,0.0235281
625,1735,104,46,0.000955537,0.0680684
689,226,78,1793,0.00260345,0.0206343
705,256,139,69,0.000225399,0.100724
737,131,741,48,0.000490572,0.092676
753,784,190,111,0.00137495,0.0257349
801,254,609,207,0.00231539,0.0196593
833,177,37,57,0.000193884,0.101028
897,49,2123,35,0.00141613,0.0297701
945,368,43,35,4.59325e-05,0.260581
961,250,631,42,0.000651397,0.0678789
977,152,38,2672,0.00175102,0.0223628
993,148,619,206,0.0014377,0.0356155
1089,3082,32,210,0.00204291,0.00386221
1121,55,457,68,0.000470711,0.0509921
1201,161,38,4083,0.00301596,0.0294442
1217,35,2715,103,0.00393645,0.0186461
1249,247,2732,35,0.00249363,0.033415
1297,120,34,113,0.000235616,0.049432
1313,1898,84,214,0.00303237,0.0152901
1329,272,86,174,0.000318052,0.0944649
1361,88,880,109,0.00278419,0.0290687
1377,81,80,1611,0.00104458,0.0482004
1393,50,380,144,0.00101943,0.045396
1425,72,314,66,0.000446832,0.030014
1537,342,59,110,0.00015982,0.0932488
1601,85,172,459,0.000629375,0.0511013
1649,38,240,135,0.000413583,0.0656671
1665,198,322,69,0.000402534,0.115818
1697,116,253,1231,0.00292729,0.0178228
1761,225,203,795,0.00295973,0.0249777
1777,164,2025,151,0.00356829,0.0275372
1825,164,56,1236,0.00110649,0.0421866
1905,1349,209,58,0.00151883,0.0271099
1921,92,145,348,0.000442246,0.115407
1937,176,2758,127,0.00424762,0.0144132
1953,215,70,238,0.000287563,0.0977156
2033,1880,33,62,0.000391755,0.0900838
2049,46,197,485,0.000433014,0.101602
2065,43,68,322,0.000313435,0.0528457
2097,259,125,95,0.000297004,0.103583
2161,136,45,3789,0.00242573,0.0209726
2257,1086,205,69,0.00133898,0.0438816
2273,193,184,230,0.000714855,0.0686676
2305,253,767,90,0.0013752,0.0314511
2353,237,73,993,0.00149467,0.0308427
2369,58,686,102,0.00143483,0.0281072
2481,203,109,248,0.000498687,0.0669551
2497,39,479,35,0.000196095,0.107995
2577,62,2573,84,0.00458831,0.00646966
2593,166,150,106,0.000243184,0.118448
2609,118,3571,62,0.00238394,0.0159919
2625,284,80,44,0.000256735,0.0697402
2641,78,173,240,0.000258356,0.0915006
2673,171,193,83,0.000248114,0.0994566
2737,57,616,85,0.00106667,0.0262008
2753,215,1516,32,0.00120895,0.0361231
2881,122,761,145,0.00107372,0.00831635
2897,138,2341,179,0.0041233,0.0110665
2945,249,91,2013,0.00370744,0.00957937
3009,1039,71,83,0.000520278,0.127769
3073,148,237,365,0.00117263,0.0272548
3089,44,3036,252,0.0123752,0.0128299
3105,585,77,94,0.000340286,0.145971
3137,111,34,39,7.14452e-05,0.155565
3153,370,56,63,0.000101148,0.137894
3169,162,94,350,0.000434674,0.0673494
3185,73,454,44,0.000460781,0.0390145
