m,n,k,avg,std
0,2856,3372,3876,2.05538,0.000858357
16,1502,2912,3050,0.759133,0.000731587
32,3038,319,2197,0.13589,0.00613357
48,2857,1211,3667,0.719064,0.00146942
64,972,3881,1674,0.355519,0.00461089
80,1343,3361,1282,0.33177,0.00711417
96,2967,3415,3308,1.85714,0.0023256
112,3715,3208,2196,1.43872,0.00213995
128,983,538,524,0.0176852,0.0184299
144,1423,2179,473,0.0962601,0.00874124
160,753,1654,302,0.0229019,0.0113758
176,756,2002,1710,0.154699,0.00300318
192,3745,1637,2196,0.757018,0.00300142
208,3105,3986,775,0.531405,0.00574799
224,515,70,218,0.000657856,0.0577716
240,3952,2252,2576,1.27937,0.0158383
256,1565,1891,663,0.121924,0.0122076
272,1367,79,80,0.000755021,0.0540595
288,1849,199,2054,0.0532073,0.0163479
304,3253,2892,3992,2.06774,0.000647347
320,3882,2381,1133,0.58179,0.00286831
336,4006,2990,3403,2.28896,0.0163217
352,2774,1715,2921,0.778438,0.00199492
368,3852,1428,3712,1.16119,0.0162102
384,542,868,2273,0.064997,0.00590564
400,134,2774,3861,0.102136,0.00918147
416,3595,2524,3884,1.95378,0.00107652
432,407,1430,2355,0.0882079,0.0117242
448,1252,1991,1158,0.165202,0.00974328
464,451,1208,2681,0.0901235,0.00450627
480,3405,1586,1983,0.603755,0.0015044
496,2116,1149,1933,0.267766,0.00506755
512,3228,1229,553,0.139173,0.00966786
528,1542,875,3008,0.2482,0.00664765
544,2270,3299,585,0.27169,0.00833233
560,1887,3478,2653,0.97454,0.000870255
576,2450,498,2258,0.166375,0.00773056
592,3821,2128,2746,1.24312,0.00190364
608,3527,2312,2022,0.939522,0.00270098
624,1480,2571,2297,0.489628,0.00942953
640,2069,555,709,0.0540215,0.00771805
656,2049,1122,3025,0.526761,0.00175221
672,471,3499,1448,0.147565,0.00573174
688,3985,2400,1875,0.984473,0.000606499
704,1810,594,3624,0.230546,0.00660068
720,1258,86,1341,0.0116804,0.0270761
736,1270,2901,3379,0.714127,0.00399138
752,2311,392,2125,0.115242,0.0026818
768,3663,414,2140,0.199088,0.00488389
784,2731,410,792,0.0715566,0.00248281
800,2835,3479,3997,2.20687,0.0136039
816,1430,1563,114,0.0161541,0.0244725
832,2340,3904,3788,1.94314,0.00273041
848,434,2773,1286,0.0916602,0.00826581
864,1594,2156,3253,0.625665,0.00438214
880,2836,3832,1525,0.915118,0.000937564
896,880,967,2015,0.101233,0.00931527
912,220,572,1519,0.0132064,0.0192355
928,2520,1136,401,0.0765802,0.00995792
944,1757,580,642,0.0396974,0.0148761
960,2643,1598,2781,0.658929,0.00160422
976,3181,2175,2903,1.11685,0.000472125
992,2943,949,1705,0.282524,0.00458811
1008,1076,3870,2103,0.493199,0.00413619
1024,2251,3962,2304,1.14328,0.00415001
1040,2071,2808,1285,0.42167,0.00404065
1056,1178,2202,1143,0.168636,0.00947575
1072,2886,1399,2164,0.508605,0.0176052
1088,3496,626,2832,0.360219,0.00424201
1104,989,1234,222,0.016544,0.0169451
1120,3795,3293,384,0.270865,0.00942265
1136,2900,3282,3783,2.0209,0.00993924
1152,1236,3664,1156,0.295257,0.00478008
1168,3976,388,2937,0.269762,0.0077755
1184,3753,267,1541,0.106373,0.0214508
1200,4057,2398,2379,1.32858,0.000973268
1216,3042,3394,2151,1.22392,0.00207351
1232,1171,1031,2386,0.179441,0.00842634
1248,3799,1529,3398,1.12131,0.0013406
1264,917,2029,1171,0.128096,0.00520678
1280,1070,313,212,0.00498904,0.026268
1296,1284,493,4063,0.157889,0.00958283
1312,1162,3505,1111,0.257106,0.00721725
1328,1860,2961,2211,0.67672,0.00194247
1344,1099,790,3814,0.199316,0.00525299
1360,929,1369,878,0.0658518,0.00986081
1376,976,3485,3528,0.674166,0.00376226
1392,1113,1079,551,0.0430425,0.00949265
1408,525,3012,658,0.061679,0.00454059
1424,1623,3995,1736,0.643511,0.00281
1440,636,408,818,0.01376,0.0240995
1456,1362,1960,3235,0.487463,0.00450002
1472,1153,2678,1331,0.242485,0.0488569
1488,3186,290,1792,0.108556,0.00358137
1504,170,1727,2983,0.0589126,0.00999689
1520,2387,2823,1072,0.416548,0.00632298
1536,619,2528,832,0.0776937,0.00893438
1552,471,182,3269,0.0225905,0.0353295
1568,3058,3899,674,0.49246,0.0241767
1584,164,154,2161,0.00474952,0.0187339
1600,3800,154,3146,0.131571,0.00650769
1616,3726,2192,426,0.197609,0.0079333
1632,2649,3268,1379,0.68726,0.00487756
1648,2784,3774,1451,0.841571,0.0017706
1664,2863,1563,1496,0.381341,0.0047851
1680,2817,3356,1179,0.653255,0.0183657
1696,909,2243,2528,0.300181,0.00582071
1712,1838,926,359,0.042739,0.0177293
1728,2245,2735,1297,0.461802,0.0182995
1744,1553,2744,254,0.0606146,0.00727088
1760,1263,2006,914,0.133245,0.00666313
1776,2322,1482,1197,0.233797,0.00408841
1792,2875,1598,751,0.198993,0.00596538
1808,2420,3080,3612,1.4799,0.00102657
1824,1399,3195,435,0.128577,0.00956979
1840,2000,899,1158,0.121518,0.00485887
1856,2677,2204,755,0.25033,0.00842251
1872,3544,2431,1537,0.733607,0.00329973
1888,3338,2634,3420,1.66336,0.00158375
