m,n,k,avg,std
0,448,872,392,0.000979409,0.0318241
16,296,3976,3648,0.0252904,0.00467898
32,632,536,760,0.0017154,0.0293397
48,352,576,848,0.00106254,0.017625
64,368,1072,9120,0.0217588,0.00270613
80,3128,2256,592,0.00665946,0.00463717
96,7000,10304,304,0.0249222,0.0030709
112,440,27752,16928,1.03934,0.00599071
128,1368,392,4008,0.0146066,0.00373647
144,528,432,20176,0.0432451,0.00158039
160,22624,4144,664,0.080261,0.00215969
176,944,464,20592,0.0507099,0.00312837
192,400,1584,784,0.00337805,0.00993002
208,11424,5128,864,0.055193,0.0014633
224,416,1040,16568,0.0431702,0.00163317
240,976,1544,16600,0.0516501,0.00338964
256,8488,8408,15680,1.11677,0.00198174
272,632,528,296,0.000591195,0.0743821
288,27416,8840,336,0.0888197,0.00320065
304,4920,736,448,0.00916612,0.0058073
320,504,27896,10656,0.747804,0.00670504
336,3392,11608,19736,0.787525,0.00232384
352,544,2064,864,0.00536478,0.00944312
368,2584,1896,8360,0.0730935,0.00300005
384,18744,416,23736,0.835978,0.00417917
400,296,24336,800,0.028117,0.00485657
416,264,12240,712,0.0111381,0.00335772
432,528,2424,31000,0.237697,0.0105221
448,3736,16816,1944,0.123046,0.00324803
464,1216,15808,2576,0.0546011,0.00220459
480,25472,26648,3064,2.16102,0.00503417
496,640,7960,1464,0.0422082,0.0145489
512,344,256,616,0.000471224,0.0488585
528,2728,408,7584,0.0588013,0.0113663
544,19736,752,13784,0.978242,0.00386901
560,1848,1016,320,0.00140161,0.0175155
576,432,864,576,0.00144978,0.0211398
592,1016,17552,4888,0.0953136,0.000751682
608,8512,8648,488,0.0432874,0.00227153
624,4768,2624,1320,0.0203081,0.019519
640,424,9784,1576,0.0313227,0.00254317
656,3792,2056,6448,0.0609787,0.0085972
672,496,760,304,0.000552352,0.0407123
688,272,17200,2432,0.0563469,0.0041152
704,19168,27992,10576,5.63207,0.00123202
720,2888,6592,328,0.0083345,0.00485865
736,7896,256,272,0.00296773,0.00936738
752,17784,9328,480,0.0841434,0.0032656
768,4072,17072,656,0.0519712,0.00382603
784,24448,488,336,0.0190382,0.00747098
800,256,288,392,0.000276146,0.0820087
816,5144,360,12672,0.142888,0.00270784
832,3536,1736,5112,0.0463822,0.0528732
848,10672,2560,3640,0.112146,0.00416185
864,4984,7608,1984,0.0772716,0.00415124
880,1648,352,6592,0.0250028,0.00714679
896,928,5112,8928,0.0489807,0.00182838
912,408,1168,624,0.00176228,0.0159979
928,16136,6520,25680,2.80235,0.000633223
944,5784,1864,3104,0.0684681,0.00580253
960,1832,1336,2696,0.012046,0.00237779
976,5472,440,560,0.0076897,0.00536559
992,11136,11176,1688,0.222699,0.000850105
1008,1008,296,1624,0.00371482,0.0153117
1024,3064,1272,7288,0.0410378,0.00270456
1040,400,5704,2504,0.0324674,0.00376641
1056,736,1152,32568,0.13476,0.00786334
1072,2008,28288,464,0.0302936,0.00274219
1088,3736,808,10096,0.14862,0.00128906
1104,1512,272,472,0.00115789,0.00736551
1120,2984,1360,22800,0.179816,0.00156339
1136,392,1688,19016,0.0817771,0.0094643
1152,24480,7016,22832,3.89493,0.000260919
1168,2136,504,1752,0.0107006,0.00588681
1184,856,12784,896,0.0118958,0.0039129
1200,640,768,14584,0.0462197,0.00832637
1216,3168,1672,28904,0.23516,0.00155318
1232,256,2104,1888,0.0037379,0.00501926
1248,576,9480,7384,0.185289,0.0049052
1264,30432,600,1808,0.146646,0.000822429
1280,29624,904,296,0.0154467,0.00300185
