m,n,avg,std
0,2706,254,0.0367158,0.00358858
16,5085,134,0.0220397,0.00318117
32,676,297,0.0128276,0.00984331
48,123,89,0.000574362,0.0410535
64,929,923,0.0836776,0.00487813
80,5645,71,0.0091968,0.0131286
96,1166,206,0.0121199,0.00717545
112,275,73,0.000569158,0.0699523
128,2714,351,0.0590788,0.00561242
144,842,153,0.00547672,0.0169665
160,1833,325,0.0370576,0.0087533
176,5660,86,0.0127921,0.00443812
192,1494,198,0.0140911,0.00400987
208,1644,380,0.0413685,0.00947838
224,324,155,0.00217264,0.0270105
240,176,162,0.00133849,0.0285094
256,700,644,0.0356238,0.00665885
272,1450,689,0.0872782,0.00717428
288,15393,92,0.0512976,0.00533939
304,2004,107,0.00680463,0.00518722
320,2995,240,0.0350831,0.00634283
336,163,114,0.000849873,0.0353578
352,16407,115,0.0878744,0.00548564
368,1083,1078,0.119159,0.00237626
384,9384,177,0.0732069,0.00387827
400,6800,209,0.0627863,0.00460154
416,1071,417,0.0321196,0.00707798
432,18872,95,0.0666888,0.00300646
448,166,111,0.000865303,0.0516104
464,1429,103,0.00453241,0.026173
480,1508,390,0.0401203,0.00763711
496,5641,233,0.0635958,0.0098904
512,1195,470,0.0424014,0.00938152
528,1459,558,0.065932,0.00571273
544,247,65,0.000522803,0.0320165
560,1564,288,0.025909,0.00973043
576,589,74,0.00103162,0.0257385
592,1785,521,0.0718351,0.00968201
608,3013,112,0.0102947,0.00851732
624,712,141,0.00401132,0.00913643
640,4404,200,0.0371111,0.00963226
656,963,544,0.0409516,0.00974556
672,897,513,0.0378353,0.00991354
688,468,110,0.00167779,0.0332471
704,324,93,0.000997364,0.0301082
720,684,116,0.00266743,0.0242413
736,1105,71,0.00171648,0.0288295
752,4097,158,0.0369126,0.00571535
768,4727,166,0.0296582,0.0104538
784,3694,342,0.077041,0.0073741
800,5011,297,0.0840757,0.00964362
816,4934,105,0.0141978,0.00455911
832,117,101,0.000678451,0.0344893
848,304,97,0.000873364,0.0507014
864,1870,117,0.00753915,0.00721057
880,1965,301,0.0345305,0.00537841
896,837,282,0.0148684,0.00982858
912,912,462,0.0310667,0.00981214
928,413,111,0.00156589,0.0829162
944,725,126,0.00358132,0.0193817
960,2815,78,0.00536988,0.0139384
976,5141,154,0.0304706,0.00719275
992,901,504,0.0354516,0.00939808
1008,2457,148,0.0140082,0.00683966
1024,559,206,0.00600384,0.00694023
1040,329,150,0.00201127,0.0268791
1056,270,108,0.000968439,0.0306511
1072,98,93,0.000520762,0.0372097
1088,9182,188,0.0786431,0.00253844
1104,1577,362,0.0365983,0.00979281
1120,1424,327,0.0298802,0.00950413
1136,4183,203,0.0380835,0.0069135
1152,8196,156,0.0817641,0.00626127
1168,551,189,0.00531632,0.00599843
1184,446,109,0.00154689,0.0256091
1200,246,165,0.00186815,0.0332266
1216,464,386,0.0123002,0.0191801
1232,360,177,0.0026938,0.0262946
1248,8133,78,0.016174,0.00675948
1264,384,96,0.000990588,0.0453258
1280,3158,154,0.0189438,0.0114603
1296,4485,299,0.0779303,0.00681122
1312,2235,270,0.0344974,0.00614639
1328,1979,147,0.0115186,0.00509665
1344,1808,554,0.078668,0.00982023
1360,5785,173,0.0393414,0.0058093
1376,2910,596,0.141265,0.00779905
1392,1590,98,0.00430388,0.0119953
1408,2273,297,0.0401725,0.00934725
1424,1851,732,0.127212,0.00760731
1440,291,68,0.000520792,0.0586275
1456,7106,211,0.0683458,0.00302936
1472,152,120,0.000994921,0.0495635
1488,1716,87,0.00442378,0.0201829
1504,4761,114,0.0169037,0.00465075
1520,352,69,0.000624405,0.0572517
1536,6235,276,0.0922415,0.00452432
1552,1196,83,0.00277263,0.0323209
1568,3820,129,0.0155579,0.00365806
1584,2235,697,0.142948,0.00589697
1600,7917,130,0.0342399,0.00994853
1616,2541,221,0.0282744,0.0111919
1632,190,170,0.0015037,0.03016
1648,11808,118,0.0538702,0.00685775
1664,140,77,0.000494586,0.0624465
1680,198,95,0.000770618,0.0449902
1696,678,255,0.0107651,0.0150204
1712,1496,451,0.0479148,0.0098007
1728,11339,137,0.0607895,0.00477528
1744,2864,168,0.0183491,0.00338232
1760,14421,117,0.066765,0.00474421
1776,4097,278,0.0910673,0.0277162
1792,7242,133,0.0328326,0.0295523
1808,902,567,0.0424485,0.0128631
1824,9586,164,0.0651974,0.00994068
1840,213,84,0.000605982,0.0350211
1856,1178,988,0.113483,0.00295688
1872,161,86,0.000616886,0.0491316
1888,126,72,0.000398193,0.0478316
1904,1008,215,0.0116125,0.00334451
1920,144,104,0.00074816,0.0380193
1936,979,75,0.00171063,0.0235916
1952,220,70,0.000539623,0.0439715
1968,1084,532,0.0446644,0.00981607
1984,586,301,0.011423,0.0187109
2000,2374,690,0.145501,0.00992778
2016,5777,315,0.105353,0.00726084
2032,1254,184,0.010302,0.00567951
2048,215,131,0.00115035,0.0304877
