nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,64,2,3,56,1,1,1,1,16,56,32,32,32,3,0,0.0473327,0.098818,0.379295,0.0928027,0.102158,0.889158,0.000317023,0.179885,0.160887
0,1,2,64,1,48,4,1,1,1,56,96,32,32,32,0,1,0.260964,0.0884604,0.0722963,0.170385,0.0887827,33.1958,0.000932646,31.8817,13.5384
0,1,32,2,5,56,8,1,1,1,8,112,32,32,32,1,0,0.049428,0.0732708,0.0878902,0.0561979,0.0138094,0.956913,0.000298352,0.692457,0.502505
0,1,32,4,1,40,1,1,1,1,24,120,32,32,32,1,0,0.0295594,0.0693086,0.0750934,0.132186,0.0496037,1.09124,0.000415411,0.617584,0.543367
0,1,2,32,5,40,1,1,1,1,32,120,32,32,32,0,1,0.124934,0.257173,0.12094,0.095792,0.063397,5.97589,0.000615143,4.74537,1.81499
0,1,32,2,0,64,8,1,1,1,24,64,32,32,32,2,0,0.0567999,0.0744671,0.0634816,0.0583475,0.15455,1.07034,0.0005781,0.652417,0.412324
0,1,64,1,0,48,32,1,1,1,64,48,32,32,32,4,1,0.1638,0.239293,0.22006,1.40515,2.45057,19.6631,0.00133985,15.2283,1.14895
0,1,8,8,5,56,2,1,1,1,16,56,32,32,32,0,0,0.0369247,0.053009,0.061111,0.116973,0.0153127,0.925093,0.000310008,0.565593,0.48212
0,1,1,64,1,32,4,1,1,1,8,128,32,32,32,2,1,0.234335,0.516998,0.533921,0.074913,0.0579819,8.44782,0.000583542,6.95101,3.59037
0,1,32,4,3,56,8,1,1,1,16,56,32,32,32,3,1,0.0507892,0.11166,0.402643,0.147692,0.0908841,3.00963,0.000520345,2.21085,0.50773
0,1,4,16,0,56,8,1,1,1,56,56,32,32,32,2,0,0.0885681,0.270821,0.205967,0.0864371,0.858408,3.79883,0.00123647,1.58647,1.32791
0,1,16,4,0,64,2,1,1,1,16,64,32,32,32,3,1,0.0348444,0.0774118,0.0992889,0.177021,0.107456,1.61587,0.000435298,1.07795,0.36664
0,1,4,16,2,56,1,1,1,1,16,56,32,32,32,1,1,0.0480506,0.021752,0.0192101,0.0382748,0.0314647,1.17317,0.000433665,0.837768,0.224779
