nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,64,1,4,56,1,1,1,1,8,56,32,32,32,4,0,0.0475461,0.11127,0.182101,0.0202916,0.0539421,0.488329,0.000353128,0.102349,0.09095
0,1,64,1,0,64,1,1,1,1,80,64,32,32,32,1,0,0.049893,0.082444,0.115193,0.233595,0.575754,1.99394,0.00102551,0.800468,0.752063
0,1,64,1,2,8,2,1,1,1,8,64,32,32,32,1,0,0.044686,0.00659667,0.00735955,0.0428153,0.00879331,0.189157,0.000327877,0.0993175,0.0819276
0,1,64,1,1,8,4,1,1,1,96,24,32,32,32,2,1,0.050361,0.109029,0.108339,0.19989,1.87365,2.91115,0.00124955,0.518153,0.343583
0,1,64,1,4,16,32,1,1,1,32,32,32,32,32,1,1,0.0806068,0.206066,0.223978,0.504083,0.375635,3.34099,0.000794458,2.00784,0.562259
0,1,64,1,0,32,8,1,1,1,32,32,32,32,32,0,0,0.0640227,0.00862181,0.00904408,0.0336656,0.0275043,0.36988,0.000689254,0.259606,0.187088
0,1,64,1,1,64,8,1,1,1,8,64,32,32,32,2,0,0.0737194,0.173086,0.355611,0.0428338,0.0475506,1.14114,0.000368281,0.514903,0.177696
0,1,64,1,1,56,16,1,1,1,112,56,32,32,32,2,0,0.146265,0.553311,0.813773,0.129718,3.72025,7.66127,0.00162632,2.22726,1.06626
0,1,64,1,4,64,1,1,1,1,16,128,32,32,32,0,1,0.0460448,0.0209377,0.0184705,0.113338,0.00743654,1.07054,0.000364314,0.822363,0.513932
0,1,64,1,5,16,32,1,1,1,32,48,32,32,32,2,1,0.0833904,0.133798,0.149153,0.218956,0.322351,4.04915,0.000697916,3.17575,0.71143
0,1,64,1,3,24,16,1,1,1,16,48,32,32,32,2,1,0.0689262,0.0851893,0.148446,0.180068,0.0869251,1.74963,0.000515031,1.2307,0.330005
0,1,64,1,4,48,1,1,1,1,8,48,32,32,32,2,0,0.0453106,0.0315634,0.0484846,0.0322761,0.0188844,0.230688,0.000349388,0.0827327,0.0731885
0,1,64,1,1,40,16,1,1,1,128,40,32,32,32,1,1,0.124227,0.221236,0.278429,1.1683,2.03618,12.756,0.00176011,8.87855,1.23753
0,1,64,1,5,24,4,1,1,1,56,120,32,32,32,3,1,0.0546607,1.09715,0.848696,0.425723,1.24037,6.44779,0.000719937,2.54857,1.24115
0,1,64,1,2,8,2,1,1,1,16,8,32,32,32,0,1,0.044077,0.00164943,0.00185849,0.00869349,0.00745438,0.0623416,0.00105157,0.0336309,0.0196295
0,1,64,1,4,16,8,1,1,1,40,80,32,32,32,4,1,0.0572712,0.915873,1.0666,0.0968028,1.37991,5.30033,0.000699106,1.72342,0.825887
0,1,64,1,3,24,32,1,1,1,64,24,32,32,32,1,0,0.0996896,0.0820109,0.238347,0.0696764,0.611828,2.27164,0.00110287,1.23399,0.4711
0,1,64,1,2,64,32,1,1,1,32,64,32,32,32,0,1,0.185439,0.0314819,0.0309183,4.03199,0.0411696,21.0494,0.0010477,16.8991,0.890858
0,1,64,1,3,40,2,1,1,1,24,40,32,32,32,3,1,0.0484938,0.172367,0.4872,0.157982,0.238077,1.5432,0.000490907,0.442028,0.24498
0,1,64,1,2,32,2,1,1,1,56,96,32,32,32,3,1,0.0503046,0.253858,0.248915,0.184983,1.18847,3.51573,0.00082576,1.45991,0.75606
0,1,64,1,1,24,32,1,1,1,64,48,32,32,32,1,0,0.112743,0.349545,0.412334,0.0765864,1.03867,3.30721,0.00123626,1.35696,0.724259
0,1,64,1,2,32,4,1,1,1,48,64,32,32,32,1,0,0.0564445,0.0384156,0.0380664,0.0930643,0.211323,1.03278,0.000745565,0.535589,0.467674
0,1,64,1,4,56,16,1,1,1,64,56,32,32,32,2,1,0.125504,0.42396,0.73106,1.61366,1.29242,13.4062,0.00106867,9.2268,1.15376
0,1,64,1,5,56,32,1,1,1,64,56,32,32,32,0,0,0.182266,0.13718,0.15759,0.161441,0.286027,7.14287,0.00128321,6.32202,1.49066
0,1,64,1,3,32,16,1,1,1,16,96,32,32,32,4,0,0.0813669,0.343947,0.537004,0.0458776,0.174024,1.79783,0.000620085,0.643745,0.3176
0,1,64,1,2,16,32,1,1,1,32,16,32,32,32,1,0,0.0762134,0.0119746,0.0120685,0.017133,0.118134,0.599153,0.00101206,0.431769,0.127009
0,1,64,1,4,24,8,1,1,1,16,24,32,32,32,0,1,0.055167,0.0195812,0.0188966,0.128266,0.0143039,0.632404,0.000751237,0.442439,0.206943
0,1,64,1,3,56,1,1,1,1,8,56,32,32,32,2,0,0.0448887,0.0338054,0.132471,0.0516213,0.0175702,0.381949,0.000511362,0.130058,0.116338
0,1,64,1,4,48,2,1,1,1,8,96,32,32,32,0,1,0.0492441,0.0207469,0.0158658,0.0717269,0.00340029,0.594487,0.000474918,0.454989,0.253309
0,1,64,1,1,48,1,1,1,1,16,48,32,32,32,2,0,0.0448406,0.0456732,0.061362,0.0484374,0.0574729,0.373835,0.000329222,0.127716,0.114466
0,1,64,1,4,56,4,1,1,1,8,56,32,32,32,4,1,0.0572567,0.215058,0.459034,0.100248,0.0966047,1.5168,0.000568897,0.629936,0.242308
0,1,64,1,2,24,4,1,1,1,16,72,32,32,32,4,0,0.052286,0.0784976,0.079797,0.0392653,0.152154,0.614913,0.000421938,0.215705,0.178426
0,1,64,1,4,48,4,1,1,1,96,96,32,32,32,2,1,0.0682199,0.386885,0.499638,0.694056,1.8805,9.26773,0.00119675,5.43547,1.81802
0,1,64,1,1,32,32,1,1,1,64,64,32,32,32,2,0,0.136248,0.765467,1.09565,0.105938,2.14255,6.64162,0.0012573,2.40544,0.916837
0,1,64,1,0,56,1,1,1,1,16,56,32,32,32,0,1,0.0459615,0.00514985,0.00490238,0.0425249,0.00754215,0.388732,0.000400698,0.291284,0.154815
0,1,64,1,4,24,8,1,1,1,16,120,32,32,32,3,1,0.0623758,0.6065,0.755293,0.328907,0.244375,3.5333,0.000472623,1.52259,0.618264
0,1,64,1,0,48,4,1,1,1,64,48,32,32,32,2,1,0.0645912,0.124488,0.134672,0.328327,0.832572,3.29237,0.000974163,1.76727,0.508467
0,1,64,1,2,40,2,1,1,1,40,80,32,32,32,1,1,0.0466555,0.0447737,0.0438144,0.170446,0.146317,1.54151,0.000626419,1.00595,0.450352
0,1,64,1,2,16,2,1,1,1,32,32,32,32,32,2,0,0.0444476,0.0292757,0.0327471,0.0612547,0.218846,0.563387,0.000546775,0.177939,0.153414
0,1,64,1,2,48,16,1,1,1,64,48,32,32,32,4,0,0.114853,0.258903,0.288696,0.0710495,2.66675,4.46275,0.00122994,1.05376,0.565246
0,1,64,1,2,24,4,1,1,1,16,24,32,32,32,0,0,0.0480153,0.00334459,0.00417564,0.0149777,0.00897198,0.137064,0.000552239,0.0913938,0.0704633
0,1,64,1,3,16,1,1,1,1,80,80,32,32,32,3,1,0.0750827,1.06654,1.15639,0.0660473,32.6297,36.246,0.000940968,1.24421,0.999206
0,1,64,1,2,56,4,1,1,1,16,112,32,32,32,4,0,0.069644,0.126038,0.132337,0.0564484,0.151892,0.889412,0.000426776,0.354107,0.285048
0,1,64,1,5,40,16,1,1,1,64,120,32,32,32,1,1,0.121427,0.512274,0.468381,0.725221,0.54738,16.6318,0.000959229,14.116,2.04173
0,1,64,1,4,16,32,1,1,1,32,64,32,32,32,0,0,0.0880411,0.181058,0.101036,0.0920202,0.103046,1.41526,0.000742277,0.874376,0.522858
0,1,64,1,5,40,32,1,1,1,32,80,32,32,32,0,1,0.138194,0.10727,0.0844094,0.98527,0.102057,12.4706,0.000689665,11.1416,1.51164
0,1,64,1,2,32,32,1,1,1,64,32,32,32,32,4,1,0.122504,0.158007,0.14734,0.935364,2.4588,10.0815,0.0012903,6.28185,0.724356
0,1,64,1,4,8,16,1,1,1,32,72,32,32,32,3,0,0.0539297,0.720274,0.809976,0.0578832,0.976538,3.28767,0.000827846,0.623745,0.380553
0,1,64,1,0,32,1,1,1,1,8,128,32,32,32,2,1,0.0449197,0.0276186,0.0279602,0.0807519,0.014626,0.447541,0.000326064,0.253481,0.155609
0,1,64,1,4,16,4,1,1,1,40,32,32,32,32,4,0,0.0478385,0.206203,0.281564,0.0473069,1.13599,1.98755,0.000694778,0.238389,0.203201
0,1,64,1,5,48,2,1,1,1,24,48,32,32,32,3,0,0.0522617,0.214395,0.336908,0.0564467,0.249829,1.15377,0.000394934,0.254244,0.227757
0,1,64,1,2,16,32,1,1,1,128,96,32,32,32,1,0,0.113521,0.161388,0.164072,0.139056,1.67004,4.87006,0.00196273,2.33314,1.99472
0,1,64,1,5,40,2,1,1,1,16,40,32,32,32,2,1,0.0492147,0.0611591,0.119236,0.0403593,0.071654,0.681558,0.000267799,0.367934,0.216435
0,1,64,1,0,16,1,1,1,1,72,80,32,32,32,3,0,0.0626443,0.327563,0.355858,0.409364,1.86557,4.06656,0.000995624,1.01537,0.827941
0,1,64,1,2,56,1,1,1,1,80,56,32,32,32,2,0,0.0479902,0.147659,0.181174,0.184117,1.37777,2.72789,0.00111535,0.697183,0.656763
0,1,64,1,5,48,8,1,1,1,40,96,32,32,32,3,0,0.0841545,0.664592,0.756077,0.145948,0.653571,3.40404,0.000618591,1.02687,0.724083
0,1,64,1,1,8,16,1,1,1,16,24,32,32,32,1,1,0.0526648,0.0711407,0.0655422,0.0609671,0.0866456,0.608675,0.000404166,0.314143,0.156347
0,1,64,1,4,16,1,1,1,1,16,32,32,32,32,2,1,0.0431633,0.0258843,0.0367228,0.0388763,0.0574969,0.293503,0.000461638,0.110183,0.0735419
0,1,64,1,1,16,32,1,1,1,32,32,32,32,32,2,0,0.0812361,0.390936,0.515502,0.0438144,0.809761,2.26711,0.000830232,0.481835,0.320516
0,1,64,1,1,16,8,1,1,1,24,32,32,32,32,3,1,0.0548698,0.225395,0.30392,0.012516,0.417536,1.51401,0.000512515,0.524207,0.253571
0,1,64,1,5,16,16,1,1,1,64,32,32,32,32,3,1,0.0722157,0.355002,0.402963,0.277844,1.69896,4.79642,0.000918526,1.965,0.571857
0,1,64,1,0,40,1,1,1,1,8,40,32,32,32,3,0,0.0452714,0.0195469,0.0234268,0.0208088,0.024212,0.160156,0.000421335,0.0579551,0.0504141
0,1,64,1,5,64,4,1,1,1,32,64,32,32,32,4,0,0.0725224,0.507489,0.763445,0.141527,0.604002,2.70495,0.000467472,0.593733,0.412554
0,1,64,1,1,64,4,1,1,1,80,128,32,32,32,1,0,0.0755111,0.227243,0.284897,0.248112,0.60214,3.44985,0.00107441,1.68028,1.47649
0,1,64,1,0,40,2,1,1,1,16,120,32,32,32,3,0,0.0483685,0.106268,0.0973257,0.0923633,0.0940334,0.797136,0.000423801,0.328377,0.290117
0,1,64,1,3,16,16,1,1,1,16,64,32,32,32,3,0,0.0638848,0.168225,0.196609,0.024778,0.1222,0.858692,0.000525054,0.310134,0.193095
0,1,64,1,3,8,1,1,1,1,128,48,32,32,32,4,0,0.0721562,1.33706,1.38781,0.599687,13.6752,18.7678,0.00142553,1.69071,0.911456
0,1,64,1,4,64,16,1,1,1,32,64,32,32,32,4,1,0.122941,0.98218,2.09414,0.90135,1.45704,12.4777,0.000827334,6.97728,0.965449
0,1,64,1,5,32,8,1,1,1,72,32,32,32,32,1,0,0.0722285,0.122216,0.186668,0.115777,0.571162,1.70432,0.000928308,0.620871,0.450549
0,1,64,1,4,56,2,1,1,1,56,56,32,32,32,2,0,0.0541534,0.138604,0.18465,0.117057,0.622588,1.76484,0.000764088,0.572241,0.486796
0,1,64,1,2,40,32,1,1,1,64,40,32,32,32,0,0,0.139353,0.0261538,0.0249875,0.0560287,0.111068,3.3152,0.00125903,3.04271,0.555344
0,1,64,1,1,56,2,1,1,1,40,112,32,32,32,4,1,0.0555954,0.642212,0.725679,0.470389,0.936011,4.87355,0.000578519,1.91988,0.876446
0,1,64,1,0,32,32,1,1,1,96,96,32,32,32,0,1,0.165288,0.0560949,0.050528,1.2763,0.229659,26.759,0.00160633,24.8248,1.66964
0,1,64,1,3,8,16,1,1,1,16,72,32,32,32,1,0,0.053445,0.0595971,0.0434231,0.0204831,0.0390848,0.449357,0.000538898,0.244699,0.182318
0,1,64,1,0,64,2,1,1,1,32,128,32,32,32,2,1,0.057686,0.144083,0.139685,0.249743,0.208718,2.6863,0.000577297,1.77994,0.668936
0,1,64,1,2,56,32,1,1,1,64,56,32,32,32,4,0,0.183195,0.254149,0.252137,0.0794605,2.46175,9.36556,0.00129055,6.19504,0.83434
0,1,64,1,3,64,32,1,1,1,32,128,32,32,32,1,0,0.203,0.213794,0.354832,0.126024,0.161658,9.03544,0.000974866,8.08705,1.15041
0,1,64,1,5,64,1,1,1,1,72,64,32,32,32,0,1,0.049932,0.158706,0.199706,0.369559,0.206704,2.81728,0.000685868,1.69814,1.03307
0,1,64,1,5,24,1,1,1,1,88,48,32,32,32,1,0,0.045391,0.220679,0.30021,0.15673,0.792229,2.42284,0.000863076,0.785873,0.596544
0,1,64,1,4,64,2,1,1,1,16,128,32,32,32,1,0,0.0531455,0.0864338,0.0985793,0.073678,0.0322845,0.76982,0.000379699,0.400318,0.33561
0,1,64,1,5,48,8,1,1,1,16,48,32,32,32,1,1,0.0669837,0.0416819,0.0745157,0.15457,0.0403344,1.80058,0.000388439,1.47225,0.417603
0,1,64,1,3,16,4,1,1,1,80,16,32,32,32,2,1,0.0480988,0.102785,0.384463,0.0793012,1.65672,2.81267,0.0010651,0.522697,0.33303
0,1,64,1,4,16,2,1,1,1,24,48,32,32,32,4,1,0.0471716,0.183625,0.228983,0.0530224,0.41323,1.24791,0.000456998,0.323423,0.228744
0,1,64,1,3,16,4,1,1,1,56,16,32,32,32,4,1,0.0495493,0.216234,0.685602,0.0632474,1.90354,3.30585,0.000865984,0.382164,0.243089
0,1,64,1,4,48,1,1,1,1,64,48,32,32,32,1,1,0.0455656,0.0631535,0.0739542,0.102876,0.329778,1.71637,0.000897365,1.01745,0.66549
0,1,64,1,1,16,16,1,1,1,80,48,32,32,32,1,1,0.074005,0.21302,0.231245,0.242434,0.828106,5.22781,0.00117927,3.57668,1.10086
0,1,64,1,1,16,1,1,1,1,24,128,32,32,32,3,0,0.0455203,0.274618,0.278457,0.249792,0.22627,1.62759,0.000407633,0.48168,0.445458
0,1,64,1,4,24,2,1,1,1,32,120,32,32,32,2,0,0.0466203,0.177109,0.187455,0.18066,0.227962,1.58002,0.000538065,0.648326,0.567314
0,1,64,1,4,16,16,1,1,1,32,16,32,32,32,1,1,0.058876,0.0536367,0.094485,0.167661,0.237969,1.27911,0.000716978,0.712133,0.276435
0,1,64,1,5,48,1,1,1,1,120,48,32,32,32,0,0,0.0501269,0.194953,0.246793,0.381546,0.567658,2.52461,0.00109302,0.903728,0.837543
0,1,64,1,5,16,16,1,1,1,112,16,32,32,32,3,1,0.0756957,0.326206,0.463106,0.271742,5.05453,7.98521,0.00142848,1.74885,0.60442
0,1,64,1,0,48,4,1,1,1,56,96,32,32,32,2,0,0.0646182,0.181274,0.18014,0.125659,0.638008,2.26318,0.00083875,0.94133,0.814911
0,1,64,1,1,24,32,1,1,1,32,72,32,32,32,2,0,0.10112,0.757396,0.864443,0.0883906,0.755082,3.98767,0.000780095,1.45626,0.666616
0,1,64,1,5,16,8,1,1,1,32,96,32,32,32,3,1,0.0558254,0.49686,0.350998,0.335695,0.425325,3.25871,0.00055719,1.51792,0.663806
