,m,n,k,ocm,ocn,ock,lcm,lcn,lck,rbm,rbn,rbk,is,tc,mean,std
0,13714,453,814,328,184,224,224,128,32,2,1,8,0,80,0.108231,0.0451938
1,367,2374,17713,136,232,432,48,128,24,1,1,8,1,80,0.173002,0.00347937
2,302,31302,1076,88,304,504,80,120,96,4,2,2,0,80,0.128495,0.123221
3,782,1443,2216,176,472,304,96,88,256,8,1,8,0,80,0.0694909,0.000653939
4,193,13500,386,176,136,248,80,120,16,2,2,4,0,80,0.019085,0.00285742
5,3388,1952,1211,152,472,496,104,184,24,8,1,8,1,80,0.0874106,0.0678701
6,22075,425,1803,296,224,240,8,136,16,8,1,2,1,80,0.23651,0.0389839
7,5219,4800,363,96,440,272,24,48,72,1,2,2,1,80,0.245945,0.00923995
8,3639,1606,350,208,416,344,24,224,56,4,8,4,0,80,0.0260331,0.00415936
9,2020,6579,3248,352,424,296,240,80,72,2,8,8,1,80,0.254507,0.00207381
10,569,25994,1519,320,400,240,144,176,168,4,8,4,1,80,0.179719,0.00557929
11,2000,7804,3631,432,184,408,128,120,8,8,4,4,1,80,0.37179,0.126207
12,1552,964,20992,200,144,424,48,128,16,8,4,2,1,80,0.563854,0.0304201
13,6794,1643,633,216,480,400,128,200,248,2,2,8,0,80,0.0852329,0.00319278
14,6043,1047,1125,496,256,128,24,96,112,4,4,2,1,80,0.0578623,0.00186396
15,861,13014,848,272,192,168,48,16,144,2,2,4,1,80,0.0862194,0.056244
16,2301,379,468,480,368,208,216,168,48,8,2,4,0,80,0.027906,0.00264853
17,692,708,1770,464,192,304,112,184,232,4,8,4,0,80,0.100058,0.00700671
18,1736,3842,813,88,360,464,88,32,144,4,2,8,1,80,0.0340821,0.000586911
19,4112,4072,1741,208,104,192,16,8,48,8,2,2,0,80,0.223507,0.00201959
20,5713,313,1710,360,200,312,16,48,248,4,8,2,1,80,0.0595534,0.001005
21,391,837,6489,184,504,288,40,80,80,2,1,8,1,80,0.202664,0.00479159
22,7265,670,4535,400,464,368,208,176,72,8,2,8,0,80,0.281823,0.0029686
23,7084,1197,452,176,336,336,152,240,104,2,8,2,0,80,0.0874299,0.01675
24,435,3476,7625,168,272,160,144,152,40,4,1,2,0,80,0.230411,0.0934082
25,1595,28032,449,448,168,328,240,64,200,4,2,8,1,80,0.298758,0.0406084
26,7226,5973,871,360,376,264,32,216,24,2,4,4,1,80,0.280991,0.066506
27,647,2263,1250,248,512,368,56,144,120,4,4,2,1,80,0.0298646,0.000947596
28,1625,1061,21411,480,200,440,224,96,80,4,4,2,0,80,1.04341,0.00676355
29,979,12109,422,336,416,128,40,160,8,1,8,2,1,80,0.0776998,0.00103161
30,914,1546,567,488,312,280,80,8,232,4,2,2,0,80,0.0278595,0.00268458
31,2558,2883,806,176,352,208,152,56,112,4,4,4,1,80,0.0508833,0.00705725
32,269,561,3479,200,424,104,32,48,104,1,2,4,1,80,0.0804491,0.00159141
33,551,753,3292,248,424,488,48,80,152,2,1,2,1,80,0.1386,0.000529928
34,4287,1123,1254,248,344,216,96,168,200,2,4,8,0,80,0.0820944,0.000650038
35,286,280,3629,232,168,240,192,40,32,4,4,4,0,80,0.0468581,0.00597146
36,2137,5607,5138,432,256,136,216,176,96,4,2,4,0,80,0.585242,0.119855
37,828,177,11310,248,112,392,48,88,232,2,2,8,1,80,0.131977,0.000899775
38,314,28505,1299,304,376,464,56,24,248,8,4,2,0,80,0.0906712,0.00149852
39,13444,2809,1313,232,208,96,192,48,88,8,8,4,0,80,0.923362,0.0982021
40,1270,1300,928,328,296,296,200,88,168,8,4,4,0,80,0.0338497,0.000994591
41,8795,391,4666,184,248,408,152,128,160,8,2,4,0,80,0.274846,0.00703365
