,nbytes,nnodes,ppn,avg,std
0,64,1,1,7.3675e-07,1.06324
1,67,1,1,6.77e-07,0.781165
2,71,1,1,6.82e-07,0.798485
3,74,1,1,6.8615e-07,0.825522
4,78,1,1,6.7055e-07,0.752719
5,82,1,1,6.741e-07,0.877854
6,86,1,1,6.7705e-07,0.767902
7,90,1,1,6.8545e-07,0.826624
8,95,1,1,6.9925e-07,0.896032
9,99,1,1,6.771e-07,0.776763
10,104,1,1,6.8615e-07,0.801758
11,110,1,1,6.795e-07,0.770661
12,115,1,1,6.8105e-07,0.789441
13,121,1,1,8.073e-07,0.801364
14,127,1,1,8.128e-07,0.794047
15,133,1,1,8.6445e-07,0.83518
16,140,1,1,8.52e-07,0.821285
17,147,1,1,8.449e-07,0.82759
18,154,1,1,8.5045e-07,0.840159
19,162,1,1,8.505e-07,0.761728
20,170,1,1,8.3945e-07,0.795694
21,179,1,1,8.344e-07,0.784809
22,188,1,1,8.5195e-07,0.821561
23,197,1,1,8.669e-07,0.826969
24,207,1,1,8.856e-07,0.962971
25,217,1,1,8.414e-07,0.787089
26,228,1,1,8.7755e-07,0.886932
27,240,1,1,9.051e-07,0.857443
28,252,1,1,8.7855e-07,0.747727
29,264,1,1,9.0005e-07,0.883944
30,278,1,1,8.745e-07,0.735676
31,292,1,1,9.0605e-07,0.833113
32,306,1,1,8.66e-07,0.782237
33,322,1,1,8.8295e-07,0.765138
34,338,1,1,8.7045e-07,0.789838
35,355,1,1,8.4945e-07,0.763598
36,373,1,1,8.79e-07,0.882817
37,391,1,1,8.715e-07,0.802227
38,411,1,1,8.405e-07,0.796545
39,431,1,1,8.294e-07,0.755342
40,453,1,1,8.576e-07,0.814215
41,476,1,1,7.674e-07,0.765584
42,500,1,1,7.6625e-07,0.874453
43,525,1,1,7.6525e-07,0.811957
44,551,1,1,8.2495e-07,1.03148
45,579,1,1,7.6685e-07,0.844832
46,608,1,1,7.5e-07,0.734525
47,638,1,1,7.268e-07,0.809052
48,670,1,1,7.5145e-07,0.830571
49,704,1,1,7.5165e-07,0.864149
50,739,1,1,7.6725e-07,0.844376
51,776,1,1,7.582e-07,0.812898
52,815,1,1,7.6915e-07,0.882492
53,856,1,1,7.572e-07,0.800996
54,899,1,1,7.725e-07,0.835123
55,944,1,1,7.829e-07,0.904924
56,991,1,1,7.7185e-07,0.890178
57,1041,1,1,8.2575e-07,1.05631
58,1093,1,1,7.893e-07,0.909208
59,1148,1,1,7.732e-07,0.84233
60,1205,1,1,7.884e-07,0.89149
61,1266,1,1,7.8075e-07,1.00458
62,1329,1,1,8.103e-07,0.987537
63,1396,1,1,8.4005e-07,1.09929
64,1466,1,1,7.99e-07,0.957062
65,1539,1,1,7.6965e-07,0.844547
66,1617,1,1,7.8435e-07,0.879893
67,1698,1,1,7.974e-07,0.902688
68,1783,1,1,7.8435e-07,0.869597
69,1872,1,1,7.9325e-07,0.93296
70,1966,1,1,7.7075e-07,0.812298
71,2065,1,1,7.889e-07,0.903851
72,2168,1,1,7.7095e-07,0.878446
73,2277,1,1,8.0385e-07,0.927587
74,2391,1,1,7.988e-07,0.94071
75,2511,1,1,8.0625e-07,0.967477
76,2637,1,1,8.4785e-07,1.13408
77,2769,1,1,7.8225e-07,0.898001
78,2908,1,1,8.264e-07,1.07624
79,3054,1,1,8.0685e-07,0.873146
80,3207,1,1,1.02635e-06,0.681589
81,3368,1,1,8.0545e-07,0.827202
82,3537,1,1,8.2085e-07,0.894606
83,3714,1,1,8.234e-07,0.831059
84,3900,1,1,8.4235e-07,0.954993
85,4096,1,1,8.1545e-07,0.895069
86,4301,1,1,8.8345e-07,1.14418
87,4517,1,1,8.1725e-07,0.877788
88,4744,1,1,1.5396e-06,0.578063
89,4981,1,1,1.52755e-06,0.531938
90,5231,1,1,1.8825e-06,0.782026
91,5494,1,1,1.52045e-06,0.589876
92,5769,1,1,1.53805e-06,0.575139
93,6058,1,1,1.60125e-06,0.665052
94,6362,1,1,1.53405e-06,0.55157
95,6681,1,1,1.5225e-06,0.532172
96,7016,1,1,1.5421e-06,0.606371
97,7368,1,1,1.5491e-06,0.590891
98,7737,1,1,1.534e-06,0.564129
99,8125,1,1,1.54505e-06,0.591672
100,8533,1,1,1.54155e-06,0.575333
101,8961,1,1,1.54965e-06,0.569731
102,9410,1,1,1.53605e-06,0.55981
103,9882,1,1,1.537e-06,0.553579
104,10378,1,1,1.5582e-06,0.579368
105,10898,1,1,1.5591e-06,0.599452
106,11444,1,1,1.55715e-06,0.566963
107,12018,1,1,2.54365e-06,0.400539
108,12621,1,1,8.7715e-07,1.06179
109,13254,1,1,8.399e-07,0.945774
110,13918,1,1,8.273e-07,0.878994
111,14616,1,1,8.4505e-07,0.955411
112,15349,1,1,8.545e-07,0.969256
113,16119,1,1,1.1655e-06,1.21394
114,16927,1,1,9.147e-07,1.23959
115,17776,1,1,8.564e-07,1.03392
116,18667,1,1,8.92e-07,1.1308
117,19603,1,1,8.599e-07,1.02311
118,20587,1,1,8.1545e-07,0.835623
119,21619,1,1,8.2035e-07,0.854539
120,22703,1,1,8.059e-07,0.845792
121,23841,1,1,1.57015e-06,0.61305
122,25037,1,1,1.54805e-06,0.542049
123,26292,1,1,1.5511e-06,0.563751
124,27611,1,1,1.55515e-06,0.544954
125,28995,1,1,1.55855e-06,0.574157
126,30449,1,1,1.53205e-06,0.548895
127,31976,1,1,1.5532e-06,0.549714
128,33580,1,1,1.55205e-06,0.555451
129,35263,1,1,1.54955e-06,0.624775
130,37032,1,1,2.16195e-06,0.521213
131,38889,1,1,2.1264e-06,0.704269
132,40839,1,1,1.6598e-06,0.71309
133,42886,1,1,1.6724e-06,0.65043
134,45037,1,1,2.2616e-06,0.703726
135,47295,1,1,1.6408e-06,0.661618
136,49667,1,1,1.63575e-06,0.656637
137,52158,1,1,1.9214e-06,1.21851
138,54773,1,1,1.59575e-06,0.591692
139,57520,1,1,1.61075e-06,0.620942
140,60404,1,1,1.5866e-06,0.573642
141,63433,1,1,1.6404e-06,0.672184
142,66614,1,1,1.6327e-06,0.64496
143,69954,1,1,1.58865e-06,0.554015
144,73462,1,1,1.5947e-06,0.575986
145,77145,1,1,1.5842e-06,0.558609
146,81014,1,1,9.7025e-07,1.10065
147,85076,1,1,9.3365e-07,0.969211
148,89342,1,1,8.916e-07,0.818793
149,93823,1,1,1.09605e-06,1.44481
150,98527,1,1,8.8155e-07,0.848704
151,103468,1,1,9.0615e-07,0.874981
152,108656,1,1,8.97e-07,0.810431
153,114105,1,1,9.4065e-07,0.956771
154,119827,1,1,9.387e-07,0.988577
155,125835,1,1,9.8575e-07,1.0725
156,132145,1,1,1.8723e-06,2.6065
157,138772,1,1,1.89845e-06,2.60255
158,145730,1,1,1.89645e-06,2.62487
159,153038,1,1,1.81225e-06,2.61465
160,160712,1,1,1.74905e-06,2.58805
161,168771,1,1,1.82465e-06,2.64061
162,177234,1,1,1.8357e-06,2.64777
163,186121,1,1,1.83225e-06,2.66091
164,195454,1,1,1.80275e-06,2.62616
165,205255,1,1,1.84125e-06,2.70517
166,215548,1,1,1.74555e-06,2.65843
167,226356,1,1,2.1104e-06,2.69802
168,237707,1,1,1.86285e-06,2.65887
169,249627,1,1,1.7721e-06,2.67751
170,262144,1,1,1.76505e-06,2.68179
171,275289,1,1,1.84085e-06,2.72142
172,289093,1,1,2.1129e-06,2.85888
173,303590,1,1,1.79915e-06,2.70839
174,318813,1,1,2.0452e-06,2.79143
175,334800,1,1,1.95855e-06,2.62635
176,351589,1,1,1.8081e-06,2.68125
177,369219,1,1,2.79095e-06,2.87098
178,387734,1,1,1.9379e-06,2.60001
179,407176,1,1,1.923e-06,2.61539
180,427594,1,1,3.34925e-06,3.43606
181,449036,1,1,1.80415e-06,2.59519
182,471552,1,1,1.9816e-06,2.72301
183,495198,1,1,2.00415e-06,2.62939
184,520030,1,1,5.11635e-06,2.86836
185,546107,1,1,1.8432e-06,2.60956
186,573491,1,1,1.8097e-06,2.61547
187,602249,1,1,1.90995e-06,2.69449
188,632448,1,1,1.92185e-06,2.67009
189,664162,1,1,1.96795e-06,2.68057
190,697467,1,1,1.91735e-06,2.61171
191,732441,1,1,1.80975e-06,2.58798
192,769169,1,1,1.8298e-06,2.6342
193,807739,1,1,2.63255e-06,2.10178
194,848243,1,1,2.5077e-06,2.01558
195,890778,1,1,6.0459e-06,2.60467
196,935446,1,1,3.74515e-06,2.71747
197,982353,1,1,2.84445e-06,2.14033
198,1031613,1,1,2.8741e-06,2.14619
199,1083343,1,1,2.79045e-06,2.08134
200,1137667,1,1,2.812e-06,2.08375
201,1194715,1,1,2.9113e-06,2.30151
202,1254624,1,1,4.33965e-06,2.79011
203,1317537,1,1,2.81745e-06,2.2352
204,1383604,1,1,2.70225e-06,2.14652
205,1452985,1,1,2.62905e-06,2.1043
206,1525844,1,1,3.9942e-06,2.85093
207,1602358,1,1,2.3514e-06,2.90968
208,1682707,1,1,2.06125e-06,2.74898
209,1767086,1,1,2.27125e-06,2.81908
210,1855697,1,1,2.09635e-06,2.70265
211,1948750,1,1,1.95305e-06,2.71355
212,2046470,1,1,1.97105e-06,2.73431
213,2149089,1,1,1.93745e-06,2.68721
214,2256855,1,1,2.77145e-06,3.17646
215,2370025,1,1,1.9605e-06,2.73123
216,2488869,1,1,1.92805e-06,2.66769
217,2613673,1,1,2.2753e-06,2.85319
218,2744735,1,1,2.0928e-06,2.78388
219,2882369,1,1,2.2959e-06,2.92564
220,3026905,1,1,1.82858e-05,4.16278
221,3178688,1,1,2.0683e-06,2.75295
222,3338083,1,1,2.207e-05,3.41421
223,3505470,1,1,2.28525e-06,2.8748
224,3681251,1,1,2.31035e-06,2.9673
225,3865847,1,1,2.32935e-06,2.87965
226,4059699,1,1,3.3402e-06,3.28527
227,4263271,1,1,2.1616e-06,2.84636
228,4477052,1,1,2.2858e-06,2.88858
229,4701553,1,1,2.17505e-06,2.83653
230,4937311,1,1,2.207e-06,2.87357
231,5184891,1,1,2.13645e-06,2.84334
232,5444887,1,1,2.14995e-06,2.87977
233,5717919,1,1,2.47525e-06,2.93043
234,6004643,1,1,2.1249e-06,2.86476
235,6305745,1,1,2.11585e-06,2.80023
236,6621945,1,1,2.1249e-06,2.84062
237,6954001,1,1,2.13395e-06,2.79481
238,7302707,1,1,2.28335e-06,2.83506
239,7668900,1,1,3.39435e-06,3.18126
240,8053455,1,1,3.2941e-06,3.32368
241,8457294,1,1,2.1365e-06,2.83285
242,8881383,1,1,3.22805e-06,3.28542
243,9326738,1,1,2.0712e-06,2.82942
244,9794425,1,1,2.4552e-06,3.02073
245,10285565,1,1,1.76373e-05,4.14285
246,10801332,1,1,1.91323e-05,4.19227
247,11342962,1,1,2.06225e-06,2.76535
248,11911753,1,1,2.2934e-06,2.92882
249,12509065,1,1,2.1595e-06,2.84845
250,13136329,1,1,2.2432e-06,2.90781
251,13795047,1,1,2.991e-06,3.24335
252,14486797,1,1,2.34025e-06,2.97746
253,15213234,1,1,1.77406e-05,4.15103
