,nbytes,nnodes,ppn,avg,std
0,64,1,1,4.3805e-07,1.0864
1,147,1,1,4.465e-07,1.18191
2,338,1,1,4.2805e-07,1.0335
3,776,1,1,4.1055e-07,0.917696
4,1783,1,1,4.5755e-07,1.01897
5,4096,1,1,4.796e-07,1.15327
6,9410,1,1,4.676e-07,1.06834
7,21619,1,1,8.8155e-07,2.02622
8,49667,1,1,4.2845e-07,0.877782
9,114105,1,1,4.28e-07,0.814628
10,262144,1,1,4.505e-07,0.849841
11,602249,1,1,5.021e-07,0.838702
12,1383604,1,1,4.7465e-07,1.04373
13,3178688,1,1,4.4355e-07,0.787498
14,7302707,1,1,4.837e-07,1.10212
15,16777216,1,1,4.756e-07,1.01739
0,64,1,1,4.0645e-07,1.07193
1,147,1,1,4.2895e-07,0.994187
2,338,1,1,2.4602e-06,3.64232
3,776,1,1,4.27e-07,1.04436
4,1783,1,1,4.355e-07,0.84493
5,4096,1,1,4.5555e-07,1.00369
6,9410,1,1,4.49e-07,0.948326
7,21619,1,1,4.546e-07,0.996547
8,49667,1,1,4.7715e-07,1.18619
9,114105,1,1,4.4105e-07,0.901069
10,262144,1,1,4.8665e-07,1.10392
11,602249,1,1,4.5455e-07,0.876939
12,1383604,1,1,4.3605e-07,0.894174
13,3178688,1,1,4.39e-07,0.975053
14,7302707,1,1,4.5355e-07,1.06826
15,16777216,1,1,4.7005e-07,0.93807
96,64,1,2,1.78865e-06,0.82283
97,147,1,2,1.8313e-06,0.818932
98,338,1,2,2.66065e-06,1.67174
99,776,1,2,2.1364e-06,0.83408
100,1783,1,2,2.30165e-06,0.718641
101,4096,1,2,3.3167e-06,1.31781
102,9410,1,2,1.39104e-05,0.735524
103,21619,1,2,2.86213e-05,0.873871
104,49667,1,2,5.92459e-05,0.167016
105,114105,1,2,8.00622e-05,0.255218
106,262144,1,2,0.000116332,0.182928
107,602249,1,2,0.00030137,0.0974751
108,1383604,1,2,0.000617125,0.0483928
109,3178688,1,2,0.00134393,0.0240674
110,7302707,1,2,0.00252297,0.00948704
111,16777216,1,2,0.00606851,0.00354565
192,64,1,4,3.07505e-06,1.57934
193,147,1,4,2.24415e-06,0.831105
194,338,1,4,2.2994e-06,0.877757
195,776,1,4,2.96155e-06,0.663359
196,1783,1,4,3.2575e-06,1.33535
197,4096,1,4,4.6557e-06,1.39835
198,9410,1,4,9.86335e-06,0.6433
199,21619,1,4,3.10405e-05,0.71015
200,49667,1,4,2.21422e-05,0.16002
201,114105,1,4,5.17496e-05,0.241171
202,262144,1,4,0.000109648,0.1469
203,602249,1,4,0.000249957,0.100486
204,1383604,1,4,0.000599802,0.0829534
205,3178688,1,4,0.0013124,0.027841
206,7302707,1,4,0.00297293,0.0131883
207,16777216,1,4,0.00663406,0.00702445
288,64,1,8,5.56745e-06,1.06829
289,147,1,8,4.27955e-06,1.48735
290,338,1,8,6.3193e-06,0.992964
291,776,1,8,3.7081e-06,1.44946
292,1783,1,8,5.97945e-06,1.19563
293,4096,1,8,7.40025e-06,1.29065
294,9410,1,8,1.19797e-05,0.992828
295,21619,1,8,1.92676e-05,0.478961
296,49667,1,8,2.26153e-05,0.321246
297,114105,1,8,4.40585e-05,0.256617
298,262144,1,8,0.000111939,0.3085
299,602249,1,8,0.000276912,0.132883
300,1383604,1,8,0.00061715,0.052369
301,3178688,1,8,0.00140408,0.0272357
302,7302707,1,8,0.00309928,0.0116509
303,16777216,1,8,0.00701238,0.00711726
384,64,1,16,4.86975e-06,1.08595
385,147,1,16,4.48335e-06,0.929346
386,338,1,16,4.3366e-06,0.847932
387,776,1,16,4.29995e-06,1.09842
388,1783,1,16,8.77235e-06,1.75436
389,4096,1,16,6.49945e-06,0.725297
390,9410,1,16,1.00447e-05,0.648856
391,21619,1,16,1.81638e-05,0.523001
392,49667,1,16,2.53549e-05,0.605971
393,114105,1,16,4.6179e-05,0.29844
394,262144,1,16,0.000101208,0.197215
395,602249,1,16,0.000281295,0.140534
396,1383604,1,16,0.00064095,0.0800362
397,3178688,1,16,0.00142399,0.0357005
398,7302707,1,16,0.00312851,0.0172581
399,16777216,1,16,0.00713016,0.00644408
480,64,1,32,1.03264e-05,0.825594
481,147,1,32,1.20709e-05,0.644567
482,338,1,32,1.03169e-05,0.398689
483,776,1,32,5.9637e-06,0.343526
484,1783,1,32,1.0045e-05,0.991594
485,4096,1,32,1.06286e-05,0.71655
486,9410,1,32,1.63393e-05,0.642166
487,21619,1,32,2.38687e-05,0.939337
488,49667,1,32,2.75222e-05,0.405135
489,114105,1,32,4.88517e-05,0.25644
490,262144,1,32,0.000106427,0.11725
491,602249,1,32,0.000326643,0.29773
492,1383604,1,32,0.000730898,0.0716853
493,3178688,1,32,0.00154701,0.038282
494,7302707,1,32,0.0034547,0.0420524
495,16777216,1,32,0.00777179,0.0109029
576,64,1,64,1.04718e-05,0.447285
577,147,1,64,6.43195e-06,0.744454
578,338,1,64,7.63475e-06,0.835278
579,776,1,64,1.73327e-05,1.27363
580,1783,1,64,9.27505e-06,0.396254
