nbytes,nnodes,ppn,avg,std
0,64,1,1,4.561e-07,1.19995
1,67,1,1,4.139e-07,0.896072
2,71,1,1,4.4005e-07,1.09129
3,74,1,1,4.2595e-07,0.986198
4,78,1,1,4.2745e-07,0.976131
5,82,1,1,4.14e-07,0.890508
6,86,1,1,4.77e-07,1.19351
7,90,1,1,4.21e-07,0.922711
8,95,1,1,4.6855e-07,1.17514
9,99,1,1,4.2e-07,0.941441
10,104,1,1,4.4155e-07,1.03558
11,110,1,1,4.189e-07,0.927172
12,115,1,1,4.2045e-07,0.896941
13,121,1,1,2.92935e-06,3.82431
14,127,1,1,4.295e-07,1.01435
15,133,1,1,4.4255e-07,1.10521
16,140,1,1,4.2555e-07,0.976297
17,147,1,1,4.0995e-07,0.867084
18,154,1,1,4.1845e-07,0.929591
19,162,1,1,4.351e-07,1.07309
20,170,1,1,4.39e-07,1.08872
21,179,1,1,4.2245e-07,0.956822
22,188,1,1,4.475e-07,1.13849
23,197,1,1,4.2e-07,0.92464
24,207,1,1,4.556e-07,1.20121
25,217,1,1,4.094e-07,0.844823
26,228,1,1,4.1645e-07,0.916682
27,240,1,1,4.215e-07,0.942777
28,252,1,1,4.3395e-07,1.04969
29,264,1,1,4.51e-07,1.1744
30,278,1,1,4.1145e-07,0.857361
31,292,1,1,4.4195e-07,1.11666
32,306,1,1,4.1245e-07,0.865295
33,322,1,1,4.3195e-07,0.991115
34,338,1,1,4.3455e-07,1.05944
35,355,1,1,4.235e-07,0.959932
36,373,1,1,4.315e-07,1.04599
37,391,1,1,4.1945e-07,0.943385
38,411,1,1,4.661e-07,1.28482
39,431,1,1,4.24e-07,0.916696
40,453,1,1,4.3445e-07,1.06462
41,476,1,1,4.2205e-07,0.908755
42,500,1,1,4.245e-07,0.967666
43,525,1,1,4.1845e-07,0.929009
44,551,1,1,4.135e-07,0.880886
45,579,1,1,4.2445e-07,1.01304
46,608,1,1,4.1705e-07,0.9503
47,638,1,1,4.1495e-07,0.945396
48,670,1,1,4.099e-07,0.907965
49,704,1,1,4.214e-07,1.0109
50,739,1,1,4.229e-07,1.00145
51,776,1,1,4.21e-07,0.989255
52,815,1,1,4.2395e-07,1.01307
53,856,1,1,4.1795e-07,0.965015
54,899,1,1,4.134e-07,0.955183
55,944,1,1,4.1245e-07,0.879095
56,991,1,1,4.176e-07,0.949784
57,1041,1,1,4.2645e-07,0.768578
58,1093,1,1,4.446e-07,0.912468
59,1148,1,1,4.682e-07,1.06186
60,1205,1,1,4.3795e-07,0.860133
61,1266,1,1,4.35e-07,0.840757
62,1329,1,1,4.916e-07,1.18448
63,1396,1,1,4.5e-07,0.925239
64,1466,1,1,4.676e-07,1.07819
65,1539,1,1,5.1115e-07,1.25024
0,64,1,1,4.2345e-07,1.1648
66,1617,1,1,4.275e-07,0.996912
1,67,1,1,3.9435e-07,0.945789
67,1698,1,1,4.426e-07,1.09946
2,71,1,1,4.1645e-07,1.1382
68,1783,1,1,4.355e-07,1.06644
3,74,1,1,4.119e-07,1.08409
69,1872,1,1,4.17e-07,1.14702
4,78,1,1,3.874e-07,1.14942
70,1966,1,1,4.3695e-07,1.06185
5,82,1,1,4.114e-07,1.08579
71,2065,1,1,4.3555e-07,1.056
6,86,1,1,4.044e-07,1.00377
72,2168,1,1,4.285e-07,0.999788
7,90,1,1,5.4285e-07,0.826362
73,2277,1,1,4.2445e-07,0.956245
8,95,1,1,4.215e-07,1.18913
74,2391,1,1,4.616e-07,1.04406
9,99,1,1,4.981e-07,1.37358
75,2511,1,1,4.31e-07,1.02033
10,104,1,1,4.129e-07,1.09269
76,2637,1,1,4.5655e-07,0.981346
11,110,1,1,4.089e-07,1.05389
77,2769,1,1,4.541e-07,0.982367
12,115,1,1,4.1245e-07,1.09381
78,2908,1,1,4.1805e-07,0.923459
13,121,1,1,4.059e-07,1.01701
79,3054,1,1,4.391e-07,1.08279
14,127,1,1,4.0445e-07,1.00991
80,3207,1,1,4.415e-07,1.10682
15,133,1,1,4.099e-07,1.07343
81,3368,1,1,4.2795e-07,0.995803
16,140,1,1,4.134e-07,1.09628
82,3537,1,1,4.3505e-07,1.0521
17,147,1,1,4.2245e-07,1.17966
83,3714,1,1,4.5305e-07,0.96422
18,154,1,1,4.26e-07,0.991318
84,3900,1,1,4.2095e-07,0.900675
19,162,1,1,4.09e-07,1.07051
85,4096,1,1,4.2995e-07,1.01218
20,170,1,1,4.17e-07,1.13616
86,4301,1,1,4.37e-07,1.08373
21,179,1,1,4.009e-07,0.979566
87,4517,1,1,4.295e-07,1.01297
22,188,1,1,4.386e-07,1.28884
88,4744,1,1,4.32e-07,1.02832
23,197,1,1,4.395e-07,1.06091
89,4981,1,1,4.3405e-07,1.0283
24,207,1,1,4.5655e-07,1.35468
90,5231,1,1,4.2455e-07,0.961697
25,217,1,1,4.2255e-07,1.14708
91,5494,1,1,4.3295e-07,1.02539
26,228,1,1,4.4455e-07,1.11496
92,5769,1,1,4.42e-07,1.1002
27,240,1,1,4.229e-07,1.03505
93,6058,1,1,4.3045e-07,1.02167
28,252,1,1,4.219e-07,1.15867
94,6362,1,1,4.27e-07,0.987517
29,264,1,1,4.0395e-07,1.01693
95,6681,1,1,4.151e-07,0.881833
30,278,1,1,4.1845e-07,1.13727
96,7016,1,1,4.355e-07,1.02897
31,292,1,1,4.455e-07,1.12754
97,7368,1,1,4.4455e-07,1.12488
