nnodes,ppn,nthreads,nbodies,dist,ncrit,level,order,Initialize_bodies,Partition,Precalculation,Build_tree,P2M_&_M2M,Local_essential_tree,M2L_&_P2P,L2L_&_L2P,Total_FMM
0,1,1,1,696,cube,86,4,6,0.000365,0.002413,4e-06,0.000572,0.0459,0.126257,0.148563,0.001867,0.326523
0,1,1,1,1290,cube,44,0,8,0.000467,0.001152,4e-06,0.001018,0.051472,0.004692,0.639922,0.005616,0.704943
0,1,1,1,4424,cube,100,4,3,0.001057,0.003254,7e-06,0.002093,0.04899,0.22856,0.189989,0.005346,0.479461
0,1,1,1,6020,cube,114,1,4,0.001395,0.003561,6e-06,0.002866,0.051767,0.010503,0.344877,0.008893,0.423767
0,1,1,1,3250,cube,4,4,8,0.000926,0.002598,5e-06,0.017004,0.086213,8.13922,16.0836,0.059427,24.3892
0,1,1,1,3250,cube,86,1,6,0.000846,0.002096,4e-06,0.001663,0.048544,0.006898,0.338701,0.007477,0.406451
0,1,1,1,696,cube,128,3,0,0.000334,0.001005,3e-06,0.000262,0.04587,0.005116,0.031002,0.000569,0.084783
0,1,1,1,1756,cube,86,0,1,0.000669,0.001324,4e-06,0.000755,0.0454,0.003677,0.045805,0.001572,0.099513
0,1,1,1,1290,cube,4,3,2,0.000592,0.001487,5e-06,0.002779,0.047251,0.303386,0.227552,0.002564,0.586239
0,1,1,1,3250,cube,44,0,8,0.00087,0.001952,5e-06,0.004718,0.056647,0.024594,3.48704,0.019077,3.59527
0,1,1,1,948,cube,128,2,1,0.000394,0.001135,4e-06,0.000385,0.046875,0.002652,0.047013,0.000861,0.099836
0,1,1,1,948,cube,30,1,4,0.000392,0.001073,2e-06,0.00069,0.046402,0.003506,0.092716,0.001636,0.147017
0,1,1,1,6020,cube,114,0,8,0.001659,0.003806,7e-06,0.003446,0.058082,0.012458,0.922846,0.021618,1.02336
0,1,1,1,1756,cube,72,2,6,0.000574,0.001559,6e-06,0.001102,0.048458,0.00782,0.281454,0.004435,0.34598
0,1,1,1,1290,cube,100,4,3,0.000565,0.001736,7e-06,0.000772,0.049014,0.223861,0.059565,0.00172,0.337786
0,1,1,1,512,cube,86,1,7,0.000349,0.000872,2e-06,0.000272,0.045616,0.001548,0.098236,0.001507,0.14895
0,1,1,1,696,cube,58,1,1,0.000446,0.001303,5e-06,0.0007,0.046516,0.003009,0.025719,0.000697,0.078938
0,1,1,1,512,cube,30,0,2,0.000369,0.000792,3e-06,0.000418,0.04128,0.002043,0.029385,0.000678,0.075465
0,1,1,1,8192,cube,30,0,2,0.001849,0.004538,6e-06,0.005801,0.051905,0.019526,0.284347,0.00865,0.375993
0,1,1,1,8192,cube,30,3,8,0.002014,0.006172,6e-06,0.008605,0.074595,0.265337,4.7233,0.036651,5.11588
0,1,1,1,1290,cube,18,3,1,0.000684,0.001733,8e-06,0.001745,0.045801,0.152579,0.092018,0.001609,0.296656
0,1,1,1,948,cube,114,4,0,0.000497,0.001256,3e-06,0.000477,0.048231,0.150557,0.030097,0.000825,0.232413
0,1,1,1,2390,cube,72,2,1,0.000955,0.002398,7e-06,0.001482,0.047896,0.007739,0.064624,0.002072,0.127345
0,1,1,1,696,cube,30,3,2,0.00033,0.00107,3e-06,0.000505,0.045528,0.02907,0.031526,0.000822,0.109506
0,1,1,1,696,cube,30,2,8,0.000503,0.001331,7e-06,0.001092,0.047807,0.007119,0.626617,0.003614,0.688672
0,1,1,1,3250,cube,86,4,0,0.001196,0.00333,7e-06,0.001649,0.047658,0.227867,0.098696,0.002597,0.382976
0,1,1,1,1290,cube,72,3,4,0.000657,0.001764,6e-06,0.000898,0.046558,0.030298,0.098594,0.002119,0.181328
0,1,1,1,1756,cube,72,3,3,0.000618,0.001784,4e-06,0.000963,0.047996,0.030859,0.070898,0.002226,0.155776
0,1,1,1,1290,cube,128,3,7,0.000608,0.00149,5e-06,0.001075,0.049871,0.032262,0.425284,0.004252,0.51533
0,1,1,1,696,cube,100,3,6,0.000375,0.001044,3e-06,0.000321,0.046952,0.005042,0.081082,0.001639,0.137034
0,1,1,1,1756,cube,30,2,0,0.000615,0.001479,5e-06,0.001034,0.047471,0.016211,0.063018,0.001624,0.131895
0,1,1,1,2390,cube,58,1,6,0.000696,0.001699,4e-06,0.001354,0.049771,0.00581,0.300896,0.005715,0.366283
0,1,1,1,2390,cube,100,4,2,0.000941,0.002666,6e-06,0.00144,0.047623,0.224713,0.072959,0.002462,0.353016
0,1,1,1,1290,cube,72,4,6,0.00066,0.001934,8e-06,0.000984,0.049385,0.224181,0.270909,0.003385,0.551903
0,1,1,1,512,cube,30,0,5,0.000424,0.000851,5e-06,0.000632,0.046443,0.002645,0.151672,0.00132,0.204544
0,1,1,1,1756,cube,30,1,2,0.000808,0.001849,6e-06,0.001675,0.046532,0.006858,0.085325,0.002124,0.145503
0,1,1,1,3250,cube,18,3,0,0.000955,0.002834,6e-06,0.002489,0.052164,0.230899,0.152191,0.003068,0.444753
0,1,1,1,512,cube,44,2,1,0.000399,0.000958,5e-06,0.00053,0.048989,0.005175,0.02215,0.00056,0.079418
0,1,1,1,8192,cube,4,4,1,0.002174,0.006525,7e-06,0.016196,0.05838,15.371,1.05396,0.013188,16.5204
0,1,1,1,4424,cube,100,1,6,0.001095,0.002704,4e-06,0.002177,0.052131,0.008861,0.401735,0.010048,0.478853
