m,n,k,avg,std
98304,256,256,256,0.000133028,0.125031
98305,299,256,256,0.000139555,0.153307
98306,350,256,256,0.000165278,0.131053
98307,409,256,256,0.000198946,0.107862
98308,479,256,256,0.000197147,0.110611
98309,560,256,256,0.000219837,0.092167
98310,655,256,256,0.000248715,0.0700509
98311,766,256,256,0.000247411,0.0656894
98312,895,256,256,0.00028874,0.0622567
98313,1047,256,256,0.000303093,0.0778578
98314,1225,256,256,0.000305631,0.0721533
98315,1432,256,256,0.000345339,0.0966171
98316,1675,256,256,0.000376769,0.0685057
98317,1958,256,256,0.000409698,0.0664896
98318,2290,256,256,0.000452067,0.0613451
98319,2678,256,256,0.000512118,0.0985645
98320,3132,256,256,0.000574122,0.054252
98321,3663,256,256,0.000659331,0.0537687
98322,4283,256,256,0.000773572,0.0534573
98323,5009,256,256,0.000787954,0.0540838
98324,5858,256,256,0.000865851,0.0346477
98325,6850,256,256,0.000954283,0.00725799
98326,8011,256,256,0.0011858,0.0169126
98327,9368,256,256,0.00132591,0.0195197
98328,10955,256,256,0.00137137,0.0259834
98329,12812,256,256,0.00168866,0.0154696
98330,14982,256,256,0.00201009,0.0122086
98331,17521,256,256,0.00193688,0.0102945
98332,20489,256,256,0.0023613,0.00992822
98333,23961,256,256,0.0024491,0.0145392
98334,28020,256,256,0.00296609,0.00790537
98335,32768,256,256,0.0158743,0.0185973
98336,256,299,256,0.000205287,0.090028
98337,299,299,256,0.00023032,0.112057
98338,350,299,256,0.000266879,0.106146
98339,409,299,256,0.000303336,0.0561512
98340,479,299,256,0.000267576,0.0705899
98341,560,299,256,0.000273343,0.0644775
98342,655,299,256,0.000335763,0.320225
98343,766,299,256,0.00032324,0.0682917
98344,895,299,256,0.000386312,0.0608178
98345,1047,299,256,0.000404539,0.0638331
98346,1225,299,256,0.000446133,0.0538303
98347,1432,299,256,0.000513411,0.0803319
98348,1675,299,256,0.000583262,0.0476234
98349,1958,299,256,0.000650223,0.0484858
98350,2290,299,256,0.000740254,0.0456594
98351,2678,299,256,0.000853146,0.00767687
98352,3132,299,256,0.000985724,0.00369596
98353,3663,299,256,0.00120472,0.147
98354,4283,299,256,0.00089184,0.0296967
98355,5009,299,256,0.000888363,0.0683889
98356,5858,299,256,0.00098243,0.00958915
98357,6850,299,256,0.00105342,0.0212031
98358,8011,299,256,0.00124195,0.0276529
98359,9368,299,256,0.00132676,0.0217385
98360,10955,299,256,0.00157329,0.0234032
98361,12812,299,256,0.00168103,0.0253471
98362,14982,299,256,0.00186422,0.0311479
98363,17521,299,256,0.00225953,0.0162152
98364,20489,299,256,0.00252141,0.0145954
98365,23961,299,256,0.0027991,0.0136675
98366,28020,299,256,0.00330106,0.0121075
98367,32768,299,256,0.0177446,0.0276378
98368,256,350,256,0.000145925,0.126894
98369,299,350,256,0.000149601,0.119462
98370,350,350,256,0.00016581,0.122768
98371,409,350,256,0.000181379,0.092974
98372,479,350,256,0.000212023,0.113224
98373,560,350,256,0.000239664,0.145836
98374,655,350,256,0.000286425,0.0727304
98375,766,350,256,0.00028788,0.0669644
98376,895,350,256,0.000334784,0.0992131
98377,1047,350,256,0.000376176,0.115828
98378,1225,350,256,0.000393218,0.0808655
98379,1432,350,256,0.000430254,0.060962
98380,1675,350,256,0.000500129,0.0745817
98381,1958,350,256,0.00055376,0.0519653
98382,2290,350,256,0.000627152,0.0580348
98383,2678,350,256,0.000709711,0.0500071
98384,3132,350,256,0.000797634,0.0455406
98385,3663,350,256,0.000902167,0.00505581
98386,4283,350,256,0.00101963,0.0348156
98387,5009,350,256,0.000971695,0.021349
98388,5858,350,256,0.00110308,0.0528733
98389,6850,350,256,0.00120102,0.0254627
98390,8011,350,256,0.00137552,0.0221258
98391,9368,350,256,0.00167053,0.0220172
98392,10955,350,256,0.00176479,0.0206747
98393,12812,350,256,0.00208885,0.0099554
98394,14982,350,256,0.00219749,0.00973824
98395,17521,350,256,0.00253823,0.00695723
98396,20489,350,256,0.00286327,0.0238356
98397,23961,350,256,0.00348993,0.0331869
98398,28020,350,256,0.0037448,0.0140782
98399,32768,350,256,0.0179414,0.0146097
98400,256,409,256,0.000214592,0.135937
98401,299,409,256,0.000218781,0.0806435
98402,350,409,256,0.000253995,0.0763764
98403,409,409,256,0.000282505,0.0964458
98404,479,409,256,0.000338138,0.0715009
98405,560,409,256,0.000384561,0.0615522
98406,655,409,256,0.000345595,0.0432175
98407,766,409,256,0.000366968,0.0517436
98408,895,409,256,0.000419475,0.0463814
98409,1047,409,256,0.000471266,0.04271
98410,1225,409,256,0.000522185,0.0529485
98411,1432,409,256,0.000594797,0.045256
98412,1675,409,256,0.000682248,0.04694
98413,1958,409,256,0.000778737,0.0415781
98414,2290,409,256,0.000902065,0.00665684
98415,2678,409,256,0.000991341,0.00626195
98416,3132,409,256,0.00113415,0.00869667
98417,3663,409,256,0.001281,0.0282402
98418,4283,409,256,0.0011137,0.0235875
98419,5009,409,256,0.00107125,0.0173592
98420,5858,409,256,0.00119437,0.0255366
98421,6850,409,256,0.00133143,0.0242284
98422,8011,409,256,0.00151294,0.0490862
98423,9368,409,256,0.00162766,0.0273676
98424,10955,409,256,0.00192347,0.0168394
98425,12812,409,256,0.00204376,0.011753
98426,14982,409,256,0.00236764,0.00721026
98427,17521,409,256,0.00269759,0.00725241
98428,20489,409,256,0.00313425,0.0152051
98429,23961,409,256,0.00337438,0.0149073
98430,28020,409,256,0.00404494,0.00471248
98431,32768,409,256,0.020111,0.0260569
98432,256,479,256,0.00021642,0.0833102
98433,299,479,256,0.000220521,0.100514
98434,350,479,256,0.000250192,0.0914129
98435,409,479,256,0.00026811,0.0510866
98436,479,479,256,0.000368227,0.0635827
98437,560,479,256,0.000348537,0.0417709
98438,655,479,256,0.000410184,0.0543626
98439,766,479,256,0.000368441,0.0499713
98440,895,479,256,0.000436055,0.0482598
98441,1047,479,256,0.00048161,0.0396007
98442,1225,479,256,0.000511442,0.0348792
98443,1432,479,256,0.000594918,0.048975
98444,1675,479,256,0.00067302,0.0339005
98445,1958,479,256,0.000783815,0.0325322
98446,2290,479,256,0.000898643,0.0220416
98447,2678,479,256,0.00101444,0.013276
98448,3132,479,256,0.0011628,0.0299428
98449,3663,479,256,0.00133994,0.030065
98450,4283,479,256,0.00115136,0.0201713
98451,5009,479,256,0.00128258,0.0130323
98452,5858,479,256,0.00140442,0.0168357
98453,6850,479,256,0.00158622,0.0138277
98454,8011,479,256,0.00179389,0.0128908
98455,9368,479,256,0.00202354,0.00933739
98456,10955,479,256,0.00227491,0.00970487
98457,12812,479,256,0.00263196,0.00437469
98458,14982,479,256,0.00297117,0.00290151
98459,17521,479,256,0.00344153,0.00716742
98460,20489,479,256,0.00408286,0.00468781
98461,23961,479,256,0.00454849,0.00976822
98462,28020,479,256,0.0053642,0.0114582
98463,32768,479,256,0.0304935,0.0243452
98464,256,560,256,0.000222433,0.116647
98465,299,560,256,0.000206901,0.0853552
98466,350,560,256,0.000212138,0.0785365
98467,409,560,256,0.000260493,0.0713131
98468,479,560,256,0.000299176,0.0623502
98469,560,560,256,0.000317698,0.0626337
98470,655,560,256,0.000368655,0.0545159
98471,766,560,256,0.000404156,0.0572128
98472,895,560,256,0.000365935,0.0631191
98473,1047,560,256,0.0004206,0.067903
98474,1225,560,256,0.000444401,0.0633895
98475,1432,560,256,0.000517497,0.069915
98476,1675,560,256,0.00060954,0.0550595
98477,1958,560,256,0.000663571,0.0621563
98478,2290,560,256,0.000747812,0.076069
98479,2678,560,256,0.000841805,0.0383703
98480,3132,560,256,0.000932242,0.031129
98481,3663,560,256,0.00109296,0.0167857
98482,4283,560,256,0.00112882,0.00808669
98483,5009,560,256,0.00123607,0.0211619
98484,5858,560,256,0.00135028,0.0223544
98485,6850,560,256,0.0015134,0.0204791
98486,8011,560,256,0.00171011,0.0209883
98487,9368,560,256,0.00191748,0.027948
98488,10955,560,256,0.00212459,0.00967329
98489,12812,560,256,0.00240753,0.00990584
98490,14982,560,256,0.00274175,0.0139032
98491,17521,560,256,0.00309146,0.003513
98492,20489,560,256,0.00366993,0.00853944
98493,23961,560,256,0.00412033,0.00668463
98494,28020,560,256,0.00471918,0.0158777
98495,32768,560,256,0.0289809,0.0362555
98496,256,655,256,0.000274119,0.0695286
98497,299,655,256,0.000287201,0.0979053
98498,350,655,256,0.000321998,0.0665806
98499,409,655,256,0.00035771,0.0510453
98500,479,655,256,0.000356118,0.0416861
98501,560,655,256,0.000385308,0.0427545
98502,655,655,256,0.000468611,0.221577
98503,766,655,256,0.000495688,0.0207995
98504,895,655,256,0.000581471,0.0371616
98505,1047,655,256,0.000733694,0.0332053
98506,1225,655,256,0.000839775,0.026456
98507,1432,655,256,0.000952584,0.0125117
98508,1675,655,256,0.00107268,0.00998528
98509,1958,655,256,0.00121825,0.0281662
98510,2290,655,256,0.00139134,0.0238306
98511,2678,655,256,0.00157639,0.019604
98512,3132,655,256,0.00181027,0.0071693
98513,3663,655,256,0.00207009,0.00987146
98514,4283,655,256,0.00145418,0.038093
98515,5009,655,256,0.00160282,0.0190391
98516,5858,655,256,0.00177655,0.0151822
98517,6850,655,256,0.00200483,0.00323713
98518,8011,655,256,0.0022669,0.00978269
98519,9368,655,256,0.00255157,0.00934697
98520,10955,655,256,0.00288533,0.0063113
98521,12812,655,256,0.00332711,0.00665679
98522,14982,655,256,0.00374333,0.00565593
98523,17521,655,256,0.00433195,0.0155358
98524,20489,655,256,0.00498907,0.00212638
98525,23961,655,256,0.00569614,0.00774139
98526,28020,655,256,0.00655798,0.00284077
98527,32768,655,256,0.030873,0.0283546
98528,256,766,256,0.00027097,0.0889716
98529,299,766,256,0.00028415,0.0602615
98530,350,766,256,0.000312235,0.0764207
98531,409,766,256,0.000339415,0.0758471
98532,479,766,256,0.000402066,0.054186
98533,560,766,256,0.00034699,0.0765288
98534,655,766,256,0.000397205,0.0615766
98535,766,766,256,0.000432699,0.0572107
98536,895,766,256,0.000516325,0.0512981
98537,1047,766,256,0.000580435,0.0522075
98538,1225,766,256,0.000748529,0.0508748
98539,1432,766,256,0.00083554,0.0314456
98540,1675,766,256,0.000956555,0.0171512
98541,1958,766,256,0.00108454,0.0349998
98542,2290,766,256,0.00119858,0.0190176
98543,2678,766,256,0.00137081,0.018879
98544,3132,766,256,0.00154576,0.015713
98545,3663,766,256,0.00180947,0.00993238
98546,4283,766,256,0.00156545,0.0275421
98547,5009,766,256,0.00171259,0.0169761
98548,5858,766,256,0.0019044,0.00978706
98549,6850,766,256,0.00214069,0.00472627
98550,8011,766,256,0.00245681,0.0274224
98551,9368,766,256,0.00339944,0.115921
98552,10955,766,256,0.00311549,0.00787333
98553,12812,766,256,0.00355178,0.00949981
98554,14982,766,256,0.0040176,0.00659161
98555,17521,766,256,0.00462589,0.0189738
98556,20489,766,256,0.00555163,0.00293598
98557,23961,766,256,0.00602831,0.00439809
98558,28020,766,256,0.00695512,0.00489577
98559,32768,766,256,0.0159221,0.0271895
98560,256,895,256,0.000330989,0.0604967
98561,299,895,256,0.00036259,0.0544374
98562,350,895,256,0.000403416,0.0366338
98563,409,895,256,0.000455264,0.0559641
98564,479,895,256,0.000546294,0.0393865
98565,560,895,256,0.000575893,0.0398051
98566,655,895,256,0.000662003,0.0925011
98567,766,895,256,0.000713194,0.0352782
98568,895,895,256,0.000864132,0.0238129
98569,1047,895,256,0.000984852,0.00612226
98570,1225,895,256,0.0010967,0.0240771
98571,1432,895,256,0.00128439,0.0341565
98572,1675,895,256,0.00145256,0.0223065
98573,1958,895,256,0.00165606,0.0169752
98574,2290,895,256,0.00188707,0.0106924
98575,2678,895,256,0.00215581,0.0140004
98576,3132,895,256,0.00248232,0.00904289
98577,3663,895,256,0.00291124,0.0204113
98578,4283,895,256,0.00189883,0.00365763
98579,5009,895,256,0.00213009,0.00931589
98580,5858,895,256,0.00238355,0.0178784
98581,6850,895,256,0.00267328,0.0106343
98582,8011,895,256,0.00306358,0.00853242
98583,9368,895,256,0.00349402,0.0124088
98584,10955,895,256,0.0039802,0.00300665
98585,12812,895,256,0.00455183,0.00961438
98586,14982,895,256,0.00541917,0.00989327
98587,17521,895,256,0.005919,0.00381313
98588,20489,895,256,0.00704895,0.00370799
98589,23961,895,256,0.00771423,0.00360151
98590,28020,895,256,0.00896482,0.0043213
98591,32768,895,256,0.017998,0.026148
98592,256,1047,256,0.000309199,0.0662436
98593,299,1047,256,0.000345437,0.0507991
98594,350,1047,256,0.000379602,0.0604795
98595,409,1047,256,0.000401114,0.0566208
98596,479,1047,256,0.000497395,0.0679285
98597,560,1047,256,0.000506181,0.0384088
98598,655,1047,256,0.00059958,0.0393487
