m,n,node,ppn,ob,ib,pc,avg,std
26,3917,24,1,8,24,16,1,0.00831056,2.19341
106,1171,157,1,8,64,64,2,0.0176586,0.726138
114,1024,31,1,8,8,8,1,0.0114596,0.692058
128,3917,400,1,8,72,32,1,0.0669232,0.285637
139,3917,268,1,8,80,16,1,0.0437426,0.242184
143,1171,895,1,8,88,32,1,0.091142,0.502777
171,2619,179,1,8,80,8,2,0.0352588,0.470555
183,1024,16,1,8,8,8,2,0.00860616,1.42269
184,1171,41,1,8,32,8,1,0.0072021,1.02095
205,33509,54,1,8,48,24,1,0.0289544,0.17119
211,50113,80,1,8,72,32,1,0.0486,0.193816
222,38320,31,1,8,24,8,1,0.035151,0.168257
231,1751,234,1,8,64,48,2,0.0345964,0.460597
277,22406,400,1,8,104,32,2,0.265428,0.0488159
280,3425,54,1,8,16,8,1,0.02818,1.50008
294,1171,783,1,8,128,32,2,0.0867228,0.162454
303,11456,179,1,8,64,56,2,0.0722359,0.236631
308,22406,92,1,8,88,32,1,0.0302454,0.368291
348,2290,80,1,8,64,40,1,0.00980189,0.828715
350,2290,306,1,8,112,40,1,0.0360993,0.208009
362,2619,21,1,8,8,8,2,0.0248147,0.426383
388,1751,306,1,8,72,56,1,0.0309661,0.216264
396,3425,92,1,8,88,16,1,0.0137873,0.6438
406,10018,18,1,8,8,8,1,0.0393798,0.139946
408,2003,36,1,8,16,16,1,0.00964466,0.649676
430,19593,21,1,8,16,16,1,0.0255641,0.28292
434,3917,205,1,8,80,56,1,0.0286638,0.302796
454,1024,234,1,8,96,16,1,0.0222628,0.310397
458,10018,36,1,8,16,16,1,0.0266124,0.275394
482,11456,157,1,8,72,24,2,0.0665011,0.237494
488,65536,306,1,8,128,64,2,0.550293,0.0400402
493,3917,268,1,8,80,24,1,0.0389797,0.203689
500,2995,41,1,8,32,8,1,0.00896689,0.723205
540,1171,18,1,8,16,16,1,0.00531894,1.17897
572,2619,234,1,8,72,16,1,0.0308985,0.283405
596,1531,18,1,8,16,16,1,0.00589237,1.04534
606,1751,16,1,8,8,8,2,0.0111883,0.923376
620,5858,36,1,8,32,32,1,0.0118819,1.42097
627,2290,92,1,8,72,24,1,0.0102574,0.562825
640,57308,1024,1,8,104,8,1,0.838343,0.0192948
669,5122,41,1,8,24,8,1,0.011151,0.621399
685,14982,179,1,8,72,40,1,0.0473203,0.167305
698,11456,599,1,8,120,64,2,0.24741,0.124596
713,5122,458,1,8,80,56,2,0.109724,0.183554
714,1751,268,1,8,128,48,2,0.0374336,0.376941
737,65536,137,1,8,104,24,1,0.0910625,0.139477
744,6699,599,1,8,88,8,2,0.184004,0.0947751
801,2619,105,1,8,64,8,1,0.0145584,0.798654
818,1531,306,1,8,88,32,1,0.0291714,0.230706
840,11456,524,1,8,64,56,2,0.239463,0.0809115
858,4479,61,1,8,32,32,1,0.0101805,0.524809
872,1531,27,1,8,8,8,2,0.023489,0.486347
875,1171,524,1,8,104,32,2,0.0589858,0.225042
912,33509,92,1,8,80,64,1,0.0405258,0.169292
915,1024,18,1,8,8,8,1,0.00823071,0.716258
934,2995,54,1,8,48,32,1,0.00977659,1.26618
973,10018,47,1,8,24,16,1,0.0177341,0.730714
1026,43822,41,1,8,40,8,1,0.0344887,0.224984
1027,1171,54,1,8,24,24,2,0.0122282,1.04813
1034,2290,350,1,8,112,32,2,0.0584344,0.26689
1045,38320,47,1,8,32,8,1,0.0373286,0.147668
1101,1339,350,1,8,64,8,1,0.0449692,0.880218
1121,3425,54,1,8,24,16,2,0.023768,0.626841
1136,19593,400,1,8,72,32,1,0.139819,0.204653
1152,33509,306,1,8,80,8,2,0.304293,0.0679115
1154,1531,54,1,8,8,8,2,0.0452926,0.240959
1164,22406,458,1,8,80,8,2,0.33404,0.0407542
1190,11456,895,1,8,104,16,1,0.250456,0.0538468
1201,50113,783,1,8,120,24,1,0.525019,0.0535531
1209,2003,47,1,8,8,8,2,0.0472749,0.227979
1219,38320,105,1,8,88,48,1,0.0479139,0.161012
1228,65536,54,1,8,40,32,1,0.0556598,0.185072
1248,1339,179,1,8,80,16,1,0.0179182,0.387876
1294,2995,36,1,8,32,24,1,0.00938817,1.39542
1295,25623,205,1,8,104,8,1,0.0776399,0.146206
1306,1171,1024,1,8,104,48,2,0.121651,0.292669
1332,25623,24,1,8,16,16,1,0.0318554,0.205988
1334,57308,47,1,8,32,8,1,0.0515097,0.128883
1345,38320,234,1,8,88,8,1,0.139251,0.55142
1375,1531,36,1,8,16,16,1,0.00966276,0.761388
1379,11456,458,1,8,128,48,2,0.188823,0.104113
1381,14982,524,1,8,120,64,1,0.151258,0.0594219
1399,38320,61,1,8,48,48,1,0.0349221,0.178934
1428,2003,61,1,8,16,16,2,0.0213437,0.50128
1432,7661,1024,1,8,80,16,2,0.323017,0.0531295
1434,43822,524,1,8,96,56,1,0.301102,0.0291746
1454,10018,137,1,8,64,24,2,0.0571579,0.397016
1490,2995,18,1,8,16,8,1,0.00751523,0.869998
1515,1024,16,1,8,8,8,2,0.0091699,1.25777
1538,2995,524,1,8,120,64,1,0.0858719,0.323983
1589,50113,18,1,8,16,8,1,0.0531754,0.123416
1591,3917,120,1,8,112,24,1,0.0177313,0.494826
1594,22406,120,1,8,104,32,1,0.0379471,0.199396
1595,1339,599,1,8,72,40,2,0.0685714,0.242111
1608,8760,70,1,8,64,64,1,0.0137545,0.327365
1617,29302,350,1,8,120,8,1,0.16321,0.0709025
1627,65536,27,1,8,24,24,1,0.056172,0.118711
1630,2995,120,1,8,64,56,1,0.0142432,0.616429
1651,6699,268,1,8,80,8,2,0.0805139,0.213901
1695,6699,70,1,8,64,40,1,0.0160892,1.31659
1727,14982,524,1,8,72,64,1,0.148868,0.0561333
1731,38320,80,1,8,80,64,1,0.0312178,0.333049
1764,5858,599,1,8,88,32,2,0.153471,0.104256
1795,13101,458,1,8,80,8,1,0.128396,0.0900304
1813,38320,1024,1,8,112,8,2,1.25058,0.0184323
1834,19593,524,1,8,104,56,1,0.189925,0.062011
1835,1024,179,1,8,88,8,2,0.0219247,0.604132
1849,22406,400,1,8,120,16,1,0.14823,0.0740279
1879,2995,92,1,8,80,8,1,0.0132425,0.584385
1893,1024,350,1,8,72,24,2,0.0370523,0.345814
1899,10018,350,1,8,64,8,1,0.0861947,0.132534
1914,65536,234,1,8,64,16,1,0.19114,0.0514137
1941,13101,16,1,8,16,8,1,0.00604044,0.954792
1950,1531,895,1,8,104,64,2,0.114883,0.233052
1962,5858,47,1,8,24,16,1,0.0126322,0.68947
1968,6699,61,1,8,56,16,1,0.0123851,0.647189
2039,1531,179,1,8,128,8,1,0.0187557,0.289768
2073,1024,16,1,8,16,8,1,0.00292542,1.90029
2091,6699,268,1,8,88,16,1,0.0582219,0.199979
2102,5858,179,1,8,88,16,1,0.0342781,0.324639
2148,29302,27,1,8,8,8,2,0.351304,0.026007
2153,3917,16,1,8,8,8,2,0.0201471,0.525645
2188,25623,268,1,8,128,64,1,0.101864,0.0660742
2192,5122,70,1,8,64,32,1,0.0120164,0.500632
2209,1024,458,1,8,80,24,2,0.0482942,0.271768
2219,8760,70,1,8,64,40,1,0.0151002,0.669788
2232,38320,685,1,8,104,32,1,0.360875,0.0270373
2241,5122,105,1,8,72,16,1,0.0181621,0.753943
2259,13101,92,1,8,72,24,1,0.021336,0.383804
2265,3425,157,1,8,112,24,1,0.0201385,0.347519
2278,1339,179,1,8,80,64,2,0.0256608,0.874794
2286,10018,458,1,8,112,8,2,0.18979,0.11135
2292,11456,24,1,8,16,16,1,0.0169443,0.386676
2314,19593,306,1,8,112,16,2,0.180162,0.0952352
2316,43822,61,1,8,56,48,1,0.0382846,0.187552
2317,1024,61,1,8,32,24,1,0.00770035,1.11987
2339,1531,524,1,8,112,56,1,0.0477808,0.074009
