m,n,p,avg,std
0,1024,16,1,0.00127714,0.241932
1,4096,16,1,0.00156411,0.0955201
2,16384,16,1,0.0027318,0.0737804
3,65536,16,1,0.00741428,0.0208376
4,1024,64,1,0.0030389,0.0689038
5,4096,64,1,0.00404545,0.0746296
6,16384,64,1,0.00553985,0.0208363
7,65536,64,1,0.0117574,0.00621023
8,1024,256,1,0.0200339,0.0115764
9,4096,256,1,0.0292033,0.00832547
10,16384,256,1,0.0402055,0.00250467
11,65536,256,1,0.0702271,0.00788652
12,1024,1024,1,0.100357,0.00460533
13,4096,1024,1,0.16755,0.00407188
14,16384,1024,1,0.326664,0.0034459
15,65536,1024,1,0.959611,0.00866247
16,2048,32,4,0.0019493,0.242617
17,8192,32,4,0.00819368,0.0611973
18,32768,32,4,0.00909927,0.0193187
19,131072,32,4,0.0131137,0.0111387
20,2048,128,4,0.00859891,0.0426423
21,8192,128,4,0.0134708,0.00971259
22,32768,128,4,0.0197387,0.0289845
23,131072,128,4,0.027492,0.026577
24,2048,512,4,0.064357,0.00990894
25,8192,512,4,0.0904681,0.00604694
26,32768,512,4,0.122754,0.00987203
27,131072,512,4,0.204712,0.00772891
28,2048,2048,4,0.262582,0.00199018
29,8192,2048,4,0.416666,0.00095291
30,32768,2048,4,0.765203,0.00131466
31,131072,2048,4,2.19485,0.00100901
32,4096,64,16,0.00406078,0.0850044
33,16384,64,16,0.010961,0.0287883
34,65536,64,16,0.100169,0.0055551
35,262144,64,16,0.104042,0.00238292
36,4096,256,16,0.0285641,0.0169025
37,16384,256,16,0.0410961,0.0141707
38,65536,256,16,0.107625,0.00970599
39,262144,256,16,0.300937,0.00758272
40,4096,1024,16,0.170663,0.00460426
41,16384,1024,16,0.25034,0.00263056
42,65536,1024,16,0.396053,0.000845255
43,262144,1024,16,0.635107,0.00148198
44,4096,4096,16,0.645021,0.00259697
45,16384,4096,16,1.05489,0.000410551
46,65536,4096,16,1.94655,0.000826707
47,262144,4096,16,6.37319,0.00124324
48,8192,128,64,0.0129542,0.00926129
49,32768,128,64,0.0221823,0.00972489
50,131072,128,64,0.11138,0.00977011
51,524288,128,64,1.5115,0.000762279
52,8192,512,64,0.0926976,0.00451703
53,32768,512,64,0.158008,0.00177904
54,131072,512,64,0.766048,0.00161123
55,524288,512,64,2.69641,0.00193818
56,8192,2048,64,0.432936,0.00110609
57,32768,2048,64,0.780397,0.00197962
58,131072,2048,64,1.59289,0.00539735
59,524288,2048,64,2.34302,0.00554807
60,8192,8192,64,1.65732,0.00221579
61,32768,8192,64,3.09257,0.000827574
62,131072,8192,64,5.74847,0.000616423
63,524288,8192,64,16.9829,0.00106116
