nx,ny,nz,nmom,nang,ng,ichunk,node,ppn,thread,solve
0,8,32,32,4,63,26,4,1,32,2,3.245100
0,8,32,32,1,256,39,8,1,32,2,7.281100
0,8,32,32,2,127,11,8,1,32,2,1.507200
0,8,32,32,1,32,86,2,1,32,2,5.899800
0,8,32,32,4,2047,8,2,1,32,2,20.500000
0,8,32,32,3,127,8,2,1,32,2,1.378900
0,8,32,32,4,63,128,1,1,32,2,31.002000
0,8,32,32,2,63,26,1,1,32,2,3.242900
0,8,32,32,2,256,39,4,1,32,2,9.154600
0,8,32,32,2,127,57,2,1,32,2,9.511800
0,8,32,32,2,63,128,4,1,32,2,14.275000
0,8,32,32,2,32,11,4,1,32,2,0.615330
0,8,32,32,4,127,57,8,1,32,2,12.232000
0,8,32,32,1,63,26,2,1,32,2,2.094100
0,8,32,32,4,32,17,4,1,32,2,1.335400
0,8,32,32,1,256,8,2,1,32,2,1.547600
0,8,32,32,4,127,57,8,1,32,2,12.232000
0,8,32,32,3,127,39,4,1,32,2,6.462000
0,8,32,32,1,511,17,4,1,32,2,5.774400
0,8,32,32,1,127,57,1,1,32,2,10.359000
0,8,32,32,2,32,57,8,1,32,2,2.817800
0,8,32,32,3,127,86,2,1,32,2,20.118000
0,8,32,32,3,2047,8,8,1,32,2,17.506000
0,8,32,32,4,32,11,8,1,32,2,0.825440
0,8,32,32,3,63,86,4,1,32,2,11.101000
0,8,32,32,4,1023,8,2,1,32,2,10.006000
0,8,32,32,3,63,17,1,1,32,2,2.544800
0,8,32,32,3,256,26,4,1,32,2,6.966900
0,8,32,32,1,32,39,1,1,32,2,2.754900
0,8,32,32,1,1023,8,8,1,32,2,5.139400
0,8,32,32,2,127,57,8,1,32,2,7.869800
0,8,32,32,1,63,86,2,1,32,2,8.762300
0,8,32,32,2,1023,8,8,1,32,2,6.599400
0,8,32,32,3,1023,11,2,1,32,2,11.475000
0,8,32,32,4,256,39,4,1,32,2,14.673000
0,8,32,32,4,256,8,8,1,32,2,3.136200
0,8,32,32,1,32,39,8,1,32,2,1.490900
0,8,32,32,2,32,39,1,1,32,2,3.294000
0,8,32,32,2,63,17,2,1,32,2,1.784900
0,8,32,32,3,127,11,4,1,32,2,1.917000
0,8,32,32,2,511,17,4,1,32,2,6.823500
0,8,32,32,4,511,11,1,1,32,2,8.380700
0,8,32,32,2,32,26,2,1,32,2,1.819200
0,8,32,32,4,127,128,2,1,32,2,42.164000
0,8,32,32,2,256,8,2,1,32,2,1.846200
0,8,32,32,4,32,57,2,1,32,2,6.049000
0,8,32,32,4,63,86,1,1,32,2,19.593000
0,8,32,32,2,63,86,4,1,32,2,8.952600
0,8,32,32,2,63,8,2,1,32,2,0.789260
0,8,32,32,4,256,39,8,1,32,2,13.894000
0,8,32,32,1,127,17,1,1,32,2,2.687000
0,8,32,32,4,32,39,4,1,32,2,3.468500
0,8,32,32,3,256,39,1,1,32,2,13.106000
0,8,32,32,4,1023,8,8,1,32,2,11.609000
0,8,32,32,3,32,39,4,1,32,2,2.684800
0,8,32,32,1,256,17,8,1,32,2,3.123800
0,8,32,32,3,32,57,2,1,32,2,4.942100
0,8,32,32,3,511,17,8,1,32,2,8.985500
0,8,32,32,2,511,17,1,1,32,2,7.809000
0,8,32,32,3,32,11,1,1,32,2,0.936310
0,8,32,32,2,1023,8,2,1,32,2,5.867100
0,8,32,32,4,127,26,8,1,32,2,5.059000
0,8,32,32,2,256,17,4,1,32,2,3.890100
0,8,32,32,4,32,11,8,1,32,2,0.825440
0,8,32,32,3,63,11,4,1,32,2,1.184200
0,8,32,32,1,127,11,4,1,32,2,1.264900
0,8,32,32,4,127,11,8,1,32,2,2.511500
0,8,32,32,4,32,86,2,1,32,2,10.631000
0,8,32,32,2,63,128,4,1,32,2,14.275000
0,8,32,32,4,32,39,4,1,32,2,3.468500
0,8,32,32,1,511,26,2,1,32,2,8.604500
0,8,32,32,1,32,8,4,1,32,2,0.323690
0,8,32,32,2,127,86,2,1,32,2,16.737000
0,8,32,32,4,127,86,1,1,32,2,29.035000
0,8,32,32,2,32,128,8,1,32,2,8.080000
0,8,32,32,2,511,26,1,1,32,2,11.392000
0,8,32,32,4,127,26,8,1,32,2,5.059000
0,8,32,32,4,63,39,1,1,32,2,7.044600
0,8,32,32,3,2047,8,1,1,32,2,15.120000
0,8,32,32,1,63,39,8,1,32,2,2.278200
0,8,32,32,3,256,57,1,1,32,2,20.401000
0,8,32,32,2,63,8,4,1,32,2,0.681700
0,8,32,32,2,127,26,8,1,32,2,3.303800
0,8,32,32,3,32,57,2,1,32,2,4.942100
0,8,32,32,2,256,57,1,1,32,2,17.426000
0,8,32,32,4,127,39,8,1,32,2,8.047300
0,8,32,32,2,256,57,1,1,32,2,17.426000
0,8,32,32,2,32,26,4,1,32,2,1.483500
